strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
bb,EUR_GBP,241,0.08258110369175119,-0.0206837918833606,1.5674151640244576,0.15204037224037975,0.024709525186398296,0.04109655602769994,-0.06112537597738961,0.1437064796691408,promising
bb,NZD_CHF,212,0.08556490841355033,-0.11757084226947764,0.8255918513932496,0.10315637187670475,-0.14887413598984514,0.5568282414784486,-0.05196331098380239,0.1375282193973527,promising
bb,CHF_JPY,247,0.004882120427253079,-0.14144287000722436,0.06539522749328931,0.23090104548318602,-0.11609958278214975,-0.09569527058026997,-0.1271146877544915,0.13199680818174458,promising
ema,EUR_CAD,355,0.06671462556126913,-0.06731901963906274,0.9755809140656254,0.04085728451982719,0.16603964703635588,-0.06573192189786256,-0.06352163817220612,0.13023626373347524,promising
ema,AUD_JPY,367,0.06443386256435263,-0.017046113361758264,1.54995591482079,0.23264653630256618,-0.09004526908249004,0.09557437993234492,-0.05710478753190303,0.12153865009625567,promising
sma,AUD_CAD,271,0.0894128956765328,-0.027700884432178483,1.496401835576723,0.2513365540813376,-0.13477452192368575,0.25889397890562127,-0.02668272882653009,0.11609562450306288,promising
sma,EUR_CHF,226,0.1184629244526783,-0.013545114158626123,1.7588878250886024,0.18346925545379492,0.07050744400979073,0.060916311985795536,0.002888886993404397,0.1155740374592739,promising
rsi,AUD_CAD,641,0.09011452249122118,-0.01160452143213389,1.736395243902208,0.09528855578411273,0.08225738036236974,0.09932342581465337,-0.02015148928987638,0.11026601178109756,promising
ema,AUD_CAD,272,0.11101506844554497,0.02916812625185561,2.6584931375731338,0.30721484581643316,-0.08904753961697455,0.25192363681936397,0.005370547210300607,0.10564452123524437,promising
rsi,NZD_CHF,597,0.08030100243517962,-0.006316643313345999,1.8170658347133744,0.0405582826755169,0.05797141928320949,0.26137259127117113,-0.020925119228499364,0.10122612166367899,promising
bb,NZD_USD,219,0.05930132172621795,-0.029691708801075134,1.3060639680962507,0.3619153177577756,-0.13395188421552093,0.0794064096024622,-0.03752561005535117,0.09682693178156912,promising
cci,EUR_USD,1087,0.050290474960408484,-0.05305073226491527,0.9538240704647606,0.13198893079578167,-0.023597608822985564,0.055853669200354616,-0.030928243896212286,0.08121871885662077,promising
ema,EUR_GBP,333,0.015852379038077142,-0.09369012186898457,0.2836402552192253,-0.007971277838724967,0.005990814131095916,0.0893582904206211,-0.05769362544183763,0.07354600447991477,promising
ema,NZD_USD,328,0.039950304621628484,-0.048718947883497656,0.8830862429325769,0.26582123592809204,-0.0985775508251126,-0.00964538793718641,-0.02613043644459964,0.06608074106622812,promising
ema,EUR_CHF,263,0.07867460543192314,-0.028400172695367834,1.4401358503237154,0.09779149738878028,-0.0013554043799078367,0.232358549915251,0.01310442041528471,0.06557018501663843,promising
rsi,EUR_USD,683,0.03428763919612818,-0.09159219224119933,0.5338724405415998,0.13156325884136724,-0.018365954598950372,-0.02072231555864311,-0.026431719761664363,0.06071935895779254,promising
rsi,EUR_CAD,698,0.003349203916168154,-0.11964407556719772,0.05337234443429394,-0.0019551465364857964,0.06770001559542861,-0.1136192397969805,-0.056642487949857045,0.0599916918660252,promising
bb,EUR_USD,233,0.02048386596901056,-0.0638346294143361,0.4761514910427376,0.07736570714892184,0.036899931815786303,-0.1392968601423146,-0.038105651869764015,0.05858951783877457,promising
stoch,EUR_USD,1670,0.03437085083801649,-0.05219001183209734,0.7782601231603892,0.08279218616839334,-0.019380266253919972,0.05670695487721192,-0.022668054816860517,0.05703890565487701,promising
sma,NZD_USD,274,0.009390494522480848,-0.10151898915392149,0.16594946305731004,0.22393944162226648,-0.23010093971091142,0.035812429735209025,-0.034592729868151165,0.043983224390632014,promising
ema,EUR_USD,368,0.028969914714493526,-0.052606574248215014,0.6960465394185316,0.1633038626937016,-0.05434829518473105,-0.05762169752903489,-0.014674742775465257,0.043644657489958785,promising
bb,USD_CAD,248,0.01048183975848728,-0.09603104331685133,0.19288188746241722,0.04256857521230895,0.019635213861016756,-0.066995151311446,-0.03154401336409724,0.04202585312258452,promising
rsi,CAD_CHF,665,0.06118560641450515,-0.05699010526029664,1.014792184221735,-0.03887084837646348,0.04695744960290459,0.3844101709762184,0.02212765418735321,0.03905795222715194,promising
