strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
cci,USD_SGD,1147,0.010789028443223212,-0.06272638101804832,0.2876471192050917,-0.06666561879611306,0.09342224093944484,0.0023967404499356734,-0.025325174444230547,0.03611420288745376,promising
bb,USD_SGD,222,0.010853246634980069,-0.10061423625161656,0.19083918335361302,-0.024057836635258113,0.06290621275903417,-0.008195105946268235,-0.023935280751757465,0.03478852738673753,promising
cci,NZD_CHF,1162,0.011527858796956654,-0.07765242501145928,0.253358727704596,0.014053891528370065,-0.06404172934034617,0.18286313640498192,-0.022630817346226847,0.0341586761431835,promising
bb,CAD_CHF,196,0.05967137681930372,-0.025376004576933134,1.3751851808456776,-0.1649671611138341,0.14005875089062697,0.3721226257143669,0.02800067814688654,0.03167069867241718,promising
cci,AUD_CAD,1228,0.013452671731259963,-0.0860900085138023,0.26488373156475714,0.06176398451108696,0.000728061669379829,-0.05258828124018892,-0.017738107298035915,0.03119077902929588,promising
bb,EUR_CHF,236,0.039535518427551396,-0.0982310229531882,0.5624705051123112,0.0013761594476358289,-0.050131012308757425,0.3895479049050676,0.025321958703346945,0.01421355972420445,promising
ema,CAD_CHF,294,0.023408446232221332,-0.06957491371368138,0.49342758362191796,-0.014708889297418497,0.02025636196132753,0.1825988461565342,0.017297515871822332,0.006110930360398999,promising
rsi,EUR_CHF,629,0.0060430942106230665,-0.12313417671457941,0.0916915535371506,0.033514824574965955,-0.07291234009985585,0.12689546757434536,0.0016223663261969966,0.00442072788442607,promising
cci,EUR_CHF,1134,0.009476151072993298,-0.08679942480527057,0.1929176318462318,-0.0036002322984833367,-0.035079969672336925,0.12924324442333593,0.005356474385833024,0.004119676687160273,promising
stoch,EUR_CHF,1670,0.014411133021126918,-0.06980809650568201,0.3353844588713254,-0.0008726081622140434,-0.008665641927271657,0.09411613422614476,0.013272013277029706,0.0011391197440972119,promising
