tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,AUD_USD,20,30,di_cross_with_adx,short,14
121,0.08746694359167512,0.08614153890221841,-0.08137047265667297,0.2563043598400232,53,0.014338947859220314,0.11498065776448119,-0.2110231413591628,0.23970103707760346,USD_CAD,14,20,adx_cross,long,174
89,0.07107367453893737,0.10346533919480871,-0.1317183902828877,0.2738657393607624,39,-0.14006724321844893,0.15001910401034968,-0.4341046870787343,0.15397020064183642,USD_CAD,14,20,adx_cross,short,128
197,0.03443908889345057,0.06869760364731654,-0.10020821425528986,0.169086392042191,85,0.05891182195179439,0.09782246753905853,-0.13282021442476033,0.2506438583283491,USD_CAD,14,20,di_cross_with_adx,long,282
202,0.045856167135689456,0.06784300446733418,-0.08711612162028554,0.17882845589166446,87,-0.05862249885278444,0.09693797361941026,-0.24862092714682854,0.13137592944125964,USD_CAD,14,20,di_cross_with_adx,short,289
109,0.004716911582525046,0.09176628080593377,-0.17514499879710513,0.18457882196215522,48,-0.0899627954870031,0.1218970886492993,-0.3288810892396297,0.1489554982656235,USD_CAD,14,25,adx_cross,long,157
92,-0.01388881766332324,0.10211878176952088,-0.21404162993158415,0.1862639946049377,40,-0.07698970048570139,0.14371601509122095,-0.35867309006449444,0.20469368909309169,USD_CAD,14,25,adx_cross,short,132
90,0.1665462258624897,0.10118103555609669,-0.0317686038274598,0.3648610555524392,39,0.07481142616467255,0.14871533869156778,-0.21667063767080025,0.3662934900001454,USD_CAD,14,25,di_cross_with_adx,long,129
102,0.1890645579616764,0.09478350343125808,0.003288891236410574,0.3748402246869422,44,0.039886693287827804,0.13624738895246483,-0.22715818905900326,0.30693157563465884,USD_CAD,14,25,di_cross_with_adx,short,146
88,0.002890655343709217,0.10293180154951329,-0.19885567569333681,0.20463698638075525,39,-0.06944215711317579,0.14605158782223668,-0.3557032692447597,0.2168189550184081,USD_CAD,14,30,adx_cross,long,127
74,-0.09519920292541227,0.1117885327230126,-0.314304727062517,0.12390632121169244,33,-0.1520116385488635,0.1693835148821057,-0.48400332771779064,0.1799800506200637,USD_CAD,14,30,adx_cross,short,107
39,0.1315672317046792,0.15675071932278753,-0.17566417816798435,0.4387986415773428,17,-0.013190489320937733,0.22387405860937187,-0.4519836441953066,0.4256026655534311,USD_CAD,14,30,di_cross_with_adx,long,56
42,0.008759768577093601,0.15259689342142785,-0.290330142528905,0.3078496796830922,18,-0.0989491658421155,0.2063754822961421,-0.503445111142554,0.30554677945832304,USD_CAD,14,30,di_cross_with_adx,short,60
82,0.030416988571816746,0.10634839250100728,-0.17802586073015753,0.238859837873791,36,-0.06670362602194947,0.14758292838254455,-0.3559661656517368,0.22255891360783786,USD_CAD,20,20,adx_cross,long,118
58,-0.03840203147871053,0.12705252201904615,-0.287424974636041,0.2106209116786199,25,0.0016877317511475455,0.1917659957170356,-0.3741736198542422,0.3775490833565373,USD_CAD,20,20,adx_cross,short,83
