tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
43.0,-0.0443434433160131,0.14924827259561346,-0.3368700576034155,0.2481831709713893,19.0,0.06536579338646216,0.2173122036240874,-0.3605661257167492,0.49129771248967347,USD_CAD,14,20,di_cross_with_adx,long,62
57.0,0.12208386348838839,0.1266801493018437,-0.1262092291432253,0.37037695612000204,25.0,0.02643969729606674,0.1959043542894542,-0.3575328371112635,0.410412231703397,USD_CAD,14,20,di_cross_with_adx,short,82
45.0,0.07749545456352303,0.1428855634472832,-0.20256024979315207,0.3575511589201981,20.0,0.012527412593999948,0.18404962039922357,-0.34820984338847827,0.3732646685764781,USD_CAD,14,25,adx_cross,long,65
34.0,0.011140210305344818,0.16959940423241165,-0.321274621990182,0.34355504260087166,15.0,-0.4235115925809575,0.2138052915620363,-0.8425699640425486,-0.004453221119366357,USD_CAD,14,25,adx_cross,short,49
19.0,-0.10614919753656284,0.22804917661349397,-0.553125583699011,0.34082718862588535,9.0,0.2953898069238518,0.2951735642971592,-0.28315037909858015,0.8739299929462838,USD_CAD,14,25,di_cross_with_adx,long,28
25.0,0.22910737967156847,0.19477294879984744,-0.15264759997613253,0.6108623593192695,11.0,0.13946245708925956,0.2987022465385041,-0.44599394612620846,0.7249188603047275,USD_CAD,14,25,di_cross_with_adx,short,36
37.0,-0.20958011328057766,0.14897394236532543,-0.5015690403166155,0.08240881375546019,17.0,0.27107404911313,0.21665274968921672,-0.15356534027773477,0.6957134385039947,USD_CAD,14,30,adx_cross,long,54
25.0,-0.18327465981719093,0.19351511442097677,-0.5625642840823054,0.19601496444792355,12.0,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,USD_CAD,14,30,adx_cross,short,37
9.0,-0.0018705281327437736,0.33333858160525986,-0.6552141480790531,0.6514730918135655,4.0,0.5,0.5,-0.48,1.48,USD_CAD,14,30,di_cross_with_adx,long,13
7.0,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,4.0,-0.413946597434918,0.4731779839968207,-1.3413754460686866,0.5134822511988506,USD_CAD,14,30,di_cross_with_adx,short,11
32.0,-0.12138534318604902,0.17283369558366712,-0.4601393865300366,0.21736870015793855,15.0,0.2306903374802247,0.2305006600832501,-0.22109095628294548,0.6824716312433948,USD_CAD,20,20,adx_cross,long,47
21.0,-0.06239239977976946,0.20830400957130046,-0.4706682585395184,0.34588345897997946,9.0,0.013105911491946792,0.3335908812110215,-0.6407322156816553,0.666944038665549,USD_CAD,20,20,adx_cross,short,30
12.0,0.09110266145095307,0.2641982006030533,-0.42672581173103147,0.6089311346329376,6.0,0.257905416648575,0.3515510025129556,-0.43113454827681796,0.946945381573968,USD_CAD,20,20,di_cross_with_adx,long,18
21.0,-0.18572627251820945,0.2121445642715133,-0.6015296184903756,0.23007707345395662,9.0,0.03990947161010047,0.31997842358943696,-0.5872482386251959,0.6670671818453969,USD_CAD,20,20,di_cross_with_adx,short,30
29.0,0.13533250372520722,0.17785351758666043,-0.2132603907446472,0.48392539819506164,13.0,0.049817072712029356,0.2817886045543228,-0.5024885922144433,0.6021227376385021,USD_CAD,20,25,adx_cross,long,42
21.0,0.14057003489296344,0.20862897746671874,-0.2683427609418053,0.5494828307277322,10.0,0.265204191629938,0.3058275148480434,-0.33421773747222694,0.864626120732103,USD_CAD,20,25,adx_cross,short,31
6.0,0.16386087446755102,0.40162922751494334,-0.6233324114617379,0.95105416039684,3.0,1.0,0.0,1.0,1.0,USD_CAD,20,25,di_cross_with_adx,long,9
8.0,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,USD_CAD,20,25,di_cross_with_adx,short,12
17.0,0.004497467057723437,0.24257732091376558,-0.4709540819332571,0.47994901604870394,8.0,-0.24856907947181167,0.3137019524009709,-0.8634249061777146,0.3662867472340912,USD_CAD,20,30,adx_cross,long,25
14.0,-0.013379148100101832,0.25885677762009446,-0.520738432235487,0.4939801360352833,6.0,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,USD_CAD,20,30,adx_cross,short,20
2.0,-0.508417376597347,0.49158262340265296,-1.4719193184665467,0.4550845652718528,1.0,1.0,,,,USD_CAD,20,30,di_cross_with_adx,long,3
3.0,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,2.0,0.0,1.0,-1.96,1.96,USD_CAD,20,30,di_cross_with_adx,short,5
36.0,-0.05463183854499665,0.16541896635591277,-0.3788530126025857,0.2695893355125924,16.0,0.21635634811158416,0.2454944604742586,-0.2648127944179627,0.697525490641131,USD_CHF,14,20,adx_cross,long,52
42.0,0.1704001309372927,0.14688944482666524,-0.11750318092297116,0.4583034427975565,18.0,-0.27439905230198014,0.22613830862671247,-0.7176301372103366,0.1688320326063763,USD_CHF,14,20,adx_cross,short,60
50.0,-0.09076830633927856,0.14113406008997614,-0.3673910641156318,0.18585445143707469,22.0,0.17700918138425478,0.20454137717974483,-0.22389191788804505,0.5779102806565546,USD_CHF,14,20,di_cross_with_adx,long,72
44.0,0.19206141099863877,0.14501462897398343,-0.09216726179036877,0.4762900837876463,19.0,0.09861615202875403,0.22833731707769772,-0.3489249894435335,0.5461572935010416,USD_CHF,14,20,di_cross_with_adx,short,63
55.0,0.03314468816465676,0.12603519308665762,-0.21388429028519215,0.28017366661450566,24.0,-0.08333333333333241,0.20778914433245918,-0.4906000562249524,0.32393338955828754,USD_CHF,14,25,adx_cross,long,79
42.0,-0.06829621020835035,0.15275771803812999,-0.36770133756308515,0.23110891714638443,18.0,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,USD_CHF,14,25,adx_cross,short,60
30.0,-0.0846138438987972,0.1825687568235174,-0.44244860727289126,0.2732209194752969,13.0,0.22263092234258502,0.25787277582721224,-0.282799718278751,0.7280615629639211,USD_CHF,14,25,di_cross_with_adx,long,43
23.0,0.30434782608695604,0.20308668108561465,-0.09370206884084864,0.7023977210147607,11.0,0.17033698986784787,0.2969050714333244,-0.4115969501414679,0.7522709298771636,USD_CHF,14,25,di_cross_with_adx,short,34
38.0,0.16961071596928728,0.1586087048839518,-0.14126234560325823,0.4804837775418328,17.0,-0.1375216455895478,0.2409589246593206,-0.6098011379218161,0.3347578467427206,USD_CHF,14,30,adx_cross,long,55
37.0,0.02913138685990527,0.16176151304943728,-0.2879211787169918,0.3461839524368024,16.0,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,USD_CHF,14,30,adx_cross,short,53
9.0,0.0512871870040093,0.33725581783253983,-0.6097342159477688,0.7123085899557873,5.0,-0.39477617025142625,0.4013378306949855,-1.1813983184135979,0.3918459779107453,USD_CHF,14,30,di_cross_with_adx,long,14
