indicator,horizon,regime,n,mean_fwd,baseline,edge,t
ichi_above_cloud,20,bull,717083,0.7778,0.4364,0.3414,19.67
ichi_above_cloud,20,nonbull,151473,0.4246,2.3289,-1.9043,-50.36
ichi_cloud_breakout,20,all,44134,0.8744,0.8756,-0.0012,-0.01
ichi_cloud_breakout,20,bull,34708,0.7584,0.4364,0.322,3.27
ichi_cloud_breakout,20,nonbull,9426,1.3015,2.3289,-1.0274,-6.16
ichi_tk_bull_cross,20,all,41483,0.8282,0.8756,-0.0474,-0.47
ichi_tk_bull_cross,20,bull,32013,0.3317,0.4364,-0.1047,-1.01
ichi_tk_bull_cross,20,nonbull,9470,2.5068,2.3289,0.1779,0.65
ichi_tk_above_kijun,20,all,931005,0.6983,0.8756,-0.1773,-11.02
ichi_tk_above_kijun,20,bull,740345,0.5089,0.4364,0.0725,4.08
ichi_tk_above_kijun,20,nonbull,190660,1.4337,2.3289,-0.8952,-23.76
ichi_green_cloud,20,all,953423,0.808,0.8756,-0.0676,-3.51
ichi_green_cloud,20,bull,783345,0.7075,0.4364,0.2711,12.18
ichi_green_cloud,20,nonbull,170078,1.2708,2.3289,-1.058,-31.05
ichi_chikou_above,20,all,977609,0.704,0.8756,-0.1716,-9.81
ichi_chikou_above,20,bull,785364,0.5834,0.4364,0.147,7.34
ichi_chikou_above,20,nonbull,192245,1.1969,2.3289,-1.132,-32.36
ichi_perfect_bull,20,all,432105,0.7295,0.8756,-0.1461,-7.46
ichi_perfect_bull,20,bull,376330,0.7814,0.4364,0.345,16.44
ichi_perfect_bull,20,nonbull,55775,0.3792,2.3289,-1.9496,-35.92
ichi_below_cloud,20,all,660248,0.9668,0.8756,0.0912,2.36
ichi_below_cloud,20,bull,465488,-0.1349,0.4364,-0.5713,-12.2
ichi_below_cloud,20,nonbull,194760,3.6,2.3289,1.2711,18.64
ichi_in_cloud,20,all,220477,0.8559,0.8756,-0.0197,-0.59
ichi_in_cloud,20,bull,172119,0.5718,0.4364,0.1354,3.53
ichi_in_cloud,20,nonbull,48358,1.867,2.3289,-0.4619,-7.11
