period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
21,35,999,1,s0,10,all,51148,0.1846,0.0848,14.0,0.33
21,35,999,1,s0,10,bull,45888,0.1844,0.1117,17.3,0.333
21,35,999,1,s0,10,nonbull,5260,0.1865,-0.0041,-0.2,0.304
21,35,999,1,s0,15,all,50845,0.1932,0.0864,13.7,0.366
21,35,999,1,s0,15,bull,45585,0.192,0.115,17.2,0.368
21,35,999,1,s0,15,nonbull,5260,0.2031,-0.0033,-0.2,0.354
21,35,999,1,s20,10,all,41127,0.2164,0.1166,17.1,0.343
21,35,999,1,s20,10,bull,37008,0.2159,0.1432,19.8,0.346
21,35,999,1,s20,10,nonbull,4119,0.2211,0.0305,1.4,0.319
21,35,999,1,s20,15,all,40860,0.2237,0.117,16.5,0.377
21,35,999,1,s20,15,bull,36741,0.2227,0.1456,19.5,0.379
21,35,999,1,s20,15,nonbull,4119,0.2334,0.0271,1.2,0.367
21,40,60,0,off,10,all,57730,0.1364,0.0366,6.6,0.292
21,40,60,0,off,10,bull,45390,0.0961,0.0234,3.7,0.287
21,40,60,0,off,10,nonbull,12340,0.2846,0.094,7.9,0.309
21,40,60,0,off,15,all,57500,0.1567,0.05,8.6,0.34
21,40,60,0,off,15,bull,45160,0.1091,0.0321,4.9,0.331
21,40,60,0,off,15,nonbull,12340,0.3309,0.1245,9.8,0.374
21,40,60,0,s0,10,all,41884,0.1111,0.0113,1.7,0.298
21,40,60,0,s0,10,bull,37412,0.1017,0.029,4.2,0.297
21,40,60,0,s0,10,nonbull,4472,0.1901,-0.0005,-0.0,0.303
21,40,60,0,s0,15,all,41683,0.1219,0.0151,2.2,0.339
21,40,60,0,s0,15,bull,37211,0.1118,0.0348,4.8,0.337
21,40,60,0,s0,15,nonbull,4472,0.2056,-0.0008,-0.0,0.356
21,40,60,0,s20,10,all,24053,0.1116,0.0118,1.4,0.304
21,40,60,0,s20,10,bull,21598,0.1043,0.0316,3.4,0.305
21,40,60,0,s20,10,nonbull,2455,0.1755,-0.0152,-0.6,0.298
21,40,60,0,s20,15,all,23894,0.1202,0.0134,1.5,0.341
21,40,60,0,s20,15,bull,21439,0.1122,0.0351,3.7,0.34
21,40,60,0,s20,15,nonbull,2455,0.1904,-0.016,-0.6,0.35
21,40,60,1,off,10,all,31311,0.1409,0.0411,5.4,0.3
21,40,60,1,off,10,bull,25108,0.0946,0.0218,2.6,0.291
21,40,60,1,off,10,nonbull,6203,0.3282,0.1376,8.0,0.339
21,40,60,1,off,15,all,31127,0.1579,0.0511,6.4,0.345
21,40,60,1,off,15,bull,24924,0.1068,0.0297,3.4,0.331
21,40,60,1,off,15,nonbull,6203,0.3633,0.1569,8.7,0.401
21,40,60,1,s0,10,all,23581,0.1097,0.01,1.1,0.302
21,40,60,1,s0,10,bull,21090,0.0992,0.0264,2.8,0.302
21,40,60,1,s0,10,nonbull,2491,0.1994,0.0088,0.3,0.301
21,40,60,1,s0,15,all,23418,0.12,0.0133,1.4,0.341
21,40,60,1,s0,15,bull,20927,0.1085,0.0314,3.2,0.339
21,40,60,1,s0,15,nonbull,2491,0.2174,0.0111,0.4,0.357
21,40,60,1,s20,10,all,20814,0.1036,0.0038,0.4,0.303
