indicator,horizon,regime,n,mean_fwd,baseline,edge,t
bb_upper_break(x up),3,all,58954,0.089,0.7113,-0.6223,-5.89
bb_upper_break(x up),3,bull,47088,0.1044,0.81,-0.7056,-5.38
bb_upper_break(x up),3,nonbull,11866,0.0279,0.3812,-0.3533,-5.12
macd_bull_cross,3,all,69854,0.1036,0.7113,-0.6077,-12.1
macd_bull_cross,3,bull,55152,0.0714,0.81,-0.7386,-25.95
macd_bull_cross,3,nonbull,14702,0.2245,0.3812,-0.1567,-0.73
roc_pos(>0),3,all,963880,0.4658,0.7113,-0.2455,-0.74
roc_pos(>0),3,bull,754176,0.4904,0.81,-0.3196,-0.76
roc_pos(>0),3,nonbull,209704,0.3777,0.3812,-0.0035,-0.24
"adx_uptrend(>25,+DI)",3,all,410808,2.534,0.7113,1.8227,1.03
"adx_uptrend(>25,+DI)",3,bull,339310,3.0645,0.81,2.2545,1.06
"adx_uptrend(>25,+DI)",3,nonbull,71498,0.0164,0.3812,-0.3648,-12.7
donchian20_break,3,all,137671,0.0158,0.7113,-0.6956,-15.06
donchian20_break,3,bull,107627,0.0326,0.81,-0.7774,-13.34
donchian20_break,3,nonbull,30044,-0.0446,0.3812,-0.4258,-12.31
aroonosc_up(>50),3,all,630135,0.1199,0.7113,-0.5914,-64.82
aroonosc_up(>50),3,bull,503176,0.0791,0.81,-0.7309,-68.47
aroonosc_up(>50),3,nonbull,126959,0.2816,0.3812,-0.0996,-6.17
obv_rising(10d),3,all,970387,1.1747,0.7113,0.4634,0.62
obv_rising(10d),3,bull,758756,1.3941,0.81,0.5841,0.61
obv_rising(10d),3,nonbull,211631,0.3882,0.3812,0.007,0.28
cmf_pos(>0),3,all,947372,1.1722,0.7113,0.4609,0.6
cmf_pos(>0),3,bull,725165,1.4605,0.81,0.6505,0.65
cmf_pos(>0),3,nonbull,222207,0.2314,0.3812,-0.1498,-11.15
mfi_oversold(<20),3,all,53149,0.2362,0.7113,-0.4752,-10.79
mfi_oversold(<20),3,bull,37904,0.1828,0.81,-0.6272,-11.89
mfi_oversold(<20),3,nonbull,15245,0.3689,0.3812,-0.0123,-0.15
