period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
7,20,999,1,s0,10,nonbull,96244,0.1408,-0.0461,-10.7,0.288
7,20,999,1,s0,15,all,454340,0.0881,-0.0139,-6.7,0.334
7,20,999,1,s0,15,bull,358098,0.0691,-0.0024,-1.0,0.331
7,20,999,1,s0,15,nonbull,96242,0.1589,-0.0444,-9.8,0.345
7,20,999,1,s10,10,all,445448,0.0798,-0.0158,-7.8,0.289
7,20,999,1,s10,10,bull,351328,0.0637,-0.0044,-1.9,0.289
7,20,999,1,s10,10,nonbull,94120,0.1399,-0.047,-10.8,0.288
7,20,999,1,s10,15,all,444496,0.0886,-0.0135,-6.4,0.334
7,20,999,1,s10,15,bull,350378,0.0699,-0.0015,-0.6,0.331
7,20,999,1,s10,15,nonbull,94118,0.158,-0.0453,-9.9,0.345
7,20,999,1,s20,10,all,297299,0.0796,-0.0161,-6.5,0.291
7,20,999,1,s20,10,bull,236618,0.0725,0.0044,1.6,0.294
7,20,999,1,s20,10,nonbull,60681,0.1069,-0.08,-14.7,0.281
7,20,999,1,s20,15,all,296611,0.0876,-0.0145,-5.6,0.335
7,20,999,1,s20,15,bull,235930,0.0791,0.0076,2.6,0.335
7,20,999,1,s20,15,nonbull,60681,0.1206,-0.0828,-14.5,0.336
7,25,40,0,off,10,all,784863,0.0889,-0.0067,-4.4,0.286
7,25,40,0,off,10,bull,602551,0.0641,-0.004,-2.3,0.282
7,25,40,0,off,10,nonbull,182312,0.1711,-0.0159,-5.0,0.298
7,25,40,0,off,15,all,783073,0.0955,-0.0065,-4.1,0.331
7,25,40,0,off,15,bull,600766,0.0666,-0.0049,-2.7,0.324
7,25,40,0,off,15,nonbull,182307,0.1909,-0.0125,-3.8,0.354
7,25,40,0,s0,10,all,415296,0.0837,-0.0119,-5.7,0.286
7,25,40,0,s0,10,bull,322740,0.0577,-0.0104,-4.4,0.284
7,25,40,0,s0,10,nonbull,92556,0.1744,-0.0126,-2.9,0.293
7,25,40,0,s0,15,all,414518,0.0919,-0.0101,-4.6,0.332
7,25,40,0,s0,15,bull,321965,0.0611,-0.0103,-4.2,0.326
7,25,40,0,s0,15,nonbull,92553,0.1991,-0.0043,-0.9,0.354
7,25,40,0,s10,10,all,276103,0.0844,-0.0112,-4.4,0.288
7,25,40,0,s10,10,bull,214624,0.0611,-0.007,-2.4,0.287
7,25,40,0,s10,10,nonbull,61479,0.1659,-0.021,-3.9,0.292
7,25,40,0,s10,15,all,275598,0.0925,-0.0096,-3.6,0.333
7,25,40,0,s10,15,bull,214121,0.064,-0.0074,-2.5,0.328
7,25,40,0,s10,15,nonbull,61477,0.1915,-0.0119,-2.1,0.352
7,25,40,0,s20,10,all,123271,0.0786,-0.017,-4.4,0.289
7,25,40,0,s20,10,bull,96189,0.0658,-0.0024,-0.5,0.291
7,25,40,0,s20,10,nonbull,27082,0.1244,-0.0626,-7.7,0.282
7,25,40,0,s20,15,all,123057,0.0862,-0.0158,-3.9,0.334
7,25,40,0,s20,15,bull,95975,0.0685,-0.003,-0.7,0.332
7,25,40,0,s20,15,nonbull,27082,0.1491,-0.0543,-6.3,0.343
7,25,40,1,off,10,all,389800,0.0812,-0.0144,-6.7,0.286
7,25,40,1,off,10,bull,298219,0.0655,-0.0026,-1.1,0.285
7,25,40,1,off,10,nonbull,91581,0.1322,-0.0548,-12.3,0.292
7,25,40,1,off,15,all,388878,0.0879,-0.0141,-6.3,0.331
7,25,40,1,off,15,bull,297301,0.0678,-0.0037,-1.4,0.326
7,25,40,1,off,15,nonbull,91577,0.1533,-0.0501,-10.7,0.346
7,25,40,1,s0,10,all,212256,0.0716,-0.024,-8.2,0.285
7,25,40,1,s0,10,bull,164885,0.0505,-0.0176,-5.3,0.285
7,25,40,1,s0,10,nonbull,47371,0.1452,-0.0418,-6.8,0.285
7,25,40,1,s0,15,all,211872,0.0811,-0.021,-6.9,0.331
7,25,40,1,s0,15,bull,164503,0.0547,-0.0167,-4.8,0.326
7,25,40,1,s0,15,nonbull,47369,0.1727,-0.0307,-4.7,0.347
7,25,40,1,s10,10,all,209854,0.0718,-0.0238,-8.1,0.285
7,25,40,1,s10,10,bull,162992,0.0505,-0.0176,-5.3,0.285
7,25,40,1,s10,10,nonbull,46862,0.1459,-0.0411,-6.6,0.286
7,25,40,1,s10,15,all,209476,0.0811,-0.0209,-6.8,0.331
7,25,40,1,s10,15,bull,162616,0.0546,-0.0169,-4.9,0.326
7,25,40,1,s10,15,nonbull,46860,0.1733,-0.0301,-4.6,0.347
7,25,40,1,s20,10,all,121383,0.0755,-0.0201,-5.2,0.288
7,25,40,1,s20,10,bull,94598,0.0625,-0.0056,-1.3,0.29
7,25,40,1,s20,10,nonbull,26785,0.1215,-0.0655,-8.0,0.281
7,25,40,1,s20,15,all,121171,0.0831,-0.019,-4.7,0.333
7,25,40,1,s20,15,bull,94386,0.0652,-0.0062,-1.4,0.331
7,25,40,1,s20,15,nonbull,26785,0.1459,-0.0575,-6.7,0.342
7,25,50,0,off,10,all,1059628,0.0878,-0.0078,-6.0,0.285
7,25,50,0,off,10,bull,811778,0.0624,-0.0057,-3.9,0.281
7,25,50,0,off,10,nonbull,247850,0.1711,-0.0158,-5.8,0.298
7,25,50,0,off,15,all,1057138,0.0942,-0.0079,-5.8,0.33
7,25,50,0,off,15,bull,809293,0.0652,-0.0063,-4.1,0.323
7,25,50,0,off,15,nonbull,247845,0.189,-0.0143,-5.0,0.353
7,25,50,0,s0,10,all,566419,0.0787,-0.0169,-9.5,0.285
7,25,50,0,s0,10,bull,442983,0.0558,-0.0123,-6.1,0.284
7,25,50,0,s0,10,nonbull,123436,0.1611,-0.0259,-6.8,0.291
7,25,50,0,s0,15,all,565230,0.0872,-0.0149,-8.0,0.331
7,25,50,0,s0,15,bull,441797,0.0601,-0.0114,-5.4,0.326
7,25,50,0,s0,15,nonbull,123433,0.1843,-0.0191,-4.7,0.35
7,25,50,0,s10,10,all,404358,0.0789,-0.0167,-7.9,0.287
7,25,50,0,s10,10,bull,316865,0.0581,-0.01,-4.2,0.286
7,25,50,0,s10,10,nonbull,87493,0.1542,-0.0327,-7.2,0.29
7,25,50,0,s10,15,all,403494,0.0871,-0.0149,-6.8,0.332
7,25,50,0,s10,15,bull,316003,0.0622,-0.0093,-3.7,0.327
7,25,50,0,s10,15,nonbull,87491,0.1772,-0.0261,-5.5,0.349
7,25,50,0,s20,10,all,207657,0.0713,-0.0243,-8.2,0.287
7,25,50,0,s20,10,bull,163356,0.0598,-0.0084,-2.5,0.289
7,25,50,0,s20,10,nonbull,44301,0.1138,-0.0732,-11.5,0.282
7,25,50,0,s20,15,all,207214,0.0801,-0.022,-7.1,0.332
7,25,50,0,s20,15,bull,162913,0.0652,-0.0062,-1.8,0.33
7,25,50,0,s20,15,nonbull,44301,0.1347,-0.0686,-10.3,0.339
7,25,50,1,off,10,all,545486,0.0819,-0.0137,-7.5,0.286
7,25,50,1,off,10,bull,416300,0.0638,-0.0043,-2.1,0.283
7,25,50,1,off,10,nonbull,129186,0.1403,-0.0466,-12.4,0.295
7,25,50,1,off,15,all,544152,0.0885,-0.0136,-7.2,0.33
7,25,50,1,off,15,bull,414970,0.0669,-0.0045,-2.1,0.325
7,25,50,1,off,15,nonbull,129182,0.1576,-0.0457,-11.6,0.347
7,25,50,1,s0,10,all,300074,0.0661,-0.0295,-12.0,0.284
7,25,50,1,s0,10,bull,234636,0.0481,-0.02,-7.2,0.284
7,25,50,1,s0,10,nonbull,65438,0.1304,-0.0566,-10.8,0.283
7,25,50,1,s0,15,all,299457,0.0759,-0.0261,-10.2,0.329
7,25,50,1,s0,15,bull,234021,0.0539,-0.0175,-6.1,0.326
7,25,50,1,s0,15,nonbull,65436,0.1546,-0.0487,-8.8,0.343
7,25,50,1,s10,10,all,297627,0.0662,-0.0295,-12.0,0.284
7,25,50,1,s10,10,bull,232708,0.0482,-0.02,-7.2,0.284
7,25,50,1,s10,10,nonbull,64919,0.1307,-0.0563,-10.7,0.283
7,25,50,1,s10,15,all,297016,0.0759,-0.0262,-10.2,0.329
7,25,50,1,s10,15,bull,232099,0.0538,-0.0176,-6.1,0.326
7,25,50,1,s10,15,nonbull,64917,0.1548,-0.0485,-8.8,0.343
7,25,50,1,s20,10,all,198455,0.0664,-0.0292,-9.7,0.286
7,25,50,1,s20,10,bull,155841,0.0554,-0.0127,-3.7,0.288
7,25,50,1,s20,10,nonbull,42614,0.1065,-0.0805,-12.4,0.28
7,25,50,1,s20,15,all,198036,0.0753,-0.0268,-8.5,0.331
7,25,50,1,s20,15,bull,155422,0.0612,-0.0103,-2.9,0.329
7,25,50,1,s20,15,nonbull,42614,0.1268,-0.0766,-11.2,0.337
7,25,999,0,off,10,all,1281779,0.0918,-0.0038,-3.2,0.285
7,25,999,0,off,10,bull,981325,0.0667,-0.0014,-1.1,0.281
7,25,999,0,off,10,nonbull,300454,0.1739,-0.013,-5.3,0.298
7,25,999,0,off,15,all,1278694,0.0981,-0.004,-3.2,0.331
7,25,999,0,off,15,bull,978245,0.0699,-0.0016,-1.1,0.324
7,25,999,0,off,15,nonbull,300449,0.19,-0.0134,-5.2,0.353
7,25,999,0,s0,10,all,702389,0.0827,-0.013,-8.1,0.287
7,25,999,0,s0,10,bull,555650,0.0649,-0.0032,-1.8,0.287
7,25,999,0,s0,10,nonbull,146739,0.15,-0.037,-10.6,0.289
7,25,999,0,s0,15,all,700743,0.0908,-0.0113,-6.7,0.333
7,25,999,0,s0,15,bull,554007,0.0699,-0.0015,-0.8,0.329
7,25,999,0,s0,15,nonbull,146736,0.1696,-0.0338,-9.2,0.346
7,25,999,0,s10,10,all,533507,0.0844,-0.0112,-6.1,0.29
7,25,999,0,s10,10,bull,423919,0.0694,0.0013,0.6,0.29
7,25,999,0,s10,10,nonbull,109588,0.1421,-0.0448,-11.1,0.288
7,25,999,0,s10,15,all,532205,0.0923,-0.0098,-5.1,0.334
7,25,999,0,s10,15,bull,422619,0.0746,0.0032,1.5,0.331
7,25,999,0,s10,15,nonbull,109586,0.1603,-0.043,-10.1,0.344
7,25,999,0,s20,10,all,314246,0.0851,-0.0105,-4.4,0.293
7,25,999,0,s20,10,bull,251716,0.0787,0.0106,3.9,0.295
7,25,999,0,s20,10,nonbull,62530,0.1108,-0.0762,-14.2,0.282
7,25,999,0,s20,15,all,313449,0.0933,-0.0088,-3.5,0.336
7,25,999,0,s20,15,bull,250919,0.0854,0.0139,5.0,0.336
7,25,999,0,s20,15,nonbull,62530,0.125,-0.0783,-13.9,0.337
7,25,999,1,off,10,all,685965,0.0895,-0.0061,-3.8,0.287
7,25,999,1,off,10,bull,523167,0.0708,0.0027,1.4,0.284
7,25,999,1,off,10,nonbull,162798,0.1498,-0.0371,-11.1,0.298
7,25,999,1,off,15,all,684281,0.0957,-0.0063,-3.7,0.332
7,25,999,1,off,15,bull,521487,0.0743,0.0029,1.5,0.326
7,25,999,1,off,15,nonbull,162794,0.1643,-0.039,-11.1,0.349
7,25,999,1,s0,10,all,387152,0.0754,-0.0202,-9.3,0.288
7,25,999,1,s0,10,bull,306700,0.0621,-0.006,-2.4,0.289
7,25,999,1,s0,10,nonbull,80452,0.1259,-0.061,-12.9,0.284
7,25,999,1,s0,15,all,386285,0.0848,-0.0172,-7.6,0.333
7,25,999,1,s0,15,bull,305835,0.0689,-0.0025,-1.0,0.331
7,25,999,1,s0,15,nonbull,80450,0.1454,-0.058,-11.7,0.341
7,25,999,1,s10,10,all,384582,0.0755,-0.0201,-9.3,0.288
7,25,999,1,s10,10,bull,304655,0.0622,-0.0059,-2.4,0.289
7,25,999,1,s10,10,nonbull,79927,0.1262,-0.0608,-12.8,0.284
7,25,999,1,s10,15,all,383721,0.0848,-0.0173,-7.6,0.333
7,25,999,1,s10,15,bull,303796,0.0688,-0.0026,-1.0,0.331
7,25,999,1,s10,15,nonbull,79925,0.1454,-0.0579,-11.6,0.341
7,25,999,1,s20,10,all,282878,0.0782,-0.0175,-6.9,0.291
7,25,999,1,s20,10,bull,225703,0.0712,0.0031,1.1,0.293
7,25,999,1,s20,10,nonbull,57175,0.1057,-0.0813,-14.5,0.281
7,25,999,1,s20,15,all,282210,0.0865,-0.0156,-5.9,0.335
7,25,999,1,s20,15,bull,225035,0.078,0.0066,2.2,0.335
7,25,999,1,s20,15,nonbull,57175,0.12,-0.0834,-14.2,0.336
7,30,40,0,off,10,all,476676,0.0848,-0.0108,-5.6,0.284
7,30,40,0,off,10,bull,365422,0.0611,-0.007,-3.2,0.281
7,30,40,0,off,10,nonbull,111254,0.1626,-0.0244,-6.0,0.295
7,30,40,0,off,15,all,475565,0.0908,-0.0113,-5.6,0.329
7,30,40,0,off,15,bull,364311,0.0635,-0.008,-3.4,0.323
7,30,40,0,off,15,nonbull,111254,0.1801,-0.0232,-5.5,0.35
7,30,40,0,s0,10,all,253068,0.0736,-0.022,-8.3,0.284
7,30,40,0,s0,10,bull,197494,0.0506,-0.0175,-5.8,0.282
7,30,40,0,s0,10,nonbull,55574,0.1551,-0.0318,-5.6,0.288
7,30,40,0,s0,15,all,252562,0.0817,-0.0203,-7.3,0.329
7,30,40,0,s0,15,bull,196988,0.0547,-0.0167,-5.3,0.324
7,30,40,0,s0,15,nonbull,55574,0.1774,-0.026,-4.3,0.348
7,30,40,0,s10,10,all,182346,0.0751,-0.0205,-6.5,0.285
7,30,40,0,s10,10,bull,142406,0.0537,-0.0144,-4.1,0.285
7,30,40,0,s10,10,nonbull,39940,0.1515,-0.0355,-5.3,0.287
7,30,40,0,s10,15,all,181986,0.0834,-0.0186,-5.7,0.331
