period,adx_min,adx_max,rising,di,N,regime,n_sym,n_ep,lift,t
14,40,60,1,s20,15,all,1211,8990,-0.1142,-5.5
14,40,60,1,s20,15,bull,1179,7863,-0.055,-2.5
14,40,60,1,s20,15,nonbull,528,1119,-0.4164,-9.5
14,40,999,0,off,10,all,1294,9593,-0.0001,-0.0
14,40,999,0,off,10,bull,1232,7111,0.0246,1.2
14,40,999,0,off,10,nonbull,911,2473,-0.0352,-1.1
14,40,999,0,off,15,all,1292,9567,-0.0096,-0.5
14,40,999,0,off,15,bull,1230,7085,0.0121,0.6
14,40,999,0,off,15,nonbull,911,2473,-0.0494,-1.5
14,40,999,0,s0,10,all,1224,6426,-0.0483,-2.2
14,40,999,0,s0,10,bull,1186,5409,0.0136,0.6
14,40,999,0,s0,10,nonbull,588,1012,-0.2972,-6.9
14,40,999,0,s0,15,all,1223,6408,-0.0599,-2.6
14,40,999,0,s0,15,bull,1185,5391,-0.0005,-0.0
14,40,999,0,s0,15,nonbull,588,1012,-0.3028,-6.7
14,40,999,0,s20,10,all,1223,8833,-0.0977,-4.9
14,40,999,0,s20,10,bull,1189,7698,-0.0374,-1.8
14,40,999,0,s20,10,nonbull,539,1127,-0.3692,-8.8
14,40,999,0,s20,15,all,1222,8809,-0.1148,-5.5
14,40,999,0,s20,15,bull,1188,7674,-0.0535,-2.4
14,40,999,0,s20,15,nonbull,539,1127,-0.4042,-9.3
14,40,999,1,off,10,all,1322,14671,-0.0287,-1.6
14,40,999,1,off,10,bull,1263,11297,-0.0049,-0.3
14,40,999,1,off,10,nonbull,942,3359,-0.1061,-3.6
14,40,999,1,off,15,all,1321,14625,-0.0374,-2.1
14,40,999,1,off,15,bull,1262,11251,-0.0152,-0.8
14,40,999,1,off,15,nonbull,942,3359,-0.1217,-4.0
14,40,999,1,s0,10,all,1222,9451,-0.0979,-5.0
14,40,999,1,s0,10,bull,1191,8258,-0.039,-1.9
14,40,999,1,s0,10,nonbull,545,1184,-0.3772,-9.0
14,40,999,1,s0,15,all,1221,9415,-0.1121,-5.5
14,40,999,1,s0,15,bull,1190,8222,-0.0523,-2.4
14,40,999,1,s0,15,nonbull,545,1184,-0.4097,-9.4
14,40,999,1,s20,10,all,1217,9187,-0.0963,-4.8
14,40,999,1,s20,10,bull,1185,8046,-0.0421,-2.0
14,40,999,1,s20,10,nonbull,529,1133,-0.3751,-8.9
14,40,999,1,s20,15,all,1216,9153,-0.1149,-5.6
14,40,999,1,s20,15,bull,1184,8012,-0.0593,-2.8
14,40,999,1,s20,15,nonbull,529,1133,-0.4083,-9.3
21,25,60,0,off,10,all,1336,14409,0.0394,2.2
21,25,60,0,off,10,bull,1279,10714,0.0764,3.9
21,25,60,0,off,10,nonbull,1020,3681,-0.0453,-1.6
21,25,60,0,off,15,all,1335,14362,0.0304,1.7
21,25,60,0,off,15,bull,1278,10667,0.0711,3.6
21,25,60,0,off,15,nonbull,1020,3681,-0.0695,-2.4
21,25,60,0,s0,10,all,1306,12272,-0.0156,-0.9
21,25,60,0,s0,10,bull,1263,9785,0.0254,1.3
21,25,60,0,s0,10,nonbull,894,2474,-0.1472,-4.7
21,25,60,0,s0,15,all,1305,12239,-0.0182,-1.0
21,25,60,0,s0,15,bull,1262,9752,0.0221,1.1
21,25,60,0,s0,15,nonbull,894,2474,-0.1401,-4.3
21,25,60,0,s20,10,all,1267,12889,-0.0444,-2.4
21,25,60,0,s20,10,bull,1228,11262,0.01,0.5
21,25,60,0,s20,10,nonbull,651,1610,-0.3622,-9.6
21,25,60,0,s20,15,all,1266,12848,-0.0534,-2.8
21,25,60,0,s20,15,bull,1227,11221,0.0034,0.2
21,25,60,0,s20,15,nonbull,651,1610,-0.404,-10.4
21,25,60,1,off,10,all,1386,30159,-0.0028,-0.2
21,25,60,1,off,10,bull,1324,23106,0.011,0.7
