strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
atr,EUR_GBP,447,-0.07045039182007067,-0.16607871139434505,-1.4439526761744446,-0.10291023662764834,-0.09707559637604045,0.051258019253787764,-0.06809741574325698,-0.002352976076813687,none
atr,EUR_USD,468,-0.015275184261153648,-0.12085839881058681,-0.2835617506023535,0.051839093928704005,-0.15576862501789274,0.16116467226283637,-0.011603879047570176,-0.003671305213583472,none
macd,CHF_JPY,194,-0.10623674884625803,-0.2527871460990382,-1.4208356418134214,0.04792344855491178,-0.28767775257186134,-0.06493262862950328,-0.10037788086832457,-0.00585886797793346,none
atr,USD_SGD,409,-0.0290450998843597,-0.1207556003979695,-0.6207402146376562,-0.11039286708439644,-0.029312935587272427,0.11676856902546937,-0.012192442280158892,-0.016852657604200807,none
ichimoku,EUR_USD,172,-0.010221741235600173,-0.10953355402265262,-0.20173443882990227,0.0588286628482104,-0.09141634324761272,0.015144213166646027,0.012331203692970203,-0.022552944928570375,none
atr,CAD_CHF,478,-0.00020285895019075763,-0.11040703847232604,-0.003607880790891633,-0.05276068768745845,0.017285581700205086,0.060160511191101405,0.024918041943962965,-0.02512090089415372,none
ichimoku,USD_JPY,155,-0.09166341663042299,-0.23045263759427906,-1.2944830682666397,-0.07668402076800629,-0.029017845930948857,-0.26004511627018395,-0.06520398717024496,-0.026459429460178027,none
atr,NZD_USD,384,-0.046456156939712855,-0.19519126825827207,-0.6121894608114328,0.0249773942263959,-0.17371197960651763,0.09004927729326777,-0.01478432574203828,-0.031671831197674576,none
macd,CAD_JPY,135,-0.08750173957601085,-0.20678527535959612,-1.437779392121121,-0.058907712819627055,-0.16774027306648928,0.020589457220868218,-0.04518096129500732,-0.04232077828100352,none
macd,USD_JPY,155,-0.15283919900713647,-0.2503599660957037,-3.071805513813546,-0.23795283722445662,-0.1672563043189181,0.04875589219631822,-0.10483941519952415,-0.047999783807612315,none
atr,NZD_JPY,375,-0.10668511732349276,-0.20414179464136148,-2.1455977744041834,-0.060741316531272516,-0.16452935529537163,-0.08491265243855783,-0.051421533724063426,-0.05526358359942933,none
ichimoku,USD_CAD,178,-0.10638006087716201,-0.24506850242261677,-1.5034051648125313,-0.004003200569018652,-0.08682508077696056,-0.3445561383433991,-0.04827102579812165,-0.05810903507904036,none
ichimoku,CHF_JPY,174,-0.16379276718104915,-0.2686080188853076,-3.0628541023845424,-0.1332878182849179,-0.12592384863990033,-0.2986169364235745,-0.1006506638621364,-0.06314210331891275,none
macd,USD_CAD,189,-0.13090597911733884,-0.24258023798964184,-2.2975367972969725,-0.14604994267145316,-0.057881825425876166,-0.2857579516020718,-0.06033315017363807,-0.07057282894370076,none
macd,NZD_JPY,158,-0.1352903173928091,-0.2782374194804037,-1.8550150245607402,-0.1265817346594382,-0.15809431605717905,-0.10811699053261799,-0.061921549220423755,-0.07336876817238536,none
atr,CAD_JPY,378,-0.1464794810071446,-0.22106234832812083,-3.8494066142353502,-0.16961523776423906,-0.17342665142526978,-0.0561323857843218,-0.03509292488147192,-0.11138655612567269,none
ichimoku,NZD_JPY,145,-0.19148069828307412,-0.3452303453011612,-2.4409953187773814,-0.02713578261482293,-0.25772267778684804,-0.4115403873539627,-0.06781371416113083,-0.1236669841219433,none
macd,GBP_CAD,160,-0.16699802744082168,-0.273532810138131,-3.0723874916419875,-0.15784311707788268,-0.2133295833631007,-0.07851590780125546,0.013667762913349346,-0.18066579035417102,none
atr,NZD_CHF,412,0.08339218788625105,-0.017631369970200136,1.6179264690846018,0.05259023354290117,0.06391739758345893,0.19408313010243775,-0.029370860156910844,0.1127630480431619,promising
macd,NZD_USD,164,0.08076655062598953,-0.04585291072862205,1.2502220237977184,0.005580571788206674,0.04890267483294561,0.3598616914103292,-0.03148190254840847,0.112248453174398,promising
atr,EUR_CAD,492,0.01905896447212491,-0.07078304062453596,0.4157918150332245,0.08800670685208209,-0.05434873865147489,0.05196465829040622,-0.07655904412344082,0.09561800859556573,promising
macd,EUR_CHF,186,0.09322220050648135,-0.08238463519047008,1.0404806411295948,0.09598273134425424,0.07386455460501105,0.13792569124077633,0.0013735417002317294,0.09184865880624962,promising
