tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tf,period,std,depth,direction,variant,total_n
270.0,0.07977999956696075,0.058630372652244966,-0.03513553083143939,0.19469552996536088,116.0,-0.10136450838770798,0.09047542700961146,-0.27869634532654647,0.07596732855113049,EUR_USD,H4,10,1.5,0.1,short,C,386
270.0,-0.0032224050125970786,0.06139292354948938,-0.12355253516959626,0.11710772514440211,116.0,-0.13576242933029448,0.09172503488425149,-0.3155434977034274,0.044018639042838426,EUR_USD,H4,10,1.5,0.1,short,D,386
233.0,-0.014537880419050528,0.0636660418823344,-0.13932332250842597,0.1102475616703249,100.0,-0.033986346391407046,0.09758839045812652,-0.22525959168933501,0.15728689890652092,EUR_USD,H4,10,1.5,0.25,short,A,333
193.0,0.016618438573240774,0.187244629289893,-0.35038103483494953,0.383617911981431,84.0,-0.33683436828029023,0.2446394830286463,-0.816327755016437,0.1426590184558565,EUR_USD,H4,10,1.5,0.25,short,B,277
70.0,-0.03661286485352834,0.1170538817697822,-0.26603847312230144,0.19281274341524474,31.0,0.01634875134824374,0.17168983594600032,-0.3201633271059169,0.3528608298024044,EUR_USD,H4,10,1.5,0.25,short,C,101
70.0,-0.0647923965763566,0.12328838325899877,-0.3064376277639942,0.17685283461128098,31.0,-0.5677566276425069,0.14798394355879643,-0.8578051570177478,-0.2777080982672659,EUR_USD,H4,10,1.5,0.25,short,D,101
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,short,A,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,short,B,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,short,C,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.5,short,D,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,short,A,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,short,B,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,short,C,0
,,,,,,,,,,EUR_USD,H4,10,1.5,0.75,short,D,0
370.0,0.08427119142168286,0.04994789248199497,-0.013626677843027277,0.182169060686393,159.0,-0.014269323957187477,0.07814210540427957,-0.16742785054957543,0.1388892026352005,EUR_USD,H4,10,2.0,0.0,long,A,529
368.0,-0.062209750607539936,0.07382586881271376,-0.20690845348045891,0.08248895226537903,158.0,0.15995980098971455,0.12890001677711355,-0.09268423189342798,0.41260383387285704,EUR_USD,H4,10,2.0,0.0,long,B,526
284.0,0.08269141248477581,0.05714759124394786,-0.02931786635336199,0.19470069132291362,123.0,-0.05576338022699616,0.08899125651831888,-0.23018624300290114,0.11865948254890883,EUR_USD,H4,10,2.0,0.0,long,C,407
284.0,-0.07435236448921298,0.06743049328581731,-0.2065161313294149,0.057811402350988944,123.0,0.12156744229047134,0.10865925985192582,-0.09140470701930326,0.33453959160024593,EUR_USD,H4,10,2.0,0.0,long,D,407
141.0,0.18981094682352312,0.07962705134884229,0.03374192617979224,0.345879967467254,61.0,0.10899689963994177,0.1235495130502525,-0.1331601459385531,0.3511539452184367,EUR_USD,H4,10,2.0,0.1,long,A,202
138.0,-0.1134271306232312,0.13800095603483353,-0.3839090044515049,0.1570547432050425,60.0,-0.188817221057304,0.23615757526685902,-0.6516860685803476,0.27405162646573966,EUR_USD,H4,10,2.0,0.1,long,B,198
72.0,0.13063503695818893,0.11114360742626425,-0.087206433597289,0.3484765075136669,32.0,0.06915885988592302,0.17442328502120177,-0.27271077875563243,0.41102849852747847,EUR_USD,H4,10,2.0,0.1,long,C,104
72.0,0.03375639426820374,0.13868531155476038,-0.2380668163791266,0.3055796049155341,32.0,-0.24356361176516386,0.19119313260556883,-0.6183021516720788,0.13117492814175105,EUR_USD,H4,10,2.0,0.1,long,D,104
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.25,long,D,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,long,A,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,long,B,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,long,C,0
,,,,,,,,,,EUR_USD,H4,10,2.0,0.5,long,D,0
