tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
83,-0.17742671054999348,0.10668666185806645,-0.3865325677918037,0.03167914669181676,36,-0.04857346409763398,0.16417723406595516,-0.37036084286690607,0.27321391467163814,AUD_CHF,s2,True,long,119
77,-0.09008369331244029,0.11309166170778602,-0.3117433502597009,0.1315759636348203,33,-0.23226456546916466,0.16838818663682584,-0.5623054112773433,0.097776280339014,AUD_CHF,s3,False,long,110
31,0.0967741935483871,0.18171724881099016,-0.25939161412115364,0.45294000121792777,14,-0.2857142857142857,0.26578871697687523,-0.8066601709889611,0.23523159956038975,AUD_CHF,s3,True,long,45
497,0.07463678762077024,0.04425436616831535,-0.012101770069127854,0.16137534531066833,214,0.022236545278762454,0.06835096189900836,-0.11173134004329391,0.15620443060081882,AUD_CHF,r1,False,short,711
198,0.0601666371158485,0.070192607196294,-0.07741087298888774,0.19774414722058473,85,0.020689655172413713,0.10847935346537299,-0.19192987761971733,0.23330918796454478,AUD_CHF,r1,True,short,283
198,0.10739964142319013,0.06978116857257287,-0.02937144897905268,0.24417073182543292,85,0.163800234126838,0.10698656426036596,-0.04589343182347927,0.37349390007715527,AUD_CHF,r2,False,short,283
85,0.18753358061718425,0.10527507208613555,-0.018805560671641436,0.39387272190600997,37,0.32224378110219537,0.15539305709300902,0.017673389199897693,0.626814173004493,AUD_CHF,r2,True,short,122
61,0.22652841397136853,0.12432430021899485,-0.01714721445786138,0.47020404240059843,27,-0.037037037037037035,0.19598157859737708,-0.4211609310878961,0.347086857013822,AUD_CHF,r3,False,short,88
28,0.08469361512219827,0.18966088869618364,-0.2870417267223217,0.4564289569667182,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,AUD_CHF,r3,True,short,40
496,-0.010946405170489473,0.041569029673738885,-0.0924217033310177,0.07052889299003874,213,0.14195587326468967,0.05838504112917912,0.027521192651498605,0.25639055387788073,AUD_NZD,s1,False,long,709
229,0.05385421414304211,0.06045968614961373,-0.06464677071020081,0.17235519899628501,99,0.22978711162351476,0.08427932200257485,0.06459964049846806,0.39497458274856145,AUD_NZD,s1,True,long,328
188,0.00882314815509538,0.06678641912129712,-0.12207823332264697,0.13972452963283774,81,0.11461449908346362,0.09633981039167304,-0.07421152928421552,0.30344052745114275,AUD_NZD,s2,False,long,269
78,0.07806644187790134,0.10575907506470775,-0.12922134524892587,0.2853542290047285,34,-0.017403626802272573,0.1514776137055647,-0.3142997496651794,0.2794924960606342,AUD_NZD,s2,True,long,112
65,0.03821791095655976,0.1130468737712461,-0.18335396163508258,0.2597897835482021,29,0.17429462029509832,0.1505149899865334,-0.12071476007850715,0.4693040006687038,AUD_NZD,s3,False,long,94
27,0.029846194027260766,0.17306695277908526,-0.30936503341974636,0.36905742147426784,12,0.0022526870203907388,0.2673675985589525,-0.5217878061551561,0.5262931801959375,AUD_NZD,s3,True,long,39
514,0.06756805023034065,0.04130611586543702,-0.013391936865915902,0.1485280373265972,221,-0.10797487450201071,0.054944763579868265,-0.2156666111185525,-0.0002831378854689093,AUD_NZD,r1,False,short,735
212,0.13623667923225258,0.06343970365128983,0.011894860075724517,0.26057849838878067,92,-0.19328510690454567,0.08544664398302215,-0.3607605291112691,-0.025809684697822244,AUD_NZD,r1,True,short,304
212,0.033560537383399786,0.06467898885618799,-0.09321028077472868,0.16033135554152825,92,-0.03421163824084641,0.09030080354077069,-0.21120121318075696,0.14277793669906413,AUD_NZD,r2,False,short,304
89,0.00045991593766131174,0.09865378629814725,-0.1929015052067073,0.19382133708202992,39,0.03101940211371047,0.14330431065864976,-0.24985704677724307,0.311895851004664,AUD_NZD,r2,True,short,128
76,0.13937660031973673,0.10747848813525893,-0.07128123642537076,0.3500344370648442,33,-0.11070738499010814,0.14011254425820183,-0.3853279717361837,0.16391320175596746,AUD_NZD,r3,False,short,109
30,0.11190703656246231,0.17544881725246203,-0.23197264525236327,0.4557867183772879,14,0.22026833998993617,0.2412190704293292,-0.252521038051549,0.6930577180314214,AUD_NZD,r3,True,short,44
500,-0.014346730317029568,0.043611639008235885,-0.0998255427731719,0.07113208213911276,215,0.13144120044056254,0.06544765850466921,0.00316378977141088,0.25971861110971417,AUD_CAD,s1,False,long,715
209,0.05061677818958727,0.06720232265854342,-0.08109977422115786,0.18233333060033238,90,0.4006341902189481,0.09472808190052175,0.21496714969392547,0.5863012307439707,AUD_CAD,s1,True,long,299
194,-0.022366455991333908,0.0699414834951157,-0.15945176364176067,0.11471885165909285,84,0.023087141461662932,0.10655074978358502,-0.1857523281141637,0.23192661103748957,AUD_CAD,s2,False,long,278
76,-0.022902118787509737,0.1125729597754672,-0.24354511994742545,0.197740882372406,33,-0.014241751376324992,0.17465926195107817,-0.3565739048004382,0.3280904020477882,AUD_CAD,s2,True,long,109
70,0.05684213577360887,0.11789278080470604,-0.17422771460361497,0.2879119861508327,31,0.0633316559929392,0.17437439044610736,-0.2784421492814312,0.4051054612673096,AUD_CAD,s3,False,long,101
33,0.030303030303030304,0.1766955119650091,-0.3160201731483875,0.37662623375444815,15,0.4666666666666667,0.23637473611411156,0.0033721838830080286,0.9299611494503253,AUD_CAD,s3,True,long,48
500,0.044467852616109,0.04362074166440926,-0.041028801046133156,0.12996450627835116,215,0.1199992678843831,0.06456558022265883,-0.0065492693520282225,0.24654780512079444,AUD_CAD,r1,False,short,715
212,0.03050491228363199,0.06730448194438506,-0.10141187232736272,0.1624216968946267,91,0.11410451876678006,0.09988385209284188,-0.08166783133519002,0.30987686886875015,AUD_CAD,r1,True,short,303
179,0.12750394395305864,0.07240938482801838,-0.014418450309857389,0.26942633821597467,78,-0.09381710663410371,0.10682561951595557,-0.3031953208853766,0.11556110761716919,AUD_CAD,r2,False,short,257
80,0.13108754902016045,0.10854909258864645,-0.08166867245358658,0.34384377049390746,35,-0.14299614487436568,0.15816143683663364,-0.45299256107416763,0.16700027132543627,AUD_CAD,r2,True,short,115
54,0.1443011823342395,0.1323034023470659,-0.11501348626600966,0.40361585093448865,24,0.2332035735484196,0.19986888299671196,-0.15853943712513582,0.624946584221975,AUD_CAD,r3,False,short,78
