tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
435,-0.07215230037453585,0.047735451423530986,-0.16571378516465657,0.021409184415584884,187,0.0481283422459893,0.07323858723057396,-0.09541928872593564,0.19167597321791424,USD_SEK,r1,True,short,622
352,-0.01854959992039988,0.05323302574747783,-0.12288633038545643,0.08578713054465667,151,0.019867549668874173,0.08163354214496862,-0.14013419293526433,0.17986929227301265,USD_SEK,r2,False,short,503
191,0.025620937816190147,0.07248552288322993,-0.11645068703494052,0.16769256266732083,82,0.024390243902439025,0.11107805708357286,-0.19332274798136379,0.24210323578624182,USD_SEK,r2,True,short,273
118,-0.09251678977106033,0.09166198007392638,-0.272174270715956,0.08714069117383537,52,0.23076923076923078,0.13624844392924546,-0.036277719332090286,0.49781618087055185,USD_SEK,r3,False,short,170
61,0.01639344262295082,0.1290820962952756,-0.23660746611578934,0.269394351361691,27,0.25925925925925924,0.18941048590991066,-0.11198529312416566,0.6305038116426842,USD_SEK,r3,True,short,88
882,0.002174086231836127,0.0330888716980095,-0.0626801022962625,0.06702827475993475,379,0.011625981950952605,0.05092432863025179,-0.0881857021643409,0.11143766606624611,AUD_CHF,s1,False,long,1261
480,0.08760153340093539,0.04459431322823866,0.00019667947358761873,0.17500638732828316,207,0.07999852787124159,0.06852391851586728,-0.05430835241985829,0.21430540816234148,AUD_CHF,s1,True,long,687
360,-0.06043268061737509,0.051967107606136875,-0.16228821152540338,0.041422850290653186,155,-0.002237160695939736,0.07965577745907958,-0.1583624845157357,0.15388816312385623,AUD_CHF,s2,False,long,515
199,-0.07837120652760458,0.06961241583412371,-0.21481154156248705,0.0580691285072779,86,0.017763277154429147,0.10682204445564666,-0.1916079299786383,0.2271344842874966,AUD_CHF,s2,True,long,285
131,0.03130687159010096,0.08675439662585414,-0.13873174579657316,0.20134548897677507,57,-0.20461911870319532,0.12916202250733916,-0.45777668281758005,0.0485384454111894,AUD_CHF,s3,False,long,188
66,0.22788012415192235,0.11980390922791831,-0.0069355379347975366,0.46269578623864227,29,-0.10344827586206896,0.18796831555013707,-0.4718661743403376,0.2649696226161997,AUD_CHF,s3,True,long,95
858,0.05214302790113076,0.03374948152359592,-0.014005955885117244,0.11829201168737877,369,-0.043045808841117444,0.051659583915097985,-0.1442985933147095,0.05820697563247461,AUD_CHF,r1,False,short,1227
448,0.02214389274143495,0.04677491704065152,-0.06953494465824203,0.11382273014111194,193,-0.03549312859838425,0.07128243920047268,-0.1752067094313107,0.10422045223454221,AUD_CHF,r1,True,short,641
