tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
58,0.022172271741849096,0.12896983517637015,-0.23060860520383636,0.27495314868753457,25,0.28,0.19595917942265426,-0.10407999166840232,0.6640799916684024,EUR_JPY,s2,True,long,83
28,0.21428571428571466,0.18797967114804784,-0.15415444116445912,0.5827258697358885,12,0.3863352844755273,0.2321577282419803,-0.06869386287875412,0.8413644318298087,EUR_JPY,s3,False,long,40
26,0.3076923076923081,0.1902971827208152,-0.06529017044048968,0.6806747858251059,12,0.3863352844755273,0.2321577282419803,-0.06869386287875412,0.8413644318298087,EUR_JPY,s3,True,long,38
198,0.0962402930320682,0.06939076959692311,-0.03976561537790109,0.2322462014420375,86,-0.22014571577612205,0.10114118369817716,-0.41838243582454926,-0.021908995727694808,EUR_JPY,r1,False,short,284
156,0.1809432751557282,0.07704046281796267,0.029943968032521362,0.33194258227893503,67,-0.194548502432793,0.11532005721511608,-0.4205758145744205,0.031478809708834515,EUR_JPY,r1,True,short,223
88,-0.11671538198053076,0.10527507953465239,-0.32305453786844945,0.08962377390738792,38,-0.05083662352821885,0.16390077401481956,-0.3720821405972652,0.27040889354082753,EUR_JPY,r2,False,short,126
70,-0.11428571428571443,0.11959707569435231,-0.3486959826466449,0.12012455407521608,30,0.13560694353092279,0.1835679537402355,-0.2241862457999388,0.49540013286178436,EUR_JPY,r2,True,short,100
21,-0.3333333333333333,0.21081851067789195,-0.7465376142620015,0.07987094759533492,10,-0.4,0.3055050463303893,-0.998789890807563,0.19878989080756293,EUR_JPY,r3,False,short,31
16,-0.25,0.25,-0.74,0.24,7,-0.7142857142857143,0.28571428571428575,-1.2742857142857145,-0.15428571428571425,EUR_JPY,r3,True,short,23
219,0.03831538456442164,0.06754760656254624,-0.09407792429816898,0.17070869342701228,95,0.20708554322395076,0.09964787172984287,0.01177571463345875,0.40239537181444274,GBP_JPY,s1,False,long,314
184,0.09451668054134968,0.07342007973062241,-0.04938667573067024,0.2384200368133696,79,0.17307755197816863,0.10986678296035898,-0.04226134262413497,0.38841644658047225,GBP_JPY,s1,True,long,263
67,0.036412678015795764,0.12226608422904228,-0.2032288470731271,0.2760542031047186,29,0.06874029146986883,0.18524052749839526,-0.2943311424269859,0.4318117253667235,GBP_JPY,s2,False,long,96
54,0.026660174575154,0.13628149218837043,-0.24045155011405203,0.29377189926436004,24,0.041394518859424835,0.20394176541868045,-0.3583313413611888,0.44112037908003854,GBP_JPY,s2,True,long,78
25,-0.12000000000000043,0.2026491220476087,-0.5171922792133135,0.27719227921331263,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,GBP_JPY,s3,False,long,37
24,-0.0833333333333338,0.20778914433245885,-0.4906000562249532,0.32393338955828554,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,GBP_JPY,s3,True,long,35
198,0.03469663454683163,0.07102695131556754,-0.10451619003168072,0.173909459125344,86,-0.0514505847382058,0.1058923086529752,-0.2589995096980372,0.1560983402216256,GBP_JPY,r1,False,short,284
153,0.012221788498514137,0.0808436295413122,-0.1462317254024578,0.17067530239948606,66,-0.0367386407194803,0.12032098416914307,-0.2725677696910007,0.19909048825204012,GBP_JPY,r1,True,short,219
67,0.014925373134328358,0.12307777986918386,-0.22630707540927203,0.2561578216779287,30,-0.2214451483768275,0.17390743162557537,-0.5623037143629552,0.11941341760930024,GBP_JPY,r2,False,short,97
48,-0.041666666666666664,0.1457383175777801,-0.3273137691191157,0.24398043578578235,21,-0.19513874302433057,0.21092806626476535,-0.6085577529032706,0.21828026685460952,GBP_JPY,r2,True,short,69
35,-0.23470481913617805,0.16428623390259317,-0.5567058375852607,0.08729619931290458,16,0.055193890964004955,0.24970752252294243,-0.4342328531809622,0.5446206351089722,GBP_JPY,r3,False,short,51
25,-0.32858674679064925,0.18862154076181953,-0.6982849666838156,0.041111473102517004,11,0.09090909090909091,0.3149183286488867,-0.526330833242727,0.7081490150609089,GBP_JPY,r3,True,short,36
224,-0.15558027175986985,0.06565043648886584,-0.2842551272780469,-0.026905416241692792,97,0.04570439198059187,0.09860617690602493,-0.14756371475521698,0.23897249871640072,GBP_AUD,s1,False,long,321
175,-0.06771417642406194,0.07491904099560323,-0.21455549677544428,0.0791271439273204,75,0.005777680294898815,0.11129245098928135,-0.21235552364409263,0.22391088423389024,GBP_AUD,s1,True,long,250
83,-0.12800478274227156,0.10911304446247826,-0.34186634988872894,0.08585678440418582,36,0.027364803419167767,0.16316945502337737,-0.2924473284266519,0.3471769352649874,GBP_AUD,s2,False,long,119
70,-0.19463424239440785,0.11754748601384671,-0.4250273149815474,0.03575883019273168,30,0.09950443076966799,0.17706582172067306,-0.24754457980285122,0.44655344134218716,GBP_AUD,s2,True,long,100
26,-0.025757742992880993,0.1964760593167952,-0.41085081925379957,0.3593353332680376,12,-0.24042864926153262,0.27960362534072586,-0.7884517549293553,0.30759445640629,GBP_AUD,s3,False,long,38
21,0.015728508675480674,0.21878398845482788,-0.413088108695982,0.4445451260469433,9,-0.20946042123759903,0.3252846816450163,-0.8470183972618309,0.4280975547866329,GBP_AUD,s3,True,long,30
240,0.041883563464678204,0.06383777324997918,-0.08323847210528099,0.16700559903463738,103,-0.03400394422692955,0.09359975361627901,-0.2174594613148364,0.14945157286097732,GBP_AUD,r1,False,short,343
196,0.12949083899356745,0.07009446750726654,-0.00789431732067497,0.26687599530780987,85,-0.048157033778142976,0.10235107686957277,-0.2487651444425056,0.15245107688621964,GBP_AUD,r1,True,short,281
89,-0.04104506266184784,0.10535425541874557,-0.24753940328258917,0.16544927795889347,39,0.05878005024452888,0.15062077556741674,-0.23643666986760792,0.35399677035666566,GBP_AUD,r2,False,short,128
