tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
1281,0.026072901555346927,0.0274786242483416,-0.02778520197140261,0.07993100508209647,550,0.2013724496543342,0.040115206384169336,0.12274664514136231,0.2799982541673061,CAD_CHF,21,30,1,short,1831
935,0.07039517491257975,0.03129202438741141,0.009062807113253392,0.13172754271190612,401,0.10837725653654001,0.049250643979836736,0.011845994336060012,0.20490851873702,USD_JPY,5,15,1,long,1336
1171,0.04439715903733227,0.027993224128688637,-0.01046956025489746,0.09926387832956199,502,0.06885546948269704,0.044081509983982504,-0.017544290085908673,0.15525522905130273,USD_JPY,5,20,1,long,1673
1365,0.03818545130824117,0.025955635121284744,-0.012687593529476925,0.08905849614595926,586,0.09553947830126726,0.04066749915424647,0.015831179958944175,0.17524777664359034,USD_JPY,5,25,1,long,1951
1517,0.0392617411170869,0.024598670196560084,-0.008951652468170868,0.08747513470234466,651,0.07449213758674865,0.038675627237447024,-0.0013120917986475106,0.15029636697214482,USD_JPY,5,30,1,long,2168
844,0.0690752796719014,0.03305492266763421,0.0042876312433383496,0.13386292810046446,363,0.14848461299752366,0.05143314782225051,0.04767564326591267,0.24929358272913466,USD_JPY,9,15,1,long,1207
1019,0.0631069421904975,0.030025465199597694,0.00425703039928603,0.12195685398170898,437,0.14445673790095376,0.04690916470158511,0.05251477508584694,0.23639870071606056,USD_JPY,9,20,1,long,1456
608,0.0777358866580395,0.038954016224388946,0.0013860148582371667,0.15408575845784184,261,0.13757671190084972,0.06106529605305471,0.017888731636862484,0.25726469216483694,USD_JPY,9,20,2,long,869
345,0.10000590341308258,0.05180308776913119,-0.001528148614414554,0.2015399554405797,148,0.27348445588883497,0.07880586678709589,0.11902495698612703,0.4279439547915429,USD_JPY,9,20,3,long,493
1180,0.06664479213239362,0.027861792091709497,0.012035679632643001,0.12125390463214424,506,0.12169822196220109,0.0437494928931916,0.035949215891545566,0.20744722803285662,USD_JPY,9,25,1,long,1686
696,0.06693076264487137,0.03640126359217458,-0.004415713995790813,0.13827723928553354,299,0.14488738144991462,0.056939924013085653,0.03328513038426674,0.2564896325155625,USD_JPY,9,25,2,long,995
1314,0.05651634811595724,0.026397359385496658,0.004777523720383793,0.10825517251153069,564,0.11910020787178714,0.04146451937273286,0.03782974990123074,0.20037066584234353,USD_JPY,9,30,1,long,1878
760,0.0609662748813752,0.03487025889657825,-0.007379432555918171,0.12931198231866858,326,0.1298200216365782,0.05467006432191164,0.022666695565631376,0.23697334770752498,USD_JPY,9,30,2,long,1086
770,0.0611872299777804,0.034643431445977396,-0.006713895656335296,0.1290883556118961,330,0.13153945312534546,0.05418586440997613,0.025335158881792247,0.23774374736889867,USD_JPY,14,15,1,long,1100
917,0.05561473465019452,0.0317620917156622,-0.006638965112503392,0.11786843441289244,394,0.14666684685579087,0.04938637390645801,0.049869553999133176,0.24346413971244857,USD_JPY,14,20,1,long,1311
1082,0.062882417844779,0.029255884997859055,0.0055408832489752605,0.12022395244058276,464,0.1485028635011407,0.04550832009812036,0.05930655610882479,0.2376991708934566,USD_JPY,14,25,1,long,1546
1201,0.060596499770887255,0.027674023083942748,0.006355414526359474,0.11483758501541504,516,0.1141576136909482,0.043395210520769445,0.029103001070240095,0.1992122263116563,USD_JPY,14,30,1,long,1717
697,0.0658297472311154,0.0366060238937871,-0.0059180596007073205,0.13757755406293812,299,0.113952386197735,0.05723865120085418,0.0017646298440607971,0.22614014255140918,USD_JPY,14,30,2,long,996
387,0.09075255235502641,0.048989585561366754,-0.005267035345252427,0.18677214005530524,166,0.19243387462022665,0.0757714089545167,0.04392191306937393,0.3409458361710794,USD_JPY,14,30,3,long,553
690,0.053989870782992666,0.03669836476302976,-0.017938924152545666,0.125918665718531,296,0.11139345928303698,0.05724320085508731,-0.0008032143929341401,0.2235901329590081,USD_JPY,21,15,1,long,986
832,0.053277772788342115,0.03345692302692894,-0.012297796344438602,0.11885334192112283,357,0.10927110921428064,0.05214231874599224,0.00707216447213585,0.21147005395642543,USD_JPY,21,20,1,long,1189
971,0.0614503665420344,0.03097822418930818,0.0007330471309903719,0.12216768595307843,417,0.10102728295646492,0.04829223843105404,0.006374495631599003,0.19568007028133083,USD_JPY,21,25,1,long,1388
305,0.11655186726353661,0.05541387545047936,0.007940671380597078,0.22516306314647616,132,0.17027045054202705,0.0854818634966203,0.0027259980886512603,0.33781490299540284,USD_JPY,21,25,3,long,437
1101,0.06729755818629082,0.0290432288523642,0.010372829635656992,0.12422228673692465,472,0.12103469701874126,0.04533466189089391,0.03217875971258918,0.20989063432489333,USD_JPY,21,30,1,long,1573
940,0.07194956717817089,0.031105118050006025,0.01098353580015908,0.13291559855618268,404,0.06380245848640645,0.040208245655416454,-0.015005702998209802,0.1426106199710227,EUR_GBP,14,15,1,long,1344
1261,0.06315832173697335,0.026738703219443737,0.010750463426863623,0.11556618004708308,541,0.06762351493452887,0.034836809047060796,-0.000656630797710292,0.135903660666768,EUR_GBP,14,25,1,long,1802
1421,0.0464068603736065,0.025194537250399836,-0.002974432637177178,0.09578815338439017,609,0.06153859161904409,0.03283663977935979,-0.002821222348501108,0.1258984055865893,EUR_GBP,14,30,1,long,2030
886,0.0836579588872937,0.03202818603543271,0.02088271425784559,0.14643320351674183,380,0.06067770212342193,0.041014388749535884,-0.019710499825668394,0.14106590407251227,EUR_GBP,21,15,1,long,1266
1212,0.09562401207453394,0.027215200429971304,0.04228221923179019,0.1489658049172777,520,0.050543502759864335,0.03529559981936952,-0.01863587288609992,0.1197228784058286,EUR_GBP,21,25,1,long,1732
1339,0.07944629915819147,0.02586145709440613,0.02875784325315546,0.13013475506322747,575,0.08151518241465536,0.03357477828029169,0.01570861698528364,0.14732174784402707,EUR_GBP,21,30,1,long,1914
1119,0.016490386033738615,0.02962051294053467,-0.04156581932970933,0.07454659139718657,480,0.12369393424847376,0.042722981829652146,0.03995688986235556,0.20743097863459198,GBP_NZD,5,15,1,long,1599
468,0.011463696998984753,0.045936719878717856,-0.07857227396330224,0.10149966796127174,201,0.09160704394232683,0.0667095220430187,-0.03914361926198984,0.2223577071466435,GBP_NZD,5,25,3,long,669
501,0.025955909549621247,0.04436499652127884,-0.06099948363208528,0.11291130273132778,216,0.08707887372427127,0.0644833321943115,-0.03930845737657927,0.2134662048251218,GBP_NZD,5,30,3,long,717
1004,0.07928216531406547,0.02992049554772732,0.02063799404051992,0.13792633658761103,431,0.14123278772770487,0.04644240342780022,0.05020567700921644,0.2322598984461933,CHF_JPY,5,15,1,long,1435
599,0.09051897275654051,0.038478873775323365,0.01510038015690672,0.16593756535617432,258,0.3039719812144609,0.05787418565738637,0.19053857732598362,0.4174053851029382,CHF_JPY,5,15,2,long,857
339,0.09489668797138093,0.05108054755233381,-0.0052211852311933316,0.1950145611739552,146,0.21196772920158502,0.07811341505276463,0.05886543569816635,0.36507002270500366,CHF_JPY,5,15,3,long,485
1234,0.06648067417126428,0.02706628616442362,0.013430753288993992,0.11953059505353458,529,0.13150590555570346,0.04197594901889289,0.049233045478673396,0.21377876563273351,CHF_JPY,5,20,1,long,1763
727,0.08041545198353638,0.03496762175538389,0.011878913342983952,0.14895199062408881,312,0.27219783485054344,0.05315138534980676,0.1680211195649222,0.3763745501361647,CHF_JPY,5,20,2,long,1039
403,0.08869090276112943,0.046873643769972245,-0.003181439028016167,0.180563244550275,174,0.2430282456408737,0.07115508713292973,0.10356427486033143,0.38249221642141595,CHF_JPY,5,20,3,long,577
1428,0.04298893977494859,0.025194706472778786,-0.006392684911697831,0.092370564461595,613,0.12746333387995898,0.03899138107025012,0.05104022698226875,0.20388644077764922,CHF_JPY,5,25,1,long,2041
830,0.06266251722345446,0.03282938349907225,-0.0016830744347271498,0.12700810888163608,357,0.25429139055273137,0.049855578436337186,0.15657445681751048,0.35200832428795226,CHF_JPY,5,25,2,long,1187
457,0.06704845254272215,0.044232891482631556,-0.01964801476323569,0.15374491984868,197,0.2508354639902049,0.06650735426931144,0.12048104962235448,0.3811898783580553,CHF_JPY,5,25,3,long,654
