sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_strong4,0.004,0.008,60,10,-1.8893237262208569,0.6597568389057751,16450,220.88718958220568,0.6675867991657465,16302,126.6825059716115,0.6682880691798405,7401,345.68037182759633,40153,0.6645082559211017,False
long_mr_full6,0.004,0.008,60,10,79.75538500406549,0.6619230409137721,21362,302.1791983305436,0.667909555906114,20919,119.9048892529404,0.6643962848297214,9690,501.8394725875495,51971,0.6647938273267784,True
long_mr_strong4,0.004,0.008,84,14,20.423359451791683,0.6651671732522796,16450,192.5332703699729,0.6718807508281193,16302,148.49016592489835,0.6751790298608297,7401,361.44679574666293,40153,0.6697382511892013,True
long_mr_full6,0.004,0.008,84,14,94.85598816698572,0.6672128077895328,21362,272.1668969216538,0.6723552751087528,20919,146.54653184846387,0.6714138286893705,9690,513.5694169371034,51971,0.670065998345231,True
long_mr_strong4,0.004,0.008,120,20,44.039575852644944,0.6673556231003039,16450,214.69413528113517,0.6745184639921482,16302,115.40904661501219,0.6745424747336793,7322,374.1427577487923,40074,0.6715825722413535,True
long_mr_full6,0.004,0.008,120,20,129.37713412835723,0.669600224698062,21362,304.08495359006065,0.6753668913427984,20919,106.44214634784652,0.6715016174475634,9583,539.9042340662644,51864,0.6722774949868888,True
long_mr_strong4,0.004,0.01,36,6,78.82590081728897,0.6872948328267477,16450,225.52375166811774,0.6907741381425592,16302,129.906527517027,0.681799756789623,7401,434.25618000243367,40153,0.687694568276343,True
long_mr_full6,0.004,0.01,36,6,161.645251525881,0.6885591236775582,21362,313.2588018834143,0.6920502892107653,20919,137.27855505034498,0.6797729618163054,9690,612.1826084596403,51971,0.6883261819091415,True
long_mr_strong4,0.004,0.01,60,10,72.12068087757092,0.7035258358662614,16450,211.35425105598455,0.7080112869586553,16302,155.27056763777944,0.7094987163896771,7401,438.7454995713349,40153,0.7064478370233855,True
long_mr_full6,0.004,0.01,60,10,149.48589107776496,0.7052710420372624,21362,308.838001366472,0.7091161145370237,20919,173.8018065776272,0.7067079463364293,9690,632.1256990218642,51971,0.7070866444748033,True
long_mr_strong4,0.004,0.01,84,14,79.15907189903842,0.7116717325227964,16450,184.26668521382726,0.7150042939516623,16302,190.66373298476384,0.7216592352384813,7401,454.0894900976295,40153,0.7148656389310886,True
long_mr_full6,0.004,0.01,84,14,151.8475600527575,0.7131822863027807,21362,280.5460154759025,0.7161910225154166,20919,215.5718162624526,0.7184726522187822,9690,647.9653917911126,51971,0.715379731003829,True
long_mr_strong4,0.004,0.01,120,20,97.40334073960133,0.71580547112462,16450,186.4443556962742,0.7194209299472457,16302,176.91489972703104,0.7258945643266868,7322,460.76259616290656,40074,0.7191196286869291,True
long_mr_full6,0.004,0.01,120,20,180.69950527084177,0.717535811253628,21362,286.237954363843,0.7210191691763469,20919,195.680774836632,0.7233642909318585,9583,662.6182344713168,51864,0.7200177387012185,True
long_mr_strong4,0.004,0.015,36,6,99.64244765092687,0.723951367781155,16450,205.3630792819121,0.72684333210649,16302,110.03887978700908,0.714092690177003,7401,415.04440671984804,40153,0.7233083455781635,True
long_mr_full6,0.004,0.015,36,6,187.92556542796396,0.7250257466529351,21362,284.30493430653803,0.7281418805870261,20919,119.38818626855468,0.7118679050567596,9690,591.6186860030567,51971,0.7238267495333937,True
long_mr_strong4,0.004,0.015,60,10,115.73764496985515,0.7575683890577508,16450,212.23278289169153,0.7601521285731812,16302,126.48812362171572,0.7562491555195244,7401,454.4585514832624,40153,0.7583742186138022,True
long_mr_full6,0.004,0.015,60,10,215.41071970172766,0.7597603220672222,21362,294.53441516226303,0.7613174625938143,20919,164.42065883728466,0.7552115583075335,9690,674.3657937012754,51971,0.7595389736583864,True
long_mr_strong4,0.004,0.015,84,14,135.05804634373618,0.7758662613981763,16450,205.08231345710567,0.7761010918905655,16302,180.26981784587875,0.7782732063234697,7401,520.4101776467206,40153,0.7764052499190596,True
long_mr_full6,0.004,0.015,84,14,237.9138844328259,0.7774552944480854,21362,296.41963435704,0.7772360055451981,20919,236.0337721135325,0.7772961816305469,9690,770.3672909033985,51971,0.7773373612206808,True
long_mr_strong4,0.004,0.015,120,20,154.58965645090157,0.7867477203647416,16450,182.56445084115919,0.7860385228806281,16302,177.01331224405283,0.7909041245561322,7322,514.1674195361136,40074,0.7872186455058142,True
