tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
310,0.04788909402427114,0.054307040759689715,-0.0585527058647207,0.154330893913263,134,0.16126541091556595,0.07130114424774386,0.02151516818998797,0.3010156536411439,EUR_GBP,14,150,3,long,444
230,-0.01029752113624615,0.06335819625549204,-0.13447958579701053,0.11388454352451824,99,0.18294705045220222,0.08200165830173324,0.02222380018080508,0.3436703007235994,EUR_GBP,14,150,4,long,329
175,0.05590679476183102,0.07170933356714616,-0.08464349902977544,0.1964570885534375,75,0.25950715322539397,0.09011228874745049,0.08288706728039102,0.4361272391703969,EUR_GBP,14,200,1,long,250
168,0.001752356693432396,0.07263436220742418,-0.14061099323311899,0.1441157066199838,73,0.24710515886368734,0.09317832340045758,0.0644756449987905,0.4297346727285842,EUR_GBP,14,200,2,long,241
151,0.05630070355240932,0.07735522503770641,-0.09531553752149524,0.20791694462631388,66,0.2628240874832826,0.09667750685415402,0.07333617404914075,0.4523120009174245,EUR_GBP,14,200,3,long,217
122,-0.008922064275558495,0.08651590580529625,-0.17849323965393915,0.16064911110282215,53,0.2558454028361418,0.10997236778397954,0.04029956197954193,0.4713912436927417,EUR_GBP,14,200,4,long,175
55,0.17802427028273687,0.12991452342305623,-0.07660819562645332,0.43265673619192707,24,0.23594400143555183,0.15456762445701147,-0.06700854250019067,0.5388965453712944,EUR_GBP,14,250,1,long,79
54,0.15844121361934008,0.13156780918932273,-0.09943169239173247,0.41631411963041265,24,0.22085529716531704,0.1508589771323089,-0.07482829801400837,0.5165388923446425,EUR_GBP,14,250,2,long,78
53,0.17698182187830405,0.1329203830220316,-0.08354212884487786,0.43750577260148593,23,0.2819998003173886,0.14315874853504723,0.0014086531886960407,0.5625909474460811,EUR_GBP,14,250,3,long,76
46,0.05051141367446668,0.1445238377254346,-0.23275530826738514,0.3337781356163185,21,0.29163249610765407,0.15393588624627683,-0.010081840935048492,0.5933468331503566,EUR_GBP,14,250,4,long,67
793,-0.011355672321036049,0.033914856131277524,-0.07782879033834,0.0551174456962679,341,0.08160570384091667,0.04424370752244975,-0.005111962903084841,0.1683233705849182,EUR_GBP,14,100,1,short,1134
