tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
21.0,10.0,11.0,0.0,0.47619047619047616,0.26257954568917985,0.6898014066917725,10.0,6.0,3.0,1.0,0.6666666666666666,0.3586823797498592,0.974650953583474,NZD_CHF,H4,14,30,4,short,31
415.0,219.0,185.0,11.0,0.5420792079207921,0.49349535590087307,0.5906630599407112,178.0,113.0,63.0,2.0,0.6420454545454546,0.5712188265076901,0.7128720825832191,NZD_CHF,H4,14,35,1,short,593
208.0,107.0,96.0,5.0,0.5270935960591133,0.45841213586575624,0.5957750562524704,90.0,53.0,36.0,1.0,0.5955056179775281,0.4935384760286696,0.6974727599263866,NZD_CHF,H4,14,35,2,short,298
100.0,45.0,51.0,4.0,0.46875,0.36892471317033443,0.5685752868296655,44.0,21.0,22.0,1.0,0.4883720930232558,0.33896391292128136,0.6377802731252302,NZD_CHF,H4,14,35,3,short,144
45.0,26.0,18.0,1.0,0.5909090909090909,0.4456310471705863,0.7361871346475956,20.0,8.0,11.0,1.0,0.42105263157894735,0.19904545890021433,0.6430598042576804,NZD_CHF,H4,14,35,4,short,65
10.0,2.0,8.0,0.0,0.2,0.0,0.447922568557201,5.0,3.0,2.0,0.0,0.6,0.17058551491594975,1.0,NZD_CHF,H4,21,20,1,long,15
2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,NZD_CHF,H4,21,20,2,long,4
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NZD_CHF,H4,21,20,3,long,2
,,,,,,,,,,,,,,NZD_CHF,H4,21,20,4,long,0
32.0,8.0,24.0,0.0,0.25,0.09996875325453036,0.40003124674546964,14.0,9.0,5.0,0.0,0.6428571428571429,0.39185913489692026,0.8938551508173656,NZD_CHF,H4,21,25,1,long,46
16.0,5.0,11.0,0.0,0.3125,0.08537892133269531,0.5396210786673047,7.0,4.0,3.0,0.0,0.5714285714285714,0.2048225158321042,0.9380346270250386,NZD_CHF,H4,21,25,2,long,23
5.0,1.0,4.0,0.0,0.2,0.0,0.5506154588719672,3.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.8667777662061142,NZD_CHF,H4,21,25,3,long,8
2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,25,4,long,3
109.0,41.0,68.0,0.0,0.3761467889908257,0.28520516420369535,0.46708841377795607,48.0,22.0,25.0,1.0,0.46808510638297873,0.3254289136532616,0.6107412991126959,NZD_CHF,H4,21,30,1,long,157
51.0,21.0,30.0,0.0,0.4117647058823529,0.2766909170808409,0.5468384946838649,23.0,12.0,11.0,0.0,0.5217391304347826,0.3175882379179313,0.7258900229516339,NZD_CHF,H4,21,30,2,long,74
23.0,8.0,15.0,0.0,0.34782608695652173,0.15317584838060608,0.5424763255324374,10.0,3.0,6.0,1.0,0.3333333333333333,0.02534904641652591,0.6413176202501407,NZD_CHF,H4,21,30,3,long,33
11.0,5.0,6.0,0.0,0.45454545454545453,0.1602878664116818,0.7488030426792273,5.0,2.0,2.0,1.0,0.5,0.010000000000000009,0.99,NZD_CHF,H4,21,30,4,long,16
314.0,141.0,165.0,8.0,0.46078431372549017,0.404934020181578,0.5166346072694024,135.0,64.0,68.0,3.0,0.48484848484848486,0.39958960590133724,0.5701073637956324,NZD_CHF,H4,21,35,1,long,449
157.0,69.0,84.0,4.0,0.45098039215686275,0.3721337661986143,0.5298270181151112,68.0,25.0,40.0,3.0,0.38461538461538464,0.2663422692705106,0.5028884999602588,NZD_CHF,H4,21,35,2,long,225
77.0,32.0,43.0,2.0,0.4266666666666667,0.3147297362764457,0.5386035970568877,34.0,10.0,22.0,2.0,0.3125,0.15190114512394554,0.47309885487605446,NZD_CHF,H4,21,35,3,long,111
41.0,21.0,19.0,1.0,0.525,0.3702422053659332,0.6797577946340668,18.0,5.0,11.0,2.0,0.3125,0.08537892133269531,0.5396210786673047,NZD_CHF,H4,21,35,4,long,59
3.0,2.0,1.0,0.0,0.6666666666666666,0.13322223379388565,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,20,1,short,5
2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,20,2,short,3
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,20,3,short,2
0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,20,4,short,1
14.0,9.0,5.0,0.0,0.6428571428571429,0.39185913489692026,0.8938551508173656,7.0,4.0,3.0,0.0,0.5714285714285714,0.2048225158321042,0.9380346270250386,NZD_CHF,H4,21,25,1,short,21
9.0,6.0,3.0,0.0,0.6666666666666666,0.3586823797498592,0.974650953583474,4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,NZD_CHF,H4,21,25,2,short,13
2.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,NZD_CHF,H4,21,25,3,short,4
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,21,25,4,short,2
70.0,44.0,26.0,0.0,0.6285714285714286,0.515377789174155,0.7417650679687021,30.0,16.0,14.0,0.0,0.5333333333333333,0.354808679988615,0.7118579866780517,NZD_CHF,H4,21,30,1,short,100
40.0,25.0,15.0,0.0,0.625,0.47496875325453036,0.7750312467454696,18.0,9.0,9.0,0.0,0.5,0.2690117848123945,0.7309882151876055,NZD_CHF,H4,21,30,2,short,58
18.0,9.0,9.0,0.0,0.5,0.2690117848123945,0.7309882151876055,9.0,5.0,4.0,0.0,0.5555555555555556,0.23091161215558614,0.8801994989555251,NZD_CHF,H4,21,30,3,short,27
7.0,3.0,4.0,0.0,0.42857142857142855,0.06196537297496135,0.7951774841678958,4.0,1.0,2.0,1.0,0.3333333333333333,0.0,0.8667777662061142,NZD_CHF,H4,21,30,4,short,11
222.0,133.0,86.0,3.0,0.6073059360730594,0.5426266905590131,0.6719851815871056,96.0,57.0,39.0,0.0,0.59375,0.49550307800092835,0.6919969219990716,NZD_CHF,H4,21,35,1,short,318
118.0,65.0,52.0,1.0,0.5555555555555556,0.465515526001908,0.6455955851092032,52.0,31.0,20.0,1.0,0.6078431372549019,0.4738456507756258,0.741840623734178,NZD_CHF,H4,21,35,2,short,170
53.0,23.0,29.0,1.0,0.4423076923076923,0.3073138456197602,0.5773015389956244,24.0,11.0,12.0,1.0,0.4782608695652174,0.2741099770483661,0.6824117620820687,NZD_CHF,H4,21,35,3,short,77
23.0,10.0,13.0,0.0,0.43478260869565216,0.23218421697992483,0.6373810004113795,11.0,6.0,4.0,1.0,0.6,0.2963581056573385,0.9036418943426614,NZD_CHF,H4,21,35,4,short,34
4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,3.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.8667777662061142,NZD_CHF,H4,28,20,1,long,7
2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NZD_CHF,H4,28,20,2,long,3
,,,,,,,,,,,,,,NZD_CHF,H4,28,20,3,long,0
,,,,,,,,,,,,,,NZD_CHF,H4,28,20,4,long,0
20.0,7.0,13.0,0.0,0.35,0.14095885572452488,0.559041144275475,9.0,6.0,3.0,0.0,0.6666666666666666,0.3586823797498592,0.974650953583474,NZD_CHF,H4,28,25,1,long,29
8.0,3.0,5.0,0.0,0.375,0.03951993352808575,0.7104800664719142,4.0,3.0,1.0,0.0,0.75,0.3256475521456251,1.0,NZD_CHF,H4,28,25,2,long,12
2.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,NZD_CHF,H4,28,25,3,long,4
0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NZD_CHF,H4,28,25,4,long,1
58.0,20.0,38.0,0.0,0.3448275862068966,0.222500994030245,0.4671541783835481,26.0,12.0,14.0,0.0,0.46153846153846156,0.26991411350270844,0.6531628095742147,NZD_CHF,H4,28,30,1,long,84
30.0,12.0,18.0,0.0,0.4,0.2246922705640165,0.5753077294359835,14.0,8.0,6.0,0.0,0.5714285714285714,0.31219894349225696,0.8306581993648858,NZD_CHF,H4,28,30,2,long,44
11.0,6.0,5.0,0.0,0.5454545454545454,0.2511969573207727,0.8397121335883182,6.0,1.0,5.0,0.0,0.16666666666666666,0.0,0.4648711701972571,NZD_CHF,H4,28,30,3,long,17
7.0,2.0,5.0,0.0,0.2857142857142857,0.0,0.6203782963279159,4.0,2.0,2.0,0.0,0.5,0.010000000000000009,0.99,NZD_CHF,H4,28,30,4,long,11
