tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
30.0,13.0,17.0,0.0,0.43333333333333335,0.2560081873235037,0.610658479343163,14.0,4.0,6.0,4.0,0.4,0.09635810565733854,0.7036418943426614,GBP_CAD,H4,28,30,2,short,44
13.0,4.0,9.0,0.0,0.3076923076923077,0.05679714201505026,0.5585874733695652,6.0,3.0,2.0,1.0,0.6,0.17058551491594975,1.0,GBP_CAD,H4,28,30,3,short,19
8.0,3.0,5.0,0.0,0.375,0.03951993352808575,0.7104800664719142,4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,GBP_CAD,H4,28,30,4,short,12
184.0,102.0,82.0,0.0,0.5543478260869565,0.4825293229949749,0.6261663291789382,80.0,31.0,28.0,21.0,0.5254237288135594,0.3980036361781897,0.652843821448929,GBP_CAD,H4,28,35,1,short,264
91.0,48.0,40.0,3.0,0.5454545454545454,0.441418777462051,0.6494903134470399,39.0,13.0,13.0,13.0,0.5,0.30780618756457967,0.6921938124354203,GBP_CAD,H4,28,35,2,short,130
41.0,18.0,22.0,1.0,0.45,0.2958250993189877,0.6041749006810123,18.0,8.0,5.0,5.0,0.6153846153846154,0.35091788956280356,0.8798513412064273,GBP_CAD,H4,28,35,3,short,59
19.0,7.0,12.0,0.0,0.3684210526315789,0.15151817542017268,0.5853239298429852,9.0,3.0,4.0,2.0,0.42857142857142855,0.06196537297496135,0.7951774841678958,GBP_CAD,H4,28,35,4,short,28
230.0,83.0,140.0,7.0,0.3721973094170404,0.30875166091773537,0.4356429579163454,100.0,29.0,58.0,13.0,0.3333333333333333,0.2342751889723566,0.43239147769431,GBP_CHF,H4,7,20,1,long,330
118.0,46.0,65.0,7.0,0.4144144144144144,0.3227697474494833,0.5060590813793455,51.0,17.0,29.0,5.0,0.3695652173913043,0.23007531079264418,0.5090551239899644,GBP_CHF,H4,7,20,2,long,169
58.0,22.0,31.0,5.0,0.41509433962264153,0.282436031461885,0.547752647783398,26.0,7.0,16.0,3.0,0.30434782608695654,0.11629783002433983,0.4923978221495733,GBP_CHF,H4,7,20,3,long,84
27.0,14.0,12.0,1.0,0.5384615384615384,0.3468371904257853,0.7300858864972916,12.0,4.0,7.0,1.0,0.36363636363636365,0.07935652563159407,0.6479162016411333,GBP_CHF,H4,7,20,4,long,39
406.0,158.0,233.0,15.0,0.4040920716112532,0.3554516378433958,0.45273250537911064,174.0,65.0,86.0,23.0,0.4304635761589404,0.35148731780955084,0.50943983450833,GBP_CHF,H4,7,25,1,long,580
209.0,93.0,108.0,8.0,0.4626865671641791,0.393755446809789,0.5316176875185692,90.0,37.0,44.0,9.0,0.4567901234567901,0.34830860805599245,0.5652716388575878,GBP_CHF,H4,7,25,2,long,299
109.0,47.0,57.0,5.0,0.4519230769230769,0.35627143723860194,0.547574716607552,47.0,16.0,26.0,5.0,0.38095238095238093,0.23408383302475155,0.5278209288800103,GBP_CHF,H4,7,25,3,long,156
53.0,28.0,24.0,1.0,0.5384615384615384,0.40296266252500634,0.6739604143980705,23.0,9.0,12.0,2.0,0.42857142857142855,0.21691132368626131,0.6402315334565958,GBP_CHF,H4,7,25,4,long,76
670.0,252.0,390.0,28.0,0.3925233644859813,0.3547499622648671,0.4302967667070955,288.0,106.0,142.0,40.0,0.4274193548387097,0.365848433134413,0.48899027654300636,GBP_CHF,H4,7,30,1,long,958
331.0,139.0,180.0,12.0,0.43573667711598746,0.38132229532620315,0.49015105890577176,142.0,54.0,71.0,17.0,0.432,0.3451605416138493,0.5188394583861506,GBP_CHF,H4,7,30,2,long,473
167.0,66.0,94.0,7.0,0.4125,0.3362197703366069,0.4887802296633931,72.0,27.0,38.0,7.0,0.4153846153846154,0.295583815769046,0.5351854150001848,GBP_CHF,H4,7,30,3,long,239
79.0,38.0,38.0,3.0,0.5,0.38758629040342474,0.6124137095965753,35.0,11.0,21.0,3.0,0.34375,0.17918514410155795,0.508314855898442,GBP_CHF,H4,7,30,4,long,114
930.0,362.0,522.0,46.0,0.4095022624434389,0.37708568121753194,0.44191884366934586,399.0,152.0,180.0,67.0,0.4578313253012048,0.4042384580945916,0.511424192507818,GBP_CHF,H4,7,35,1,long,1329
464.0,198.0,246.0,20.0,0.44594594594594594,0.39970978520817046,0.4921821066837214,199.0,77.0,93.0,29.0,0.45294117647058824,0.37811224802399823,0.5277701049171782,GBP_CHF,H4,7,35,2,long,663
231.0,97.0,125.0,9.0,0.4369369369369369,0.3716888949872264,0.5021849788866475,100.0,38.0,51.0,11.0,0.42696629213483145,0.32420064823520056,0.5297319360344623,GBP_CHF,H4,7,35,3,long,331
108.0,51.0,52.0,5.0,0.49514563106796117,0.3985879128751075,0.5917033492608149,47.0,15.0,27.0,5.0,0.35714285714285715,0.21222908968096277,0.5020566246047515,GBP_CHF,H4,7,35,4,long,155
203.0,104.0,96.0,3.0,0.52,0.4507589948079897,0.5892410051920103,87.0,36.0,34.0,17.0,0.5142857142857142,0.39720112947626973,0.6313702990951587,GBP_CHF,H4,7,20,1,short,290
104.0,52.0,48.0,4.0,0.52,0.42207843138511314,0.6179215686148869,45.0,25.0,13.0,7.0,0.6578947368421053,0.5070527108346606,0.80873676284955,GBP_CHF,H4,7,20,2,short,149
54.0,23.0,30.0,1.0,0.4339622641509434,0.30052816979688846,0.5673963585049984,24.0,10.0,9.0,5.0,0.5263157894736842,0.3017999815449016,0.7508315974024667,GBP_CHF,H4,7,20,3,short,78
28.0,14.0,13.0,1.0,0.5185185185185185,0.3300468310018606,0.7069902060351764,13.0,5.0,3.0,5.0,0.625,0.28951993352808575,0.9604800664719142,GBP_CHF,H4,7,20,4,short,41
366.0,178.0,178.0,10.0,0.5,0.44806010387968837,0.5519398961203117,158.0,69.0,66.0,23.0,0.5111111111111111,0.42678696895078705,0.5954352532714351,GBP_CHF,H4,7,25,1,short,524
190.0,86.0,92.0,12.0,0.48314606741573035,0.4097337037727835,0.5565584310586772,82.0,39.0,35.0,8.0,0.527027027027027,0.41327089478160517,0.6407831592724488,GBP_CHF,H4,7,25,2,short,272
101.0,45.0,53.0,3.0,0.45918367346938777,0.3605191211846334,0.5578482257541421,44.0,19.0,19.0,6.0,0.5,0.3410230072918527,0.6589769927081472,GBP_CHF,H4,7,25,3,short,145
49.0,22.0,26.0,1.0,0.4583333333333333,0.3173745217106679,0.5992921449559987,21.0,10.0,6.0,5.0,0.625,0.3877797700447957,0.8622202299552043,GBP_CHF,H4,7,25,4,short,70
616.0,277.0,318.0,21.0,0.46554621848739497,0.425465632048045,0.5056268049267449,265.0,103.0,118.0,44.0,0.4660633484162896,0.4002934339841665,0.5318332628484127,GBP_CHF,H4,7,30,1,short,881
313.0,135.0,163.0,15.0,0.45302013422818793,0.39650140849832877,0.5095388599580472,135.0,55.0,58.0,22.0,0.48672566371681414,0.39456751380122,0.5788838136324083,GBP_CHF,H4,7,30,2,short,448
154.0,64.0,85.0,5.0,0.42953020134228187,0.35004685949189207,0.5090135431926717,67.0,28.0,26.0,13.0,0.5185185185185185,0.3852489102138178,0.6517881268232192,GBP_CHF,H4,7,30,3,short,221
