tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
132,65,67,0,0.49242424242424243,0.40713598243701277,0.5777125024114721,57,33,24,0,0.5789473684210527,0.4507714675129584,0.7071232693291469,USD_ZAR,H4,40,150,4,short,189
117,49,68,0,0.4188034188034188,0.32940501283663826,0.5082018247701994,51,31,20,0,0.6078431372549019,0.4738456507756258,0.741840623734178,USD_ZAR,H4,40,200,1,short,168
100,46,54,0,0.46,0.3623141033720835,0.5576858966279166,43,29,14,0,0.6744186046511628,0.5343578684577726,0.814479340844553,USD_ZAR,H4,40,200,2,short,143
80,43,37,0,0.5375,0.42824126179110433,0.6467587382088956,35,16,19,0,0.45714285714285713,0.2921022560775435,0.6221834582081708,USD_ZAR,H4,40,200,3,short,115
62,33,29,0,0.532258064516129,0.40805723226354473,0.6564588967687133,27,16,11,0,0.5925925925925926,0.4072536166713656,0.7779315685138195,USD_ZAR,H4,40,200,4,short,89
48,19,29,0,0.3958333333333333,0.25748624775520135,0.5341804189114653,21,12,9,0,0.5714285714285714,0.35976846654340416,0.7830886763137386,USD_ZAR,H4,40,250,1,short,69
42,18,24,0,0.42857142857142855,0.27890513310047094,0.5782377240423862,19,13,6,0,0.6842105263157895,0.47519768394657336,0.8932233686850056,USD_ZAR,H4,40,250,2,short,61
35,16,19,0,0.45714285714285713,0.2921022560775435,0.6221834582081708,16,6,10,0,0.375,0.13777977004479572,0.6122202299552043,USD_ZAR,H4,40,250,3,short,51
28,15,13,0,0.5357142857142857,0.350984753695174,0.7204438177333974,12,7,5,0,0.5833333333333334,0.30438856248221097,0.8622781041844558,USD_ZAR,H4,40,250,4,short,40
821,417,399,5,0.5110294117647058,0.4767308974387158,0.5453279260906959,352,178,171,3,0.5100286532951289,0.45758100890411474,0.562476297686143,USD_NOK,H4,14,100,1,long,1173
644,327,314,3,0.5101404056162246,0.47144069411550005,0.5488401171169492,277,142,135,0,0.5126353790613718,0.4537716902980048,0.5714990678247388,USD_NOK,H4,14,100,2,long,921
468,246,220,2,0.5278969957081545,0.48257008814102526,0.5732239032752838,201,109,91,1,0.545,0.47598475675620644,0.6140152432437936,USD_NOK,H4,14,100,3,long,669
322,157,163,2,0.490625,0.43585096533897766,0.5453990346610224,138,71,67,0,0.5144927536231884,0.4311046653498802,0.5978808418964965,USD_NOK,H4,14,100,4,long,460
415,213,199,3,0.5169902912621359,0.46873703931329813,0.5652435432109737,178,97,80,1,0.5480225988700564,0.4747018262945431,0.6213433714455698,USD_NOK,H4,14,150,1,long,593
354,185,168,1,0.5240793201133145,0.4719797045939486,0.5761789356326804,152,79,73,0,0.5197368421052632,0.4403102982583011,0.5991633859522253,USD_NOK,H4,14,150,2,long,506
280,152,127,1,0.5448028673835126,0.48636781726029554,0.6032379175067296,120,64,56,0,0.5333333333333333,0.44407100666097415,0.6225956600056926,USD_NOK,H4,14,150,3,long,400
