cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,AUD_CAD,ATR_mid_33_67,mid,h2,181,0.05920268106290869,0.06658183449370066,-0.0712977145447446
cci,short,pair,AUD_JPY,ATR_high_67_100,high,full,340,0.07067740417052588,0.035492061730086136,0.0011129631795570583
cci,short,pair,AUD_JPY,ATR_low_0_33,low,full,557,0.01726470084322937,0.05206221799007993,-0.08477724641732728
cci,short,pair,AUD_JPY,ATR_mid_33_67,mid,full,356,-0.07687893394455261,0.04381600652858732,-0.16275830674058375
cci,short,pair,AUD_JPY,ATR_high_67_100,high,h1,166,0.030548351007579258,0.06830659229655685,-0.10333256989367216
cci,short,pair,AUD_JPY,ATR_low_0_33,low,h1,285,-0.01643256979361229,0.08113162777810602,-0.1754505602387001
cci,short,pair,AUD_JPY,ATR_mid_33_67,mid,h1,157,-0.0017431496319644897,0.03974757017644137,-0.07964838717778958
cci,short,pair,AUD_JPY,ATR_high_67_100,high,h2,174,0.10896144339494623,0.05123810934335722,0.008534749081966081
cci,short,pair,AUD_JPY,ATR_low_0_33,low,h2,272,0.05257250279727302,0.06341019890476252,-0.07171148705606151
cci,short,pair,AUD_JPY,ATR_mid_33_67,mid,h2,199,-0.13615691453287593,0.04020278105573831,-0.214954365402123
cci,short,pair,CAD_CHF,ATR_high_67_100,high,full,356,0.015538061111254529,0.050963867959447434,-0.08435112008926245
cci,short,pair,CAD_CHF,ATR_low_0_33,low,full,416,0.22408072688761146,0.05661514404425418,0.11311504456087326
cci,short,pair,CAD_CHF,ATR_mid_33_67,mid,full,340,0.16143007339580762,0.048643288931566116,0.06608922708993803
cci,short,pair,CAD_CHF,ATR_high_67_100,high,h1,196,-0.031494142937762794,0.07356766930662861,-0.17568677477875486
cci,short,pair,CAD_CHF,ATR_low_0_33,low,h1,210,0.17777539720929936,0.0727511609540958,0.0351831217392716
cci,short,pair,CAD_CHF,ATR_mid_33_67,mid,h1,163,0.14558473747794243,0.06833043155256417,0.011657091634916655
cci,short,pair,CAD_CHF,ATR_high_67_100,high,h2,160,0.07315251107130076,0.05270727345004418,-0.03015374489078583
