sample,half,conditioner,low_mult,mid_mult,high_mult,total_R,expectancy_R,trades,base_signals,throughput_trades_per_year,maxDD_R,return_DD,daily_R_sharpe_like,low_trades,mid_trades,high_trades,delta_total_R,delta_expectancy_R,delta_throughput_trades_per_year,delta_maxDD_reduction_R,delta_return_DD,throughput_cost_pct
long_mr_full6,h2,hard_gate_skip_high,1.0,1.0,0.0,1089.7276516338218,0.06599210631828388,16513,25986,3191.7656994178865,200.19904191680578,5.44322111235011,0.12289465228331069,8804,7709,0,-51.036607571665854,0.02209291986382811,-1831.0177720938432,157.2717251911623,2.252011189271452,0.36454244593242513
long_mr_full6,h2,size_down_high_0_5,1.0,1.0,0.5,1115.2459554196546,0.04291718446161989,25986,25986,5022.78347151173,255.91766843664502,4.357831025237497,0.10692570886012362,8804,7709,9473,-25.51830378583304,-0.0009820019928358792,0.0,101.55309867132306,1.1666211021588393,0.0
long_mr_full6,h2,size_down_high_0_0,1.0,1.0,0.0,1089.7276516338218,0.06599210631828388,16513,25986,3191.7656994178865,200.19904191680578,5.44322111235011,0.12289465228331069,8804,7709,0,-51.036607571665854,0.02209291986382811,-1831.0177720938432,157.2717251911623,2.252011189271452,0.36454244593242513
long_mr_full6,h2,size_up_low_1_5,1.5,1.0,1.0,1419.8155612089613,0.0546377111217179,25986,25986,5022.78347151173,374.2317088510281,3.793947780555797,0.09623678135930121,8804,7709,9473,279.05130200347367,0.010738524667262127,0.0,-16.760941743060016,0.6027378574771389,0.0
long_mr_full6,h2,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,1394.2972574231285,0.05365570912888203,25986,25986,5022.78347151173,298.8072028323654,4.666210332972953,0.10828352853998226,8804,7709,9473,253.53299821764085,0.009756522674426261,0.0,58.66356427560265,1.4750004098942946,0.0
all_bars_random_long,full,unconditioned,1.0,1.0,1.0,3909.182413462587,0.014458051466125901,270381,270381,26442.347810565072,3803.8854577017714,1.0276814212551064,0.04838040000042522,106721,78304,85356,0.0,0.0,0.0,0.0,0.0,0.0
all_bars_random_long,full,hard_gate_skip_high,1.0,1.0,0.0,3205.5071941818314,0.017324724735478077,185025,270381,18094.819545936298,3303.490121768741,0.9703395730045506,0.0509248266319094,106721,78304,0,-703.6752192807558,0.002866673269352176,-8347.528264628774,500.3953359330303,-0.05734184825055577,0.3156878626826589
all_bars_random_long,full,size_down_high_0_5,1.0,1.0,0.5,3557.3448038222095,0.013156785439147757,270381,270381,26442.347810565072,3502.0223751016224,1.0157972801984116,0.05093732754877585,106721,78304,85356,-351.83760964037765,-0.0013012660269781443,0.0,301.863082600149,-0.011884141056694775,0.0
all_bars_random_long,full,size_down_high_0_0,1.0,1.0,0.0,3205.5071941818314,0.017324724735478077,185025,270381,18094.819545936298,3303.490121768741,0.9703395730045506,0.0509248266319094,106721,78304,0,-703.6752192807558,0.002866673269352176,-8347.528264628774,500.3953359330303,-0.05734184825055577,0.3156878626826589
all_bars_random_long,full,size_up_low_1_5,1.5,1.0,1.0,4819.9352690214555,0.017826456995948144,270381,270381,26442.347810565072,4961.006739624468,0.9715639429641874,0.04906998268424368,106721,78304,85356,910.7528555588683,0.003368405529822243,0.0,-1157.1212819226962,-0.056117478290919065,0.0
all_bars_random_long,full,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,4468.097659381076,0.016525190968969993,270381,270381,26442.347810565072,4659.410986208467,0.9589404481824708,0.050059526175106145,106721,78304,85356,558.9152459184884,0.002067139502844092,0.0,-855.5255285066955,-0.0687409730726356,0.0
