row_type,sample,metric,sleeve,direction,bucket_or_diff,stat,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,pair_positive,pair_comparable,pair_total,note
pair_majority,deduped_sleeve,atr_ma_ratio,long_mr_strong4,long,pair_low_mid_gt_high,pair_low_mid_gt_high,40051,,,,,,,,40051.0,,,,,,14.0,17.0,17.0,14/17 comparable pairs low/mid > high
curve,all_bars_long,atr_pct_w60,all_bars_long,long,ATR_low_0_33,bucket_mean,110450,0.01771748333433665,0.010055579383668677,-0.001991452257653955,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w60,all_bars_long,long,ATR_mid_33_67,bucket_mean,69979,0.02651211810296452,0.010597111929250055,0.005741778721634415,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w60,all_bars_long,long,ATR_high_67_100,bucket_mean,93216,-0.0035420895777194678,0.009885570706669573,-0.02291780816279183,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w60,all_bars_long,long,low_mid,low_mid_mean,180429,0.021128463534159345,0.008225632089830511,0.005006224638091545,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w60,all_bars_long,long,low_mid_minus_high,low_mid_minus_high,273645,0.024670553111878813,0.012860230615110019,-0.000535498893736823,0.0046186279846730975,0.015618042261919542,0.033723063961838086,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,ATR_low_0_33,bucket_mean,13504,0.0464564015184335,0.016028238335216945,0.015041054381408285,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,ATR_mid_33_67,bucket_mean,10125,0.04228141077443243,0.01758793979103621,0.007809048784001467,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,ATR_high_67_100,bucket_mean,17078,0.003803748358508696,0.015560152921215743,-0.026694151367074162,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,low_mid,low_mid_mean,23629,0.04466742266689468,0.012477788227170909,0.020210957741639696,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,40707,0.04086367430838598,0.01994526404873457,0.0017709567728662265,0.011523461573526992,0.018277689624273074,0.06344965899249888,,,,,,,,,,,
excess,sleeve_minus_all_bars_long,atr_pct_w60,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,40707,0.04086367430838598,0.01994526404873457,0.0017709567728662265,,,,273645.0,40707.0,0.016193121196507166,0.02373181597450049,-0.030321238113513792,0.010450353832497627,-0.004289572315188183,,,,positive excess means sleeve uplift is above all-bars long baseline uplift
pair_majority,deduped_sleeve,atr_pct_w60,long_mr_strong4,long,pair_low_mid_gt_high,pair_low_mid_gt_high,40707,,,,,,,,40707.0,,,,,,10.0,17.0,17.0,10/17 comparable pairs low/mid > high
curve,all_bars_long,atr_pct_w500,all_bars_long,long,ATR_low_0_33,bucket_mean,105583,0.015415184070612832,0.010820471349266243,-0.005792939773949004,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w500,all_bars_long,long,ATR_mid_33_67,bucket_mean,77888,0.016763587301136192,0.011073218350052124,-0.004939920664965968,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w500,all_bars_long,long,ATR_high_67_100,bucket_mean,82694,0.013707194729640076,0.010993972271277358,-0.007840990922063543,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w500,all_bars_long,long,low_mid,low_mid_mean,183471,0.015987614758945067,0.00834351280360602,-0.00036567033612272884,,,,,,,,,,,,,,
curve,all_bars_long,atr_pct_w500,all_bars_long,long,low_mid_minus_high,low_mid_minus_high,266165,0.0022804200293049907,0.013801508330814897,-0.024770536299092205,0.0048935571348451175,-0.00731095195499144,0.011871792013601421,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,ATR_low_0_33,bucket_mean,14069,0.04848174529227109,0.016280225582242007,0.016572503151076758,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,ATR_mid_33_67,bucket_mean,11783,0.04012124198995407,0.017989207522367625,0.004862395246113531,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,ATR_high_67_100,bucket_mean,13659,-0.0016920798267376976,0.017179069041576407,-0.035363055148227455,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,low_mid,low_mid_mean,25852,0.04467113836007236,0.012432011312195684,0.02030439618816882,,,,,,,,,,,,,,
curve,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,39511,0.04636321818681006,0.02120554923603278,0.004800341684185812,0.01217004260565971,0.022509934679717025,0.07021650169390309,,,,,,,,,,,
excess,sleeve_minus_all_bars_long,atr_pct_w500,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,39511,0.04636321818681006,0.02120554923603278,0.004800341684185812,,,,266165.0,39511.0,0.04408279815750507,0.025301323099936168,-0.005507795118369817,0.011110592380578826,0.02230603709157057,,,,positive excess means sleeve uplift is above all-bars long baseline uplift
pair_majority,deduped_sleeve,atr_pct_w500,long_mr_strong4,long,pair_low_mid_gt_high,pair_low_mid_gt_high,39511,,,,,,,,39511.0,,,,,,11.0,17.0,17.0,11/17 comparable pairs low/mid > high
