row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
excess,sleeve_minus_all_bars_long,absolute_atr,long_mr_full6,long,low_mid_mean,low_mid_mean,low_mid_mean,22,33953,0.02431713426708146,0.011104896646366167,0.0025515368402037712,,,,180254.0,33953.0,0.015822545473714845,0.01402533858905025,-0.011667118160823643,0.005617858002438303,0.004811543788935772,positive excess means sleeve is above unconditional all-bars long baseline
curve,deduped_sleeve,absolute_atr,long_mr_full6,short,bucket_mean,ATR_low_0_33,low,22,17821,0.0036527885782715913,0.016032157157060578,-0.02777023944956714,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,short,bucket_mean,ATR_mid_33_67,mid,22,18143,-0.0007902575457093542,0.015501708554009735,-0.031173606311568437,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,short,bucket_mean,ATR_high_67_100,high,22,18433,0.0027061842667966,0.015026640424652472,-0.026746030965522246,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,short,low_mid_mean,low_mid_mean,low_mid_mean,22,35964,0.0014113753364913006,0.010734009432913978,-0.019627283152020097,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,54397,-0.0012948089303052993,0.018466696536134614,-0.03748953414112914,0.010198146572613677,-0.021283176212628107,0.018693558352017508,,,,,,,,
curve,all_bars_long,atr_over_price,all_bars_long,long,bucket_mean,ATR_low_0_33,low,22,90131,-0.016213568454684652,0.011981062290157314,-0.03969645054339299,,,,,,,,,,,
curve,all_bars_long,atr_over_price,all_bars_long,long,bucket_mean,ATR_mid_33_67,mid,22,90123,0.030634753710019978,0.011219923298920192,0.008643704044136401,,,,,,,,,,,
curve,all_bars_long,atr_over_price,all_bars_long,long,bucket_mean,ATR_high_67_100,high,22,90127,0.028955048356692673,0.010394470301191982,0.00858188656635639,,,,,,,,,,,
curve,all_bars_long,atr_over_price,all_bars_long,long,low_mid_mean,low_mid_mean,low_mid_mean,22,180254,0.007209553020842526,0.0085943928679398,-0.00963545700031948,,,,,,,,,,,
curve,all_bars_long,atr_over_price,all_bars_long,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,270381,-0.021745495335850146,0.013487349688165447,-0.04818070072465443,0.0047062053201243825,-0.030969657763293936,-0.012521332908406357,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,long,bucket_mean,ATR_low_0_33,low,22,12243,-0.005257752656946403,0.01838890924111017,-0.04130001476952233,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,long,bucket_mean,ATR_mid_33_67,mid,22,13380,0.03528091385943903,0.017452427299328464,0.0010741563527552414,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,long,bucket_mean,ATR_high_67_100,high,22,14530,0.05155879900993856,0.016294124960580865,0.01962231408720006,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,long,low_mid_mean,low_mid_mean,low_mid_mean,22,25623,0.015911015948963807,0.012719861731443679,-0.009019913044665803,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,40153,-0.035647783060974755,0.02067107618625769,-0.07616309238603983,0.012098534051249055,-0.059360909801422904,-0.011934656320526607,,,,,,,,
