row_type,sleeve,direction,regime_bucket,regime,half,L,L_label,n,mean_R,NW_SE,NW_CI_low,hold_median,hold_mean,hold_q10,hold_q25,hold_q75,hold_q90,dedup_drop
sleeve_curve,long_mr_strong4,long,ATR_low_mid_0_67,low_mid_0_67,h2,83,max_hold_minus_1,12564,0.05774752229936308,0.021182877361443066,0.016229082670934668,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_mid_minus_high,low_mid_minus_high,h2,83,max_hold_minus_1,20077,0.06309279546545445,0.034971557938703726,-0.005451458094404851,,,,,,,10338.0
sleeve_curve,long_mr_strong4,short,ATR_low_0_33,low,full,22,corrected_median_minus_1,15859,0.017566234853416355,0.016179065955218907,-0.014144734418812702,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_mid_33_67,mid,full,22,corrected_median_minus_1,12248,-0.0033581860614579017,0.01649841473682004,-0.035695078945625174,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_high_67_100,high,full,22,corrected_median_minus_1,14070,-0.009631349990337866,0.01718223167284993,-0.04330852406912373,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_0_67,low_mid_0_67,full,22,corrected_median_minus_1,28107,0.008448139454925592,0.011786060962169484,-0.014652540030926595,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_minus_high,low_mid_minus_high,full,22,corrected_median_minus_1,42177,0.01807948944526346,0.02083603412992652,-0.02275913744939252,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_0_33,low,full,31,mean_minus_1,15859,0.017566234853416355,0.01764140259624558,-0.017010914235224984,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_mid_33_67,mid,full,31,mean_minus_1,12248,-0.0033581860614579017,0.017528711637092475,-0.03771446087015915,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_high_67_100,high,full,31,mean_minus_1,14070,-0.009631349990337866,0.018396432722354528,-0.04568835812615274,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_0_67,low_mid_0_67,full,31,mean_minus_1,28107,0.008448139454925592,0.012895289350240039,-0.016826627671544886,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_minus_high,low_mid_minus_high,full,31,mean_minus_1,42177,0.01807948944526346,0.02246591249725972,-0.025953699049365595,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_0_33,low,full,83,max_hold_minus_1,15859,0.017566234853416355,0.021523447740857616,-0.024619722718664572,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_mid_33_67,mid,full,83,max_hold_minus_1,12248,-0.0033581860614579017,0.019260026438918557,-0.041107837881738274,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_high_67_100,high,full,83,max_hold_minus_1,14070,-0.009631349990337866,0.02030683011811078,-0.04943273702183499,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_0_67,low_mid_0_67,full,83,max_hold_minus_1,28107,0.008448139454925592,0.016194095705079674,-0.023292288127030568,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_minus_high,low_mid_minus_high,full,83,max_hold_minus_1,42177,0.01807948944526346,0.02597337261795416,-0.0328283208859267,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_0_33,low,h1,22,corrected_median_minus_1,8005,0.020651430084165426,0.02209282859656393,-0.022650513965099876,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_mid_33_67,mid,h1,22,corrected_median_minus_1,6088,0.009129678427087217,0.022983033705645778,-0.03591706763597851,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_high_67_100,high,h1,22,corrected_median_minus_1,6995,-0.010242494038969376,0.024344594814827574,-0.05795789987603142,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_0_67,low_mid_0_67,h1,22,corrected_median_minus_1,14093,0.015674177257351252,0.016020982159831675,-0.01572694777591883,,,,,,,10970.0
sleeve_curve,long_mr_strong4,short,ATR_low_mid_minus_high,low_mid_minus_high,h1,22,corrected_median_minus_1,21088,0.02591667129632063,0.029143286809551434,-0.031204170850400177,,,,,,,10970.0
