tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
272,-0.10290088473519829,0.0573613927892385,-0.21532921460210575,0.009527445131709167,117,-0.016459211983099298,0.08551016526180505,-0.18405913589623718,0.15114071193003858,USD_CAD,55,1,long,389
268,-0.10470101287335581,0.058110090307441034,-0.21859678987594022,0.009194764129228608,116,-0.15077286144462745,0.08759024509322179,-0.32244974182734215,0.020904018938087243,USD_CAD,55,1,short,384
86,0.1008869620212247,0.1050133615985158,-0.10493922671186627,0.30671315075431566,37,-0.15996738541161595,0.14791183923642184,-0.44987459031500276,0.12993981949177083,USD_CAD,55,2,long,123
88,0.028343699511109065,0.10237293286798765,-0.17230724891014673,0.22899464793236488,38,-0.30452167309547723,0.15018839388254598,-0.5988909251052674,-0.010152421085687091,USD_CAD,55,2,short,126
30,-0.008479197580535665,0.18430920531912107,-0.369725240006013,0.35276684484494164,13,-0.2811473912014175,0.24087601046260868,-0.7532643717081304,0.19096958930529545,USD_CAD,55,3,long,43
34,0.2527009585546877,0.1546289832272331,-0.05037184857068916,0.5557737656800645,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,USD_CAD,55,3,short,49
212,-0.05578720952202244,0.06504036446887075,-0.1832663238810091,0.07169190483696423,91,-0.05992875577594574,0.09558349266294211,-0.24727240139531226,0.1274148898434208,USD_CAD,100,1,long,303
189,-0.1445132438216003,0.06800455108505321,-0.2778021639483046,-0.01122432369489601,81,-0.050221069902782065,0.10768731037204242,-0.2612881982319852,0.16084605842642108,USD_CAD,100,1,short,270
61,0.31224136439305394,0.11851100583749595,0.07995979295156189,0.544522935834546,27,-0.28177077772758397,0.16824954424172162,-0.6115398844413583,0.047998328986190386,USD_CAD,100,2,long,88
57,-0.07254707764526092,0.12734027907995704,-0.3221340246419767,0.17703986935145488,25,-0.280706126228707,0.18092289190824795,-0.635314994368873,0.07390274191145896,USD_CAD,100,2,short,82
23,-0.14149460553982912,0.2089663939332249,-0.5510687376489498,0.2680795265692916,11,-0.15044691687440256,0.2667976501995521,-0.6733703112655247,0.37247647751671953,USD_CAD,100,3,long,34
