tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,2,-0.5199817800543229,0.480018219945677,-1.46081749114785,0.420853931039204,EUR_USD,20,3,short,5
35,0.00880180976649813,0.1692598606480408,-0.3229475171036618,0.3405511366366581,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,EUR_USD,55,1,long,50
40,-0.1402606636875025,0.15059694013187974,-0.4354306663459868,0.1549093389709818,18,0.1111111111111117,0.24103384202072925,-0.3613152192495176,0.583537441471741,EUR_USD,55,1,short,58
18,-0.055887706983127394,0.23419053763286066,-0.5149011607435343,0.40312574677727947,8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,EUR_USD,55,2,long,26
20,0.1504628659666038,0.2098534710288257,-0.2608499372498946,0.5617756691831022,9,0.13918086729841786,0.3098580537268579,-0.4681409180062236,0.7465026526030593,EUR_USD,55,2,short,29
5,-0.41286892021716,0.3969783685090708,-1.1909465224949387,0.3652086820606188,3,0.7271187490963156,0.2728812509036844,0.19227149732509408,1.261966000867537,EUR_USD,55,3,long,8
0,,,,,1,-1.0,,,,EUR_USD,55,3,short,1
25,0.175884653646471,0.19643210097423486,-0.20912226426302932,0.5608915715559712,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,EUR_USD,100,1,long,36
27,-0.10305224124526985,0.18684016262753514,-0.4692589599952387,0.263154477504699,12,0.16666666666666755,0.2972941950052818,-0.4160299555436848,0.7493632888770199,EUR_USD,100,1,short,39
12,0.0754140229141148,0.28789707402358655,-0.48886424217211477,0.6396922880003444,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,EUR_USD,100,2,long,18
13,-0.021736735182321203,0.2782005797611919,-0.5670098715142573,0.5235364011496149,6,0.04210463428096009,0.36862673045174904,-0.680403757404468,0.7646130259663882,EUR_USD,100,2,short,19
4,-0.26608615027145005,0.47617686404526277,-1.199392803800165,0.6672205032572649,3,0.7271187490963156,0.2728812509036844,0.19227149732509408,1.261966000867537,EUR_USD,100,3,long,7
0,,,,,1,-1.0,,,,EUR_USD,100,3,short,1
91,0.04576693408270404,0.10434323391586574,-0.1587458043923928,0.25027967255780087,39,0.10986823209093466,0.15930512001170252,-0.20236980313200226,0.4221062673138716,GBP_USD,10,1,long,130
94,0.21004832732082931,0.0999397118866885,0.014166492022919863,0.40593016261873877,41,0.10183567581470652,0.15540177337827046,-0.20275180000670356,0.40642315163611664,GBP_USD,10,1,short,135
48,0.030670410073166638,0.14461032454785636,-0.25276582604063186,0.3141066461869651,21,-0.17159841810305587,0.21568712425301267,-0.5943451816389607,0.251148345432849,GBP_USD,10,2,long,69
37,-0.06459574789214129,0.16439384220349035,-0.38680767861098236,0.2576161828266998,17,-0.29411764705882354,0.23894230601870473,-0.7624445668554848,0.1742092727378377,GBP_USD,10,2,short,54
10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,5,0.8743379037952662,0.1256620962047338,0.628040195233988,1.1206356123565444,GBP_USD,10,3,long,15
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,4,-0.5,0.5,-1.48,0.48,GBP_USD,10,3,short,13
63,0.026269324842110028,0.12606491855296964,-0.22081791552171046,0.2733565652059305,28,0.045887894698087565,0.18905986513771336,-0.3246694409718306,0.41644523036800574,GBP_USD,20,1,long,91
58,0.3188017246808344,0.12359628189137954,0.0765530121737305,0.5610504371879383,26,-0.10864374198450125,0.19502988720656864,-0.4909023209093758,0.27361483694037325,GBP_USD,20,1,short,84
32,0.0,0.17960530202677488,-0.35202639197247876,0.35202639197247876,15,-0.10690445201094487,0.2580672750041389,-0.6127163110190571,0.3989074069971673,GBP_USD,20,2,long,47
26,-0.053463179692662614,0.1964211221010534,-0.43844857901072726,0.331522219625402,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,GBP_USD,20,2,short,38
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,5,0.8743379037952662,0.1256620962047338,0.628040195233988,1.1206356123565444,GBP_USD,20,3,long,14
6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,20,3,short,9
38,-0.08802717197229126,0.16183644188859836,-0.40522659807394407,0.22917225412936154,17,0.1344035912674383,0.24081702450913003,-0.33759777677045655,0.6064049593053332,GBP_USD,55,1,long,55
28,0.031179549635925858,0.1889433912133694,-0.33914949714227816,0.40150859641412984,13,-0.38461538461538464,0.2664693550105965,-0.9068953204361538,0.1376645512053845,GBP_USD,55,1,short,41
18,0.2222222222222222,0.23647127470752347,-0.24126147620452376,0.6857059206489682,9,0.48849257998175855,0.28890440295850384,-0.07776004981690898,1.054745209780426,GBP_USD,55,2,long,27
18,-0.07722459288940153,0.2360125440234396,-0.5398091791753432,0.3853599933965401,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,GBP_USD,55,2,short,27
4,-0.5,0.5,-1.48,0.48,3,0.7905631729921104,0.20943682700788968,0.3800669920566467,1.2010593539275742,GBP_USD,55,3,long,7
4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,55,3,short,7
27,-0.0868530568498914,0.19213663750850868,-0.46344086636656845,0.2897347526667856,12,0.10707175429553761,0.2879337767385361,-0.45727844811199314,0.6714219567030684,GBP_USD,100,1,long,39
21,-0.38699869572352746,0.20042213927829786,-0.7798260887089912,0.0058286972619363,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,GBP_USD,100,1,short,30
16,0.25,0.25,-0.24,0.74,7,0.34234760283368953,0.3564623178384386,-0.3563185401296502,1.0410137457970292,GBP_USD,100,2,long,23
14,0.043568380570769456,0.2685487905921714,-0.4827872489898865,0.5699240101314255,7,-0.7142857142857143,0.2857142857142857,-1.2742857142857142,-0.15428571428571436,GBP_USD,100,2,short,21
3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,2,0.6858447594881656,0.31415524051183447,0.07010048808497005,1.3015890308913611,GBP_USD,100,3,long,5
4,-0.5,0.5,-1.48,0.48,2,0.0,1.0,-1.96,1.96,GBP_USD,100,3,short,6
98,-0.006692275148914733,0.10107462511712545,-0.2047985403784806,0.19141399008065113,43,-0.023255813953488372,0.15426161815606512,-0.325608585539376,0.2790969576323993,AUD_USD,10,1,long,141
79,-0.02793982620635492,0.1124952889051933,-0.24843059246053378,0.19255094004782392,34,-0.23529411764705882,0.16919028897921254,-0.5669070840463154,0.09631884875219776,AUD_USD,10,1,short,113
55,-0.07022390921792708,0.13452464045115178,-0.3338922045021846,0.1934443860663304,24,-0.3333333333333333,0.19658927487319622,-0.718648312084798,0.05198164541813127,AUD_USD,10,2,long,79
44,0.127774215129395,0.1501736317852594,-0.1665661031697134,0.42211453342850336,19,-0.05263157894736842,0.23537557657892524,-0.5139677090420619,0.40870455114732507,AUD_USD,10,2,short,63
19,0.2631578947368421,0.2273944104704512,-0.18253514978524227,0.7088509392589264,9,-0.18464997015398274,0.3292981826058899,-0.830074408061527,0.46077446775356146,AUD_USD,10,3,long,28
15,0.40027194789478415,0.23499495593320882,-0.06031816573430515,0.8608620615238735,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,AUD_USD,10,3,short,22
61,0.11475409836065574,0.12824660469251112,-0.13660924683666603,0.36611744355797754,27,0.037037037037037035,0.19598157859737708,-0.347086857013822,0.4211609310878961,AUD_USD,20,1,long,88
54,-0.14814814814814814,0.13584481477734792,-0.41440398511175003,0.11810768881545375,24,-0.08333333333333333,0.20778914433245896,-0.49060005622495284,0.3239333895582862,AUD_USD,20,1,short,78
