tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
107,0.10712466991391646,0.09345452442546869,-0.07604619796000216,0.29029553778783507,46,-0.18874278032623515,0.13435061591385902,-0.45206998751739885,0.07458442686492855,USD_CAD,20,2,long,153
98,-0.04505768299667998,0.09598759231922517,-0.23319336394236131,0.14307799794900136,42,-0.17021376079395617,0.14827614132513925,-0.4608349977912291,0.12040747620331677,USD_CAD,20,2,short,140
35,0.14285714285714285,0.16973957879600132,-0.1898324315830197,0.4755467172973054,15,-0.02168025491416635,0.2530199975070724,-0.5175994500280282,0.4742389401996955,USD_CAD,20,3,long,50
33,0.0568011132184494,0.16846162323682948,-0.2733836683257364,0.3869858947626352,15,0.013547037855503537,0.25855403478059497,-0.4932188703144626,0.5203129460254696,USD_CAD,20,3,short,48
199,-0.06072490186343185,0.06795772336297051,-0.19392203965485405,0.07247223592799035,86,0.06367817664772461,0.09925617062963804,-0.13086391778636597,0.25822027108181517,USD_CAD,55,1,long,285
186,-0.03277097805873279,0.07024580297196704,-0.17045275188378817,0.1049107957663226,81,-0.26352978980583364,0.10281969358501536,-0.46505638923246373,-0.06200319037920354,USD_CAD,55,1,short,267
57,0.11780984229932073,0.12905849489523372,-0.13514480769533732,0.3707644922939788,25,-0.31565865327879156,0.1724573128829927,-0.6536749865294573,0.022357679971874156,USD_CAD,55,2,long,82
56,0.07889703487221603,0.1251480565167069,-0.1663931559005295,0.32418722564496155,25,-0.17604539633185404,0.19671599608636142,-0.5616087486611224,0.20951795599741432,USD_CAD,55,2,short,81
20,0.18358032709452568,0.22229082785957083,-0.2521096955102331,0.6192703496992845,9,-0.4440900406225566,0.2940395498753879,-1.0204075583783168,0.13222747713320365,USD_CAD,55,3,long,29
22,0.03726287178367242,0.20299782911155398,-0.3606128732749734,0.43513861684231825,10,-0.2,0.3265986323710904,-0.840133319447337,0.4401333194473371,USD_CAD,55,3,short,32
151,-0.005008677849280629,0.07796427982299381,-0.1578186663023485,0.14780131060378723,65,-0.03859315101713346,0.11419665580340256,-0.2624185963918025,0.18523229435753555,USD_CAD,100,1,long,216
