tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
233,0.06875498730449724,0.06365007336805749,-0.055999156496895436,0.1935091311058899,101,-0.07966663491896717,0.08975398680998262,-0.2555844490665331,0.09625117922859877,USD_CAD,bear_engulf,False,short,334
107,0.2734055305756165,0.09021288016890515,0.09658828544456241,0.4502227757066706,46,-0.12073892827985491,0.13196580974225708,-0.37939191537467876,0.13791405881496896,USD_CAD,bear_engulf,True,short,153
409,-0.0494408309986976,0.047675800907519585,-0.142885400777436,0.04400373878004078,176,-0.17164572620920548,0.07321401667683568,-0.3151451988958034,-0.02814625352260755,USD_CHF,hammer,False,long,585
151,-0.04575196256322087,0.07799101037404038,-0.19861434289634,0.10711041776989827,66,-0.09911348553455998,0.12174468864882061,-0.3377330752862484,0.13950610421712842,USD_CHF,hammer,True,long,217
384,0.08648905540923839,0.0499191572592415,-0.01135249281887496,0.18433060363735174,165,0.08698681450776675,0.07716853151268067,-0.06426350725708736,0.2382371362726209,USD_CHF,shooting_star,False,short,549
147,0.0633250918932182,0.08110291167870952,-0.09563661499705245,0.22228679878348884,63,-0.1111111111111111,0.1262137409437922,-0.3584900433609438,0.1362678211387216,USD_CHF,shooting_star,True,short,210
222,-0.07992286505414507,0.06570426115662308,-0.2087032169211263,0.04885748681283615,96,-0.017323843577286165,0.10116981709831642,-0.21561668508998635,0.18096899793541402,USD_CHF,bull_engulf,False,long,318
96,-0.004262133644865569,0.10046175163480651,-0.20116716684908634,0.19264289955935518,42,0.021399189589079524,0.1542864424073743,-0.2810022375293741,0.3238006167075332,USD_CHF,bull_engulf,True,long,138
217,0.024882220423394625,0.06622040684284726,-0.10490977698858601,0.15467421783537527,93,0.0413633391991775,0.10240613861298413,-0.15935269248227138,0.2420793708806264,USD_CHF,bear_engulf,False,short,310
95,0.01938208158655501,0.10116798768133799,-0.17890717426886743,0.21767133744197747,42,0.07504702235466754,0.1508141290583111,-0.2205486705996222,0.37064271530895726,USD_CHF,bear_engulf,True,short,137
392,0.04591836734693878,0.0505188299841479,-0.053098539421991116,0.14493527411586868,169,0.01775147928994083,0.07713951819758837,-0.13344197637733235,0.16894493495721402,NZD_USD,hammer,False,long,561
135,0.1111111111111111,0.08585193436513955,-0.057158680244562415,0.2793809024667846,58,0.0,0.13245323570650439,-0.2596083419847486,0.2596083419847486,NZD_USD,hammer,True,long,193
416,-0.07211538461538461,0.04896025856548818,-0.16807749140374145,0.02384672217297222,179,0.01675977653631285,0.07494264135835212,-0.1301278005260573,0.16364735359868302,NZD_USD,shooting_star,False,short,595
151,0.046357615894039736,0.08156187718326172,-0.11350366338515323,0.20621889517323272,65,-0.015384615384615385,0.12498520622516864,-0.2603556195859459,0.22958638881671514,NZD_USD,shooting_star,True,short,216
218,0.1743119266055046,0.06684514576722014,0.04329544090175311,0.3053284123092561,94,-0.2553191489361702,0.10025838297541102,-0.45182557956797575,-0.0588127183043646,NZD_USD,bull_engulf,False,long,312
97,0.21649484536082475,0.09964154410582805,0.021197418913401767,0.41179227180824773,42,-0.2857142857142857,0.14966363480776673,-0.5790550099375085,0.007626438508937072,NZD_USD,bull_engulf,True,long,139
