tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
127,0.12303594394148107,0.08810582070111828,-0.04965146463271075,0.2957233525156729,55,-0.24510425672169922,0.12965843828702336,-0.499234795764265,0.009026282320866552,GBP_JPY,shooting_star,True,short,182
278,-0.1253182173806254,0.05921590136202225,-0.241381384050189,-0.009255050711061794,120,0.2258251698372828,0.0879344745664073,0.05347359968712451,0.3981767399874411,GBP_JPY,bull_engulf,False,long,398
113,0.023001434938642765,0.0937282034522213,-0.16070584382771097,0.2067087137049965,49,0.2653061224489796,0.13916511935699852,-0.007457511490737478,0.5380697563886967,GBP_JPY,bull_engulf,True,long,162
299,-0.007806525617982408,0.057559184960443495,-0.12062252814045166,0.10500947690448684,129,-0.21477086009188692,0.08576578686036414,-0.3828718023382006,-0.04666991784557323,GBP_JPY,bear_engulf,False,short,428
122,0.030564435605082547,0.09017949371642195,-0.14618737207910448,0.20731624328926956,53,-0.09433962264150944,0.13805656836684024,-0.36493049664051636,0.17625125135749745,GBP_JPY,bear_engulf,True,short,175
528,-0.02222441756424396,0.0430854273935713,-0.10667185525564371,0.0622230201271558,227,0.09958931980682256,0.06378186276795503,-0.025423131218369283,0.2246017708320144,GBP_AUD,hammer,False,long,755
153,0.054355095473035124,0.08075155170840743,-0.10391794587544345,0.2126281368215137,66,-0.003499103121402918,0.12148745156812343,-0.24161450819492483,0.234616301952119,GBP_AUD,hammer,True,long,219
510,0.002768213795460977,0.04382563618380316,-0.08313003312479321,0.08866646071571517,220,-0.09045938595891514,0.06499683354292861,-0.2178531797030552,0.036934407785224915,GBP_AUD,shooting_star,False,short,730
161,0.035868771159406815,0.07837010216861895,-0.11773662909108631,0.18947417140989994,69,-0.19807828633180438,0.1134340167815521,-0.4204089592236465,0.024252386560037725,GBP_AUD,shooting_star,True,short,230
311,-0.030189980571616003,0.05644923847921662,-0.14083048799088058,0.08045052684764856,134,0.08464672343944248,0.08237816748600452,-0.07681448483312638,0.24610793171201134,GBP_AUD,bull_engulf,False,long,445
125,0.0002771614601665888,0.08926749474611972,-0.17468712824222807,0.17524145116256126,55,0.07785235987757243,0.12951349480861366,-0.1759940899473103,0.3316988097024552,GBP_AUD,bull_engulf,True,long,180
293,-0.07603914330256424,0.05782471948416884,-0.18937559349153515,0.037297306886406686,126,0.041804430045361926,0.08549227129490725,-0.12576042169265628,0.2093692817833801,GBP_AUD,bear_engulf,False,short,419
120,-0.0460693177379065,0.0910554766081189,-0.2245380518898195,0.13239941641400654,52,-0.08109687124753018,0.13496174467555974,-0.34562189081162725,0.1834281483165669,GBP_AUD,bear_engulf,True,short,172
525,-0.08942189852668726,0.04261602795806071,-0.17294931332448626,-0.005894483728888275,226,0.09955448970648706,0.06318651835828737,-0.024291086275756185,0.2234000656887303,GBP_CAD,hammer,False,long,751
170,-0.07062620613989458,0.07545365629530687,-0.21851537247869607,0.0772629601989069,73,-0.029414232615667554,0.11428382550964512,-0.25341053061457197,0.19458206538323689,GBP_CAD,hammer,True,long,243
499,-0.004175173146477318,0.043852200241468776,-0.09012548561975613,0.08177513932680149,214,-0.08784046898951008,0.06482533555368276,-0.2148981266747283,0.03921718869570813,GBP_CAD,shooting_star,False,short,713
159,-0.04084253112466952,0.07729490917838694,-0.19234055311430792,0.1106554908649689,69,-0.07385266525213355,0.11238226249283591,-0.2941218997380919,0.14641656923382482,GBP_CAD,shooting_star,True,short,228
329,0.027380353174987777,0.05415448096448283,-0.07876242951539858,0.13352313586537412,142,0.0767004699924681,0.07913464952877902,-0.07840344308393879,0.231804383068875,GBP_CAD,bull_engulf,False,long,471
135,-0.02701181530575282,0.0845446261698848,-0.192719282598727,0.1386956519872214,59,0.18058458858787643,0.12119829355444872,-0.05696406677884305,0.41813324395459595,GBP_CAD,bull_engulf,True,long,194
296,-0.033833575614703335,0.057462530225369006,-0.1464601348564266,0.07879298362701992,127,-0.07771404209753092,0.08420276795125704,-0.2427514672819947,0.08732338308693287,GBP_CAD,bear_engulf,False,short,423
