tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,CAD_JPY,bear_engulf,True,short,20
157,-0.06737297191313732,0.0792056196835658,-0.2226159864929263,0.08787004266665166,68,-0.08446969774394779,0.1166368215896282,-0.31307786805961907,0.14413847257172346,CAD_CHF,hammer,False,long,225
44,0.045454545454545456,0.15234094902916004,-0.2531337146426082,0.34404280555169914,19,-0.35939441455825827,0.20640138251659276,-0.7639411242907801,0.04515229517426356,CAD_CHF,hammer,True,long,63
121,0.1696108212624408,0.08843782453525606,-0.0037273148266610823,0.3429489573515426,52,0.05962891575824601,0.13318442953222182,-0.2014125661249087,0.32067039764140076,CAD_CHF,shooting_star,False,short,173
37,0.09464654835967126,0.16420853160932128,-0.22720217359459846,0.41649527031394096,16,-0.044871457368071965,0.25039419596027335,-0.5356440814502077,0.44590116671406377,CAD_CHF,shooting_star,True,short,53
61,-0.0007738233827042076,0.12489346443834401,-0.24556501368185846,0.24401736691645004,27,0.0614860589880211,0.1841467924185697,-0.2994416541523755,0.42241377212841774,CAD_CHF,bull_engulf,False,long,88
18,-0.357860030833973,0.2057722245847847,-0.7611735910201509,0.04545352935220498,8,0.7049274263159196,0.24761273664665143,0.21960646248848287,1.1902483901433565,CAD_CHF,bull_engulf,True,long,26
44,0.07977713349254566,0.15072107266745913,-0.21563616893567422,0.37519043592076556,20,0.024711038113803728,0.22503566927337118,-0.4163588736620038,0.4657809498896112,CAD_CHF,bear_engulf,False,short,64
15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,7,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,CAD_CHF,bear_engulf,True,short,22
188,-0.0038897434900121786,0.06894513496116736,-0.1390222080139002,0.13124272103387585,81,0.19680609974117153,0.10777762126585931,-0.014438037939912718,0.40805023742225577,USD_JPY,hammer,False,long,269
55,-0.12028323050388365,0.12922707659679095,-0.3735683006335939,0.1330018396258266,24,0.08333333333333333,0.20778914433245896,-0.3239333895582862,0.49060005622495284,USD_JPY,hammer,True,long,79
123,-0.030915205260592958,0.08827993738977274,-0.20394388254454754,0.1421134720233616,53,-0.15973477310368392,0.13320612658690478,-0.4208187812140173,0.10134923500664947,USD_JPY,shooting_star,False,short,176
30,-0.055264153627742243,0.1836452132701423,-0.41520877163722114,0.3046804643817367,14,-0.2857142857142857,0.26578871697687523,-0.8066601709889611,0.23523159956038975,USD_JPY,shooting_star,True,short,44
44,0.07362274817438065,0.14590136672093532,-0.21234393059865259,0.35958942694741386,20,0.3,0.21884866196096617,-0.1289433774434937,0.7289433774434937,USD_JPY,bull_engulf,False,long,64
14,0.2271779490164736,0.26007225979316995,-0.2825636801781395,0.7369195782110867,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,USD_JPY,bull_engulf,True,long,21
41,0.01746395234481765,0.1476966279416012,-0.2720214384207207,0.30694934311035604,18,-0.2222222222222222,0.23647127470752347,-0.6857059206489682,0.24126147620452376,USD_JPY,bear_engulf,False,short,59
10,-0.4327040727145607,0.29022110416950564,-1.0015374368867918,0.1361292914576704,5,-0.6,0.4,-1.384,0.18400000000000005,USD_JPY,bear_engulf,True,short,15
132,0.06957643194981172,0.08264862534563105,-0.09241487372762514,0.23156773762724858,57,0.08578696063681332,0.10673584969020428,-0.12341530475598705,0.2949892260296137,EUR_GBP,hammer,False,long,189
31,0.42267972366925,0.15971796130493213,0.10963251951158304,0.735726927826917,14,0.10325802500242276,0.23750198590279142,-0.36224586736704845,0.568761917371894,EUR_GBP,hammer,True,long,45
158,0.08727783409393702,0.077091481700881,-0.06382147003978972,0.23837713822766377,68,-0.06380961009856281,0.10189751996364055,-0.2635287492272983,0.13590952903017267,EUR_GBP,shooting_star,False,short,226
49,0.030797543465786184,0.13768435437648366,-0.23906379111212178,0.3006588780436941,22,-0.23099714143741282,0.1657111530549763,-0.5557910014251664,0.09379671855034075,EUR_GBP,shooting_star,True,short,71
