tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
72,41,30,1,0.5774647887323944,0.4625645042406635,0.6923650732241253,32,15,16,1,0.4838709677419355,0.3079493737374329,0.6597925617464381,AUD_USD,H4,10,3,long,104
645,310,328,7,0.48589341692789967,0.4471102899578514,0.5246765438979479,277,130,145,2,0.4727272727272727,0.4137190264138741,0.5317355190406713,AUD_USD,H4,10,1,short,922
211,115,93,3,0.5528846153846154,0.48531499743331863,0.6204542333359122,91,36,54,1,0.4,0.29878603521911284,0.5012139647808872,AUD_USD,H4,10,2,short,302
73,43,29,1,0.5972222222222222,0.4839324891722213,0.7105119552722231,32,12,20,0,0.375,0.20725996676404287,0.5427400332359571,AUD_USD,H4,10,3,short,105
484,224,259,1,0.463768115942029,0.41929380107541236,0.5082424308086456,208,101,105,2,0.49029126213592233,0.42202430000759256,0.5585582242642521,AUD_USD,H4,20,1,long,692
156,74,81,1,0.4774193548387097,0.398784173361399,0.5560545363160203,68,26,41,1,0.3880597014925373,0.27137270275773195,0.5047467002273427,AUD_USD,H4,20,2,long,224
53,27,25,1,0.5192307692307693,0.3834297772537627,0.6550317612077758,24,11,12,1,0.4782608695652174,0.2741099770483661,0.6824117620820687,AUD_USD,H4,20,3,long,77
453,215,231,7,0.4820627802690583,0.4356883055746479,0.5284372549634687,195,88,105,2,0.45595854922279794,0.3856907917851288,0.5262263066604671,AUD_USD,H4,20,1,short,648
152,83,68,1,0.5496688741721855,0.47031207306868683,0.6290256752756841,66,23,42,1,0.35384615384615387,0.2376010687899378,0.4700912389023699,AUD_USD,H4,20,2,short,218
52,28,23,1,0.5490196078431373,0.4124532456780719,0.6855859700082028,23,8,15,0,0.34782608695652173,0.15317584838060608,0.5424763255324374,AUD_USD,H4,20,3,short,75
288,132,155,1,0.45993031358885017,0.4022687996406528,0.5175918275370476,124,54,69,1,0.43902439024390244,0.3513203037348737,0.5267284767529311,AUD_USD,H4,55,1,long,412
91,42,49,0,0.46153846153846156,0.3591109390650735,0.5639659840118496,40,18,21,1,0.46153846153846156,0.3050778365447645,0.6179990865321586,AUD_USD,H4,55,2,long,131
33,18,14,1,0.5625,0.3906176137950721,0.7343823862049279,15,6,8,1,0.42857142857142855,0.16934180063511417,0.6878010565077429,AUD_USD,H4,55,3,long,48
266,122,138,6,0.46923076923076923,0.40856893918886583,0.5298925992726726,115,46,68,1,0.40350877192982454,0.3134487254955975,0.4935688183640516,AUD_USD,H4,55,1,short,381
91,49,41,1,0.5444444444444444,0.4415522865356801,0.6473366023532087,39,14,25,0,0.358974358974359,0.20842005237821218,0.5095286655705058,AUD_USD,H4,55,2,short,130
32,17,14,1,0.5483870967741935,0.37320004290478614,0.7235741506436009,14,7,7,0,0.5,0.2380839829258241,0.7619160170741759,AUD_USD,H4,55,3,short,46
196,94,102,0,0.47959183673469385,0.40965017007815874,0.549533503391229,84,36,47,1,0.43373493975903615,0.32711483322234536,0.540355046295727,AUD_USD,H4,100,1,long,280
67,36,31,0,0.5373134328358209,0.41792123015937205,0.6567056355122697,30,14,15,1,0.4827586206896552,0.3008854149362746,0.6646318264430358,AUD_USD,H4,100,2,long,97
25,14,10,1,0.5833333333333334,0.3860895942879771,0.7805770723786896,11,6,4,1,0.6,0.2963581056573385,0.9036418943426614,AUD_USD,H4,100,3,long,36
198,88,103,7,0.4607329842931937,0.39004168419842644,0.531424284387961,86,35,50,1,0.4117647058823529,0.3071369989748742,0.5163924127898317,AUD_USD,H4,100,1,short,284
65,35,30,0,0.5384615384615384,0.4172676594739799,0.659655417449097,29,11,18,0,0.3793103448275862,0.20270995022817426,0.5559107394269981,AUD_USD,H4,100,2,short,94
22,12,10,0,0.5454545454545454,0.33738300946955657,0.7535260814395343,10,5,5,0,0.5,0.19009678930349883,0.8099032106965012,AUD_USD,H4,100,3,short,32
646,280,310,56,0.4745762711864407,0.4342824999466992,0.5148700424261822,277,105,105,67,0.5,0.4323735751844493,0.5676264248155507,USD_CAD,H4,10,1,long,923
226,111,96,19,0.5362318840579711,0.46829624593878083,0.6041675221771613,97,33,39,25,0.4583333333333333,0.3432409455917916,0.573425721074875,USD_CAD,H4,10,2,long,323
76,41,31,4,0.5694444444444444,0.45506970914225536,0.6838191797466335,33,10,15,8,0.4,0.20796000416579888,0.5920399958342012,USD_CAD,H4,10,3,long,109
