pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,n,w,l,t,wr_decisive,ci_low,ci_high
GBP_USD,H4,20,1,0.01,0.03,1/3,0.25,long,641,53,395,193,0.11830357142857142,0.08839638671877928,0.14821075613836357
GBP_USD,H4,20,2,0.01,0.01,1/1,0.5,long,220,109,98,13,0.5265700483091788,0.4585515812452234,0.5945885153731341
GBP_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,long,220,51,122,47,0.2947976878612717,0.22685356129989617,0.3627418144226472
GBP_USD,H4,20,2,0.01,0.03,1/3,0.25,long,220,21,125,74,0.14383561643835616,0.08691213658736865,0.20075909628934366
GBP_USD,H4,20,3,0.01,0.01,1/1,0.5,long,62,32,29,1,0.5245901639344263,0.3992658583322437,0.6499144695366088
GBP_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,long,62,16,33,13,0.32653061224489793,0.19522632318117158,0.45783490130862425
GBP_USD,H4,20,3,0.01,0.03,1/3,0.25,long,62,6,35,21,0.14634146341463414,0.03815076268441352,0.25453216414485474
GBP_USD,H4,20,1,0.01,0.01,1/1,0.5,short,592,294,275,23,0.5166959578207382,0.47563513160528575,0.5577567840361907
GBP_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,short,592,136,331,125,0.291220556745182,0.25001420157028525,0.3324269119200787
GBP_USD,H4,20,1,0.01,0.03,1/3,0.25,short,592,54,341,197,0.13670886075949368,0.10282955539357481,0.17058816612541255
GBP_USD,H4,20,2,0.01,0.01,1/1,0.5,short,191,85,101,5,0.45698924731182794,0.38539851502024003,0.5285799796034159
GBP_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,short,191,40,116,35,0.2564102564102564,0.1878885508916633,0.3249319619288495
GBP_USD,H4,20,2,0.01,0.03,1/3,0.25,short,191,16,121,54,0.11678832116788321,0.0630074420427055,0.1705692002930609
GBP_USD,H4,20,3,0.01,0.01,1/1,0.5,short,52,28,24,0,0.5384615384615384,0.40296266252500634,0.6739604143980705
GBP_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,short,52,15,31,6,0.32608695652173914,0.19061612382682103,0.46155778921665724
GBP_USD,H4,20,3,0.01,0.03,1/3,0.25,short,52,7,31,14,0.18421052631578946,0.06095382423211568,0.3074672283994633
GBP_USD,H4,55,1,0.01,0.01,1/1,0.5,long,381,180,185,16,0.4931506849315068,0.44185995361121755,0.5444414162517961
GBP_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,long,381,79,228,74,0.25732899022801303,0.20842666864180218,0.3062313118142239
GBP_USD,H4,55,1,0.01,0.03,1/3,0.25,long,381,24,236,121,0.09230769230769231,0.057122682879182894,0.12749270173620172
GBP_USD,H4,55,2,0.01,0.01,1/1,0.5,long,128,60,59,9,0.5042016806722689,0.4143683999866222,0.5940349613579156
GBP_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,long,128,26,73,29,0.26262626262626265,0.17593977959188073,0.3493127456606446
GBP_USD,H4,55,2,0.01,0.03,1/3,0.25,long,128,8,75,45,0.0963855421686747,0.03289419267721595,0.15987689166013347
GBP_USD,H4,55,3,0.01,0.01,1/1,0.5,long,32,17,13,2,0.5666666666666667,0.389341520656837,0.7439918126764963
GBP_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,long,32,7,16,9,0.30434782608695654,0.11629783002433983,0.4923978221495733
GBP_USD,H4,55,3,0.01,0.03,1/3,0.25,long,32,3,17,12,0.15,0.0,0.30649345034217884
GBP_USD,H4,55,1,0.01,0.01,1/1,0.5,short,348,174,161,13,0.5194029850746269,0.4659001959033034,0.5729057742459505
GBP_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,short,348,73,200,75,0.2673992673992674,0.21489573436126078,0.31990280043727404
GBP_USD,H4,55,1,0.01,0.03,1/3,0.25,short,348,32,205,111,0.1350210970464135,0.0915114588410737,0.17853073525175328
GBP_USD,H4,55,2,0.01,0.01,1/1,0.5,short,123,58,63,2,0.4793388429752066,0.3903240292440976,0.5683536567063157
GBP_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,short,123,28,75,20,0.27184466019417475,0.18592157123085068,0.3577677491574988
GBP_USD,H4,55,2,0.01,0.03,1/3,0.25,short,123,13,77,33,0.14444444444444443,0.0718155646250954,0.21707332426379344
GBP_USD,H4,55,3,0.01,0.01,1/1,0.5,short,30,16,14,0,0.5333333333333333,0.354808679988615,0.7118579866780517
GBP_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,short,30,8,16,6,0.3333333333333333,0.14473224539805557,0.521934421268611
GBP_USD,H4,55,3,0.01,0.03,1/3,0.25,short,30,6,16,8,0.2727272727272727,0.0866224332691812,0.45883211218536424
GBP_USD,H4,100,1,0.01,0.01,1/1,0.5,long,279,130,137,12,0.4868913857677903,0.4269369750065531,0.5468457965290275
GBP_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,long,279,54,170,55,0.24107142857142858,0.18505629389784237,0.2970865632450148
GBP_USD,H4,100,1,0.01,0.03,1/3,0.25,long,279,19,178,82,0.09644670050761421,0.055223326579130476,0.13767007443609794
GBP_USD,H4,100,2,0.01,0.01,1/1,0.5,long,97,46,44,7,0.5111111111111111,0.407835550465759,0.6143866717564631
GBP_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,long,97,20,55,22,0.26666666666666666,0.1665836196692041,0.36674971366412923
GBP_USD,H4,100,2,0.01,0.03,1/3,0.25,long,97,5,57,35,0.08064516129032258,0.012866815196198922,0.14842350738444623
GBP_USD,H4,100,3,0.01,0.01,1/1,0.5,long,25,14,10,1,0.5833333333333334,0.3860895942879771,0.7805770723786896
GBP_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,long,25,5,12,8,0.29411764705882354,0.07751771578937186,0.5107175783282752
GBP_USD,H4,100,3,0.01,0.03,1/3,0.25,long,25,2,13,10,0.13333333333333333,0.0,0.3053639938219455
GBP_USD,H4,100,1,0.01,0.01,1/1,0.5,short,253,119,125,9,0.48770491803278687,0.4249858178419782,0.5504240182235955
GBP_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,short,253,50,153,50,0.24630541871921183,0.18703435355232398,0.3055764838860997
GBP_USD,H4,100,1,0.01,0.03,1/3,0.25,short,253,26,156,71,0.14285714285714285,0.09201803011296344,0.19369625560132225
GBP_USD,H4,100,2,0.01,0.01,1/1,0.5,short,89,38,50,1,0.4318181818181818,0.32832568525694394,0.5353106783794197
GBP_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,short,89,17,58,14,0.22666666666666666,0.13191155805817312,0.3214217752751602
GBP_USD,H4,100,2,0.01,0.03,1/3,0.25,short,89,8,59,22,0.11940298507462686,0.04175773972304754,0.19704823042620617
GBP_USD,H4,100,3,0.01,0.01,1/1,0.5,short,22,11,11,0,0.5,0.29106329797150177,0.7089367020284982
GBP_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,short,22,6,12,4,0.3333333333333333,0.11555555555555552,0.5511111111111111
GBP_USD,H4,100,3,0.01,0.03,1/3,0.25,short,22,5,12,5,0.29411764705882354,0.07751771578937186,0.5107175783282752
AUD_USD,H4,10,1,0.01,0.01,1/1,0.5,long,959,455,496,8,0.4784437434279706,0.446694613178551,0.5101928736773901
AUD_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,long,959,223,622,114,0.263905325443787,0.23418739021545562,0.2936232606721183
AUD_USD,H4,10,1,0.01,0.03,1/3,0.25,long,959,108,640,211,0.1443850267379679,0.11919633918748258,0.16957371428845322
AUD_USD,H4,10,2,0.01,0.01,1/1,0.5,long,303,141,159,3,0.47,0.41352161003239085,0.5264783899676091
AUD_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,long,303,75,190,38,0.2830188679245283,0.2287819886708363,0.33725574717822027
AUD_USD,H4,10,2,0.01,0.03,1/3,0.25,long,303,43,196,64,0.1799163179916318,0.1312171565155842,0.2286154794676794
AUD_USD,H4,10,3,0.01,0.01,1/1,0.5,long,104,56,46,2,0.5490196078431373,0.4524526070742416,0.645586608612033
AUD_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,long,104,30,60,14,0.3333333333333333,0.23594015031334248,0.43072651635332415
AUD_USD,H4,10,3,0.01,0.03,1/3,0.25,long,104,16,63,25,0.20253164556962025,0.11390879797997436,0.2911544931592661
AUD_USD,H4,10,1,0.01,0.01,1/1,0.5,short,922,449,463,10,0.4923245614035088,0.4598773424155681,0.5247717803914494
AUD_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,short,922,262,567,93,0.316043425814234,0.2843939551663162,0.3476928964621518
AUD_USD,H4,10,1,0.01,0.03,1/3,0.25,short,922,128,590,204,0.17827298050139276,0.1502766961660043,0.2062692648367812
AUD_USD,H4,10,2,0.01,0.01,1/1,0.5,short,302,156,142,4,0.5234899328859061,0.4667827403659841,0.580197125405828
AUD_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,short,302,87,181,34,0.3246268656716418,0.2685669043148045,0.38068682702847906
AUD_USD,H4,10,2,0.01,0.03,1/3,0.25,short,302,47,188,67,0.2,0.14885747907261013,0.25114252092738987
AUD_USD,H4,10,3,0.01,0.01,1/1,0.5,short,105,56,47,2,0.5436893203883495,0.4474963852078534,0.6398822555688456
AUD_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,short,105,25,66,14,0.27472527472527475,0.18301120717499042,0.3664393422755591
AUD_USD,H4,10,3,0.01,0.03,1/3,0.25,short,105,15,68,22,0.18072289156626506,0.09794029990340908,0.26350548322912104
AUD_USD,H4,20,1,0.01,0.01,1/1,0.5,long,692,332,356,4,0.48255813953488375,0.4452187292372913,0.5198975498324763
AUD_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,long,692,167,444,81,0.2733224222585925,0.23798425868931222,0.30866058582787276
AUD_USD,H4,20,1,0.01,0.03,1/3,0.25,long,692,80,457,155,0.148975791433892,0.11885976037652712,0.17909182249125688
AUD_USD,H4,20,2,0.01,0.01,1/1,0.5,long,224,100,122,2,0.45045045045045046,0.3850009215303067,0.5158999793705943
AUD_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,long,224,51,146,27,0.25888324873096447,0.1977160983865164,0.32005039907541255
AUD_USD,H4,20,2,0.01,0.03,1/3,0.25,long,224,30,150,44,0.16666666666666666,0.11222222222222221,0.2211111111111111
AUD_USD,H4,20,3,0.01,0.01,1/1,0.5,long,77,38,37,2,0.5066666666666667,0.3935160730772841,0.6198172602560493
AUD_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,long,77,20,48,9,0.29411764705882354,0.1858176814240977,0.40241761269354936
AUD_USD,H4,20,3,0.01,0.03,1/3,0.25,long,77,11,49,17,0.18333333333333332,0.08542411612261912,0.2812425505440475
AUD_USD,H4,20,1,0.01,0.01,1/1,0.5,short,648,307,332,9,0.48043818466353677,0.44169966562935187,0.5191767036977217
AUD_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,short,648,174,402,72,0.3020833333333333,0.2645851699588133,0.3395814967078533
AUD_USD,H4,20,1,0.01,0.03,1/3,0.25,short,648,88,418,142,0.17391304347826086,0.14088675477182974,0.206939332184692
AUD_USD,H4,20,2,0.01,0.01,1/1,0.5,short,218,112,104,2,0.5185185185185185,0.45188371436616814,0.5851533226708688
AUD_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,short,218,58,134,26,0.3020833333333333,0.23713460917814627,0.36703205748852036
AUD_USD,H4,20,2,0.01,0.03,1/3,0.25,short,218,28,140,50,0.16666666666666666,0.11031131265370772,0.2230220206796256
AUD_USD,H4,20,3,0.01,0.01,1/1,0.5,short,75,36,37,2,0.4931506849315068,0.3784611230836624,0.6078402467793512
AUD_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,short,75,16,49,10,0.24615384615384617,0.14143036562683448,0.35087732668085786
AUD_USD,H4,20,3,0.01,0.03,1/3,0.25,short,75,9,51,15,0.15,0.0596484643185297,0.24035153568147027
AUD_USD,H4,55,1,0.01,0.01,1/1,0.5,long,412,189,220,3,0.4621026894865526,0.41378419969296465,0.5104211792801405
AUD_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,long,412,100,274,38,0.26737967914438504,0.2225233273163385,0.3122360309724316
AUD_USD,H4,55,1,0.01,0.03,1/3,0.25,long,412,42,283,87,0.12923076923076923,0.0927596666577066,0.16570187180383186
AUD_USD,H4,55,2,0.01,0.01,1/1,0.5,long,131,60,70,1,0.46153846153846156,0.3758414478680571,0.5472354752088661
