tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
18,2,8,8,0.2,0.0,0.447922568557201,-0.13333333333333336,-0.33333333333333337,9,2,3,4,0.4,0.0,0.8294144850840502,0.06666666666666665,-0.33333333333333337,EUR_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,short,27
182,73,94,15,0.437125748502994,0.3618930358305712,0.5123584611754168,-0.06287425149700598,-0.1381069641694288,79,32,33,14,0.49230769230769234,0.37076803835503674,0.613847346260348,-0.007692307692307665,-0.12923196164496326,EUR_USD,H4,100,1,0.01,0.01,1/1,0.5,long,261
182,34,101,47,0.2518518518518518,0.17862749530772,0.3250762083959836,-0.08148148148148154,-0.15470583802561336,79,14,41,24,0.2545454545454545,0.13942089455694923,0.3696700145339598,-0.07878787878787885,-0.19391243877638414,EUR_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,long,261
58,24,28,6,0.46153846153846156,0.32603958560192947,0.5970373374749937,-0.038461538461538436,-0.17396041439807053,26,7,14,5,0.3333333333333333,0.13171028938286652,0.5349563772838001,-0.16666666666666669,-0.36828971061713345,EUR_USD,H4,100,2,0.01,0.01,1/1,0.5,long,84
58,11,31,16,0.2619047619047619,0.12893303001605752,0.39487649379346634,-0.07142857142857145,-0.20440030331727585,26,1,15,10,0.0625,0.0,0.18111011497760215,-0.27083333333333337,-0.33333333333333337,EUR_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,long,84
18,10,7,1,0.5882352941176471,0.3542806291426003,0.8221899590926939,0.08823529411764708,-0.14571937085739972,9,3,4,2,0.42857142857142855,0.06196537297496135,0.7951774841678958,-0.07142857142857145,-0.43803462702503865,EUR_USD,H4,100,3,0.01,0.01,1/1,0.5,long,27
18,5,9,4,0.35714285714285715,0.1061448491826345,0.6081408651030797,0.02380952380952378,-0.22718848415069887,9,0,4,5,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,EUR_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,long,27
186,81,91,14,0.47093023255813954,0.39633233174356153,0.5455281333727175,-0.02906976744186046,-0.10366766825643847,80,34,41,5,0.4533333333333333,0.3406666361604249,0.5660000305062417,-0.04666666666666669,-0.15933336383957508,EUR_USD,H4,100,1,0.01,0.01,1/1,0.5,short,266
186,32,106,48,0.2318840579710145,0.16146902879845143,0.30229908714357756,-0.10144927536231887,-0.17186430453488194,80,10,44,26,0.18518518518518517,0.08157754792517014,0.2887928224452002,-0.1481481481481482,-0.25175578540816324,EUR_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,short,266
60,26,30,4,0.4642857142857143,0.333662209509583,0.5949092190618457,-0.0357142857142857,-0.16633779049041703,26,9,13,4,0.4090909090909091,0.20363672932088425,0.614545088860934,-0.09090909090909088,-0.2963632706791157,EUR_USD,H4,100,2,0.01,0.01,1/1,0.5,short,86
