tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,k_period,d_period,threshold,recovery,direction,total_n
203,0.05725242982981439,0.0676207038845874,-0.07528414978397689,0.18978900944360566,88,-0.12282688401835248,0.10366198673583932,-0.32600437802059756,0.08035060998389257,EUR_USD,14,3,20,2,long,291
124,0.19230139139084346,0.08291598377487552,0.02978606319208743,0.3548167195895995,54,-0.06828019872814554,0.13471995717487012,-0.332331314790891,0.1957709173345999,EUR_USD,14,3,20,3,long,178
59,0.3258419505444336,0.11699388300167908,0.09653393986114261,0.5551499612277246,26,0.23076923076923078,0.19460170216420797,-0.1506501054726168,0.6121885670110784,EUR_USD,14,3,20,4,long,85
437,0.03092353061267341,0.04596528598552966,-0.059168429918964725,0.12101549114431154,188,0.08748790234073055,0.07093570618417269,-0.05154608178024793,0.226521886461709,EUR_USD,14,3,25,1,long,625
224,0.02956358596184073,0.06467964270319487,-0.09720851373642123,0.15633568566010267,97,-0.18359552364551568,0.09794270117921357,-0.3755632179567743,0.008372170665742917,EUR_USD,14,3,25,2,long,321
133,0.18680731227416983,0.08051250656192319,0.0290027994128004,0.34461182513553923,58,-0.029088460884825158,0.13031960356857294,-0.28451488387922813,0.22633796210957782,EUR_USD,14,3,25,3,long,191
64,0.3638110637747295,0.10982899627592606,0.14854623107391443,0.5790758964755446,28,0.21428571428571427,0.18797967114804776,-0.15415444116445934,0.5827258697358879,EUR_USD,14,3,25,4,long,92
480,0.00940329766195475,0.04403990521343617,-0.07691491655638015,0.09572151188028964,207,0.05283024524405459,0.06779682369981349,-0.08005152920757985,0.185712019695689,EUR_USD,14,3,30,1,long,687
251,0.04172388445171243,0.06116442258564434,-0.07815838381615048,0.16160615271957535,109,-0.16720895936689065,0.09257605284490242,-0.3486580229428994,0.014240104209118087,EUR_USD,14,3,30,2,long,360
148,0.17323233651616088,0.07689249603762761,0.022523044282410754,0.323941628749911,64,-0.12011141767687279,0.12327401646885319,-0.36172848995582507,0.12150565460207947,EUR_USD,14,3,30,3,long,212
70,0.3611986868797527,0.10571070696732937,0.15400570122378715,0.5683916725357183,30,0.06666666666666667,0.1852822223412403,-0.29648648912216435,0.42981982245549766,EUR_USD,14,3,30,4,long,100
319,0.05253826896768866,0.0541679219908784,-0.053630858134433,0.15870739606981032,138,0.0072034672941853305,0.08210014811716651,-0.15371282301546102,0.1681197576038317,EUR_USD,14,3,15,1,short,457
173,0.0640003735727736,0.07234488270918574,-0.07779559653723045,0.20579634368277766,75,0.07904135789258387,0.11484645244340214,-0.1460576888964843,0.30414040468165204,EUR_USD,14,3,15,2,short,248
92,-0.058821026630981744,0.10193411078716166,-0.2586118837738186,0.14096983051185513,40,0.09928841955124615,0.15019147528738386,-0.1950868720120262,0.3936637111145185,EUR_USD,14,3,15,3,short,132
53,-0.18938405965686297,0.13218587552041683,-0.4484683756768799,0.069700256363154,24,-0.08333333333333333,0.20778914433245896,-0.49060005622495284,0.3239333895582862,EUR_USD,14,3,15,4,short,77
365,0.07079036941407682,0.05057661154351068,-0.028339789211204114,0.16992052803935775,157,-0.009208180972616118,0.0764344760377424,-0.15901975400659119,0.14060339206135897,EUR_USD,14,3,20,1,short,522
200,0.031215159377739124,0.06779689093743847,-0.10166674685964029,0.16409706561511855,86,0.07239119667068922,0.10577602560872928,-0.13492981352242017,0.2797122068637986,EUR_USD,14,3,20,2,short,286
107,-0.026648852066436794,0.09462071864669273,-0.21210546061395455,0.15880775648108095,46,-0.10099009761821139,0.13791489464802725,-0.37130329112834476,0.16932309589192202,EUR_USD,14,3,20,3,short,153
61,-0.06618615019366783,0.12565628518882044,-0.3124724691637559,0.1801001687764202,27,-0.18518518518518517,0.1927240401742195,-0.5629243039266554,0.19255393355628508,EUR_USD,14,3,20,4,short,88
411,0.061940713633231684,0.04748427931932553,-0.031128473832646344,0.15500990109910973,177,-0.056824269318272544,0.07204191204087117,-0.19802641691838002,0.08437787828183495,EUR_USD,14,3,25,1,short,588
227,0.0008928684834615233,0.06362169510696665,-0.12380565392619311,0.12559139089311616,98,0.026776551794849397,0.09919235066508209,-0.16764045550871148,0.22119355909841026,EUR_USD,14,3,25,2,short,325
119,-0.05757501824461115,0.08979686918566357,-0.23357688184851175,0.11842684535928946,52,-0.05087585558534083,0.13128186929797703,-0.30818831940937574,0.2064366082386941,EUR_USD,14,3,25,3,short,171
65,-0.08508794321224028,0.1209235318295528,-0.3220980655981638,0.1519221791736832,29,-0.2413793103448276,0.18339419181267275,-0.6008319262976661,0.11807330560801096,EUR_USD,14,3,25,4,short,94
451,0.091041615556209,0.045270590023285776,0.0023112591105688834,0.17977197200184913,194,-0.04669018386254764,0.06910970408869953,-0.1821452038763987,0.08876483615130343,EUR_USD,14,3,30,1,short,645
257,-0.03195479754670329,0.059827327063632564,-0.14921635859142313,0.08530676349801654,111,0.10472164032338056,0.0929028039081409,-0.0773678553365756,0.28681113598333674,EUR_USD,14,3,30,2,short,368
129,-0.04953828294922756,0.08616639688600315,-0.21842442084579372,0.11934785494733861,56,-0.04724186590067363,0.1270502586624536,-0.29626037287908263,0.2017766410777354,EUR_USD,14,3,30,3,short,185
70,-0.0888056278294505,0.11620135182480455,-0.3165602774060674,0.13894902174716642,31,-0.2682764728236402,0.17310906730138723,-0.6075702447343592,0.07101729908707877,EUR_USD,14,3,30,4,short,101
319,0.08688474743064403,0.05357719437490408,-0.018126553544167964,0.19189604840545604,137,0.06473427917760573,0.08304285130004084,-0.09802970937047432,0.22749826772568577,EUR_USD,21,3,15,1,long,456
