tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
33,0.030303030303030304,0.1766955119650091,-0.3160201731483875,0.37662623375444815,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,AUD_USD,14,1.0,close_breakout,long,48
28,-0.09554641160327003,0.18845590592356434,-0.4649199872134561,0.27382716400691604,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953,0.22383120540932872,AUD_USD,14,1.0,close_breakout,short,40
281,0.04237278204871746,0.05960215637210253,-0.0744474444406035,0.15919300853803842,121,-0.008264462809917356,0.09128397534865505,-0.18718105449328126,0.17065212887344655,AUD_USD,14,1.0,range_expansion,long,402
263,0.03227392264841639,0.06108391045369969,-0.08745054184083499,0.15199838713766778,113,-0.0872566028986943,0.09371833696981663,-0.2709445433595349,0.09643133756214628,AUD_USD,14,1.0,range_expansion,short,376
4,-0.5,0.5,-1.48,0.48,2,-1.0,0.0,-1.0,-1.0,AUD_USD,14,1.5,close_breakout,long,6
7,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,AUD_USD,14,1.5,close_breakout,short,10
65,-0.1664489903626143,0.12133311349762502,-0.4042618928179593,0.07136391209273074,29,-0.1724137931034483,0.1861521539674008,-0.5372720148795539,0.19244442867265732,AUD_USD,14,1.5,range_expansion,long,94
56,0.023655365626936414,0.13372060196938784,-0.23843701423306377,0.2857477454869366,24,-0.3333333333333333,0.19658927487319622,-0.718648312084798,0.05198164541813127,AUD_USD,14,1.5,range_expansion,short,80
251,-0.010452452247765885,0.06291467273537162,-0.13376521080909426,0.11286030631356248,108,0.08002693239437181,0.09597103914049353,-0.10807630432099549,0.2681301691097391,AUD_USD,20,0.5,close_breakout,long,359
220,0.012509605378054778,0.0671496763149998,-0.11910376019934484,0.1441229709554544,95,-0.06043684257576221,0.10244481981919527,-0.26122868942138494,0.14035500426986053,AUD_USD,20,0.5,close_breakout,short,315
816,0.01722443843275314,0.034904620006580275,-0.0511886167801442,0.08563749364565049,350,0.06649488329716668,0.053277103866014176,-0.0379282402802211,0.17091800687455447,AUD_USD,20,0.5,range_expansion,long,1166
753,0.07190672139766514,0.036148320450439676,0.0010560133148033862,0.1427574294805269,323,-0.17945990283581223,0.054584716559907716,-0.28644594729323136,-0.07247385837839311,AUD_USD,20,0.5,range_expansion,short,1076
34,0.11764705882352941,0.1728687687191937,-0.22117572786609027,0.45646984551314906,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,AUD_USD,20,1.0,close_breakout,long,49
27,-0.13612220462561336,0.19098313839650263,-0.5104491558827585,0.2382047466315318,12,-0.5,0.2611164839335468,-1.0117883085097517,0.011788308509751766,AUD_USD,20,1.0,close_breakout,short,39
281,0.04237278204871746,0.05960215637210253,-0.0744474444406035,0.15919300853803842,121,-0.008264462809917356,0.09128397534865505,-0.18718105449328126,0.17065212887344655,AUD_USD,20,1.0,range_expansion,long,402
263,0.03227392264841639,0.06108391045369969,-0.08745054184083499,0.15199838713766778,113,-0.0872566028986943,0.09371833696981663,-0.2709445433595349,0.09643133756214628,AUD_USD,20,1.0,range_expansion,short,376
4,-0.5,0.5,-1.48,0.48,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,AUD_USD,20,1.5,close_breakout,long,7
7,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,AUD_USD,20,1.5,close_breakout,short,10
65,-0.1664489903626143,0.12133311349762502,-0.4042618928179593,0.07136391209273074,29,-0.1724137931034483,0.1861521539674008,-0.5372720148795539,0.19244442867265732,AUD_USD,20,1.5,range_expansion,long,94
56,0.023655365626936414,0.13372060196938784,-0.23843701423306377,0.2857477454869366,24,-0.3333333333333333,0.19658927487319622,-0.718648312084798,0.05198164541813127,AUD_USD,20,1.5,range_expansion,short,80
