tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1731,-0.023523215857400928,0.02389579525059686,-0.07035897454857076,0.023312542833768914,743,0.026099365297236467,0.03657753971933667,-0.045592612552663406,0.09779134314713635,AUD_USD,14,0.5,close_breakout,long,2474
1708,-0.005697865927916065,0.024082929278743902,-0.05290040731425411,0.04150467545842198,732,0.027882533023545666,0.03690028207521436,-0.04444201984387448,0.10020708589096582,AUD_USD,14,0.5,close_breakout,short,2440
2787,-0.007483843710069643,0.01883902481866016,-0.04440833235464356,0.02944064493450427,1195,0.05289570064772624,0.028831066455990505,-0.0036131896060151505,0.10940459090146762,AUD_USD,14,0.5,range_expansion,long,3982
2713,0.004091028860255985,0.01911090080261016,-0.03336633671285992,0.041548394433371896,1164,-0.06941939006871994,0.02913942606575831,-0.12653266515760625,-0.012306114979833652,AUD_USD,14,0.5,range_expansion,short,3877
580,-0.08014933556879346,0.041126828044505764,-0.16075791853602475,0.00045924739843783424,249,-0.08966293158070796,0.06312977828947511,-0.21339729702807916,0.03407143386666325,AUD_USD,14,1.0,close_breakout,long,829
617,-0.024001480597048153,0.0400352501465293,-0.10247057088424558,0.05446760969014927,265,0.01798113068212815,0.06130782883899417,-0.10218221384230042,0.1381444752065567,AUD_USD,14,1.0,close_breakout,short,882
1754,-0.04281017841898686,0.023751272426093768,-0.08936267237413065,0.0037423155361569205,753,0.010609117946903987,0.03636796258323055,-0.060672088716227895,0.08189032461003587,AUD_USD,14,1.0,range_expansion,long,2507
1761,0.004514644100963342,0.02370034123486924,-0.041938024719380365,0.050967312921307045,755,-0.06373395644299176,0.03620857312482429,-0.13470275976764737,0.007234846881663842,AUD_USD,14,1.0,range_expansion,short,2516
189,-0.02979491413722765,0.07232766244759489,-0.17155713253451363,0.11196730426005833,82,-0.07317073170731707,0.11081326992011314,-0.2903647407507388,0.1440232773361047,AUD_USD,14,1.5,close_breakout,long,271
205,-0.014995207086438183,0.06951354798123692,-0.15124176112966253,0.12125134695678617,88,0.010952043671560966,0.10659469506152985,-0.19797355864903754,0.21987764599215948,AUD_USD,14,1.5,close_breakout,short,293
663,-0.06453642538432895,0.038489435844453274,-0.13997571963945737,0.010902868870799456,285,-0.04333834877505006,0.059191928162810936,-0.1593545279741595,0.07267783042405937,AUD_USD,14,1.5,range_expansion,long,948
692,0.03529415765983762,0.037744674246979235,-0.03868540386424167,0.10927371918391691,297,-0.0803040925745921,0.05765947214603005,-0.193316657980811,0.0327084728316268,AUD_USD,14,1.5,range_expansion,short,989
1720,-0.026695070172169353,0.023966791474392735,-0.07366998146197912,0.020279841117640408,738,0.014081068314155414,0.036709506628001404,-0.05786956467672734,0.08603170130503816,AUD_USD,20,0.5,close_breakout,long,2458
1699,-0.008670956447840286,0.024145506564416396,-0.055996149314096424,0.03865423641841585,729,0.021138565395384674,0.03698207904973513,-0.05134630954209617,0.09362344033286552,AUD_USD,20,0.5,close_breakout,short,2428
2787,-0.007483843710069643,0.01883902481866016,-0.04440833235464356,0.02944064493450427,1195,0.05289570064772624,0.028831066455990505,-0.0036131896060151505,0.10940459090146762,AUD_USD,20,0.5,range_expansion,long,3982
2713,0.004091028860255985,0.01911090080261016,-0.03336633671285992,0.041548394433371896,1164,-0.06941939006871994,0.02913942606575831,-0.12653266515760625,-0.012306114979833652,AUD_USD,20,0.5,range_expansion,short,3877
576,-0.06334481706579896,0.04131832467068937,-0.14432873342035013,0.017639099288752194,248,-0.0859922175951463,0.0632776094439008,-0.21001633210519188,0.03803189691489926,AUD_USD,20,1.0,close_breakout,long,824
610,-0.020595533669256486,0.04023352738462901,-0.09945324734312934,0.058262180004616373,262,0.006736639812076182,0.06166517091420586,-0.1141270951797673,0.12760037480391967,AUD_USD,20,1.0,close_breakout,short,872
1754,-0.04281017841898686,0.023751272426093768,-0.08936267237413065,0.0037423155361569205,753,0.010609117946903987,0.03636796258323055,-0.060672088716227895,0.08189032461003587,AUD_USD,20,1.0,range_expansion,long,2507
1761,0.004514644100963342,0.02370034123486924,-0.041938024719380365,0.050967312921307045,755,-0.06373395644299176,0.03620857312482429,-0.13470275976764737,0.007234846881663842,AUD_USD,20,1.0,range_expansion,short,2516
189,-0.050958935301248814,0.0722647903504607,-0.1925979243881518,0.09068005378565416,82,-0.07317073170731707,0.11081326992011314,-0.2903647407507388,0.1440232773361047,AUD_USD,20,1.5,close_breakout,long,271
