tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
448,0.015309307276982265,0.04710256785599777,-0.07701172572077336,0.10763034027473789,192,-0.020833333333333332,0.07234175625113441,-0.16262317558555678,0.12095650891889011,AUD_USD,14,1.0,close_breakout,short,640
1115,-0.02558402809873663,0.029816157142678462,-0.08402369609838642,0.032855639900913156,478,-0.03174622515656972,0.04550394891259899,-0.12093396502526374,0.0574415147121243,AUD_USD,14,1.0,range_expansion,long,1593
1110,0.02394739036857118,0.02995664046794216,-0.034767624948595456,0.08266240568573782,477,-0.03520020590592411,0.045711846054453886,-0.12479542417265373,0.0543950123608055,AUD_USD,14,1.0,range_expansion,short,1587
137,-0.02309759968994022,0.08513318769117241,-0.18995864756463812,0.1437634481847577,60,-0.23333333333333334,0.12659528169880283,-0.4814600854629869,0.014793418796320207,AUD_USD,14,1.5,close_breakout,long,197
151,0.02727313206313934,0.08117512936194286,-0.1318301214862687,0.18637638561254735,65,0.015384615384615385,0.12498520622516864,-0.22958638881671514,0.2603556195859459,AUD_USD,14,1.5,close_breakout,short,216
396,-0.05017016264772904,0.05001804777116935,-0.14820553627922095,0.04786521098376288,171,-0.06432748538011696,0.07653764835320745,-0.21434127615240356,0.08568630539216965,AUD_USD,14,1.5,range_expansion,long,567
409,0.08569469927720202,0.04916505974927098,-0.010668817831369096,0.18205821638577313,176,-0.06818181818181818,0.0754169832964668,-0.2159991054428931,0.07963546907925675,AUD_USD,14,1.5,range_expansion,short,585
1253,-0.018440071627060645,0.02813807714143965,-0.07359070282428236,0.03671055957016106,537,-0.03332111154793413,0.04300345147543643,-0.11760787643978954,0.05096565334392128,AUD_USD,20,0.5,close_breakout,long,1790
1210,-0.004431844848131928,0.028676184347688937,-0.06063716616960225,0.05177347647333839,519,0.03773790422680828,0.04387106757369694,-0.04824938821763772,0.12372519667125428,AUD_USD,20,0.5,close_breakout,short,1729
1915,-0.012789000866274703,0.02273463168160375,-0.05734887896221805,0.03177087722966865,821,0.03718765337041731,0.034789375828337674,-0.030999523253124536,0.10537482999395915,AUD_USD,20,0.5,range_expansion,long,2736
1833,-0.008130114320679059,0.023302621806326584,-0.053803253061079165,0.037543024419721044,786,0.00020113358310243451,0.03557117443268089,-0.0695183683049521,0.06992063547115697,AUD_USD,20,0.5,range_expansion,short,2619
409,-0.04745903878408721,0.04912674958643998,-0.14374746797350957,0.04882939040533514,176,-0.13380267395599338,0.07476168692718528,-0.28033558033327655,0.012730232421289761,AUD_USD,20,1.0,close_breakout,long,585
441,0.02038280592388727,0.04741499036887136,-0.0725505751991006,0.11331618704687513,189,-0.037037037037037035,0.0728824562948581,-0.1798866513749589,0.10581257730088484,AUD_USD,20,1.0,close_breakout,short,630
1115,-0.02558402809873663,0.029816157142678462,-0.08402369609838642,0.032855639900913156,478,-0.03174622515656972,0.04550394891259899,-0.12093396502526374,0.0574415147121243,AUD_USD,20,1.0,range_expansion,long,1593
1110,0.02394739036857118,0.02995664046794216,-0.034767624948595456,0.08266240568573782,477,-0.03520020590592411,0.045711846054453886,-0.12479542417265373,0.0543950123608055,AUD_USD,20,1.0,range_expansion,short,1587
137,-0.05229467998191102,0.0850380744083824,-0.21896930582234053,0.11437994585851848,59,-0.22033898305084745,0.1280793620181158,-0.4713745326063544,0.03069656650465949,AUD_USD,20,1.5,close_breakout,long,196
151,0.014028098950556572,0.08119758946387472,-0.1451191763986379,0.17317537429975102,66,0.0,0.12403473458920843,-0.2431080797948485,0.2431080797948485,AUD_USD,20,1.5,close_breakout,short,217
396,-0.05017016264772904,0.05001804777116935,-0.14820553627922095,0.04786521098376288,171,-0.06432748538011696,0.07653764835320745,-0.21434127615240356,0.08568630539216965,AUD_USD,20,1.5,range_expansion,long,567
409,0.08569469927720202,0.04916505974927098,-0.010668817831369096,0.18205821638577313,176,-0.06818181818181818,0.0754169832964668,-0.2159991054428931,0.07963546907925675,AUD_USD,20,1.5,range_expansion,short,585
1144,-0.01440921965211645,0.028466446337935457,-0.07020345447446995,0.041385015170237044,491,0.07288389785758435,0.04138601764694488,-0.008232696730427605,0.15400049244559633,USD_CAD,14,0.5,close_breakout,long,1635
1164,-0.0016574050885566221,0.028304692133627053,-0.05713460167046564,0.0538197914933524,500,-0.07515777911767736,0.04021238720264628,-0.15397405803486408,0.0036584997995093432,USD_CAD,14,0.5,close_breakout,short,1664
1795,-0.02163461389197807,0.022619251046331876,-0.06596834594278855,0.022699118158832403,770,0.08747408762264162,0.03272522861455066,0.023332639538122327,0.1516155357071609,USD_CAD,14,0.5,range_expansion,long,2565
1801,-0.028733220983266434,0.02272185864939823,-0.07326806393608697,0.015801621969554095,773,-0.06645545855818148,0.03265098256714278,-0.13045138438978132,-0.0024595327265816425,USD_CAD,14,0.5,range_expansion,short,2574
439,0.04263089277717384,0.04585598695688078,-0.047246841658312486,0.13250862721266016,189,0.05095633682703031,0.06505033663004202,-0.07654232296785203,0.17845499662191266,USD_CAD,14,1.0,close_breakout,long,628
386,0.0031247955940457,0.04911662236365856,-0.09314378423872507,0.09939337542681648,166,-0.1492607739834348,0.06884778821604932,-0.28420243888689145,-0.014319109079978132,USD_CAD,14,1.0,close_breakout,short,552
1052,-0.03098485865827707,0.02957689114280061,-0.08895556529816626,0.026985847981612125,452,0.07186935995853064,0.043236889544728666,-0.01287494354913754,0.15661366346619882,USD_CAD,14,1.0,range_expansion,long,1504
1037,-0.05911768617356448,0.030005394028911565,-0.11792825847023114,-0.00030711387689780906,445,-0.05991760399626697,0.043710815033570494,-0.14559080146206516,0.0257555934695312,USD_CAD,14,1.0,range_expansion,short,1482
154,0.10014673108092954,0.07694520913972115,-0.05066587883292391,0.250959340994783,66,-0.15356676369927036,0.10832208979227655,-0.3658780596921324,0.05874453229359167,USD_CAD,14,1.5,close_breakout,long,220
163,0.06238708528707164,0.07584893121640811,-0.08627681989708826,0.21105099047123155,70,-0.0678319299356978,0.10594924051948744,-0.27549244135389317,0.1398285814824976,USD_CAD,14,1.5,close_breakout,short,233
461,0.030555431199568838,0.04445720738845122,-0.056580695281795546,0.11769155768093323,198,0.01594882878832636,0.06514544776933029,-0.111736248839561,0.1436339064162137,USD_CAD,14,1.5,range_expansion,long,659
424,-0.032731126169728696,0.046741586963175916,-0.12434463661755349,0.05888238427809609,182,-0.16360298637002926,0.06588919944092753,-0.2927458172742472,-0.034460155465811326,USD_CAD,14,1.5,range_expansion,short,606
