entry_ts,exit_ts,strategy,pair,direction,entry_mode,cap,r
2016-04-19 17:00:00,2016-04-22 09:00:00,atr,NZD_CHF,short,limit,5d,1.0
2016-04-19 21:00:00,2016-04-27 09:00:00,cci,USD_CAD,long,mid,14d,-1.0
2016-04-20 05:00:00,2016-04-21 21:00:00,stoch,CHF_JPY,long,mid,14d,-1.0
2016-04-20 09:00:00,2016-04-22 05:00:00,stoch,USD_JPY,long,mid,14d,1.0
2016-04-20 17:00:00,2016-05-03 05:00:00,stoch,CAD_CHF,short,mid,14d,1.0
2016-04-21 21:00:00,2016-04-22 13:00:00,stoch,EUR_GBP,long,mid,14d,-1.0
2016-04-22 01:00:00,2016-04-22 13:00:00,cci,CHF_JPY,long,mid,14d,1.0
2016-04-22 09:00:00,2016-04-29 17:00:00,bb,EUR_CAD,long,mid,14d,1.0
2016-04-24 21:00:00,2016-05-01 21:00:00,atr,EUR_NOK,long,limit,5d,0.1058428277386282
2016-04-25 01:00:00,2016-05-03 05:00:00,rsi,EUR_GBP,long,mid,14d,1.0
2016-04-25 09:00:00,2016-04-28 01:00:00,atr,USD_JPY,long,limit,5d,-1.0
2016-04-26 13:00:00,2016-05-04 13:00:00,ema,GBP_CAD,long,mid,14d,1.0
2016-04-26 21:00:00,2016-04-27 01:00:00,macd,AUD_JPY,long,limit,5d,-1.0
2016-04-27 13:00:00,2016-04-29 09:00:00,cci,USD_CAD,long,mid,14d,-1.0
2016-04-28 01:00:00,2016-04-28 05:00:00,macd,NZD_JPY,long,limit,5d,-1.0
2016-04-28 01:00:00,2016-04-29 01:00:00,ema,CHF_JPY,long,mid,14d,-1.0
2016-04-28 05:00:00,2016-04-29 05:00:00,bb,USD_JPY,long,mid,14d,-1.0
2016-04-28 09:00:00,2016-04-29 13:00:00,cci,EUR_USD,short,mid,14d,-1.0
2016-04-28 13:00:00,2016-05-03 01:00:00,atr,NZD_CHF,short,limit,5d,1.0
2016-04-29 05:00:00,2016-05-03 21:00:00,cci,CHF_JPY,long,mid,14d,1.0
2016-04-29 09:00:00,2016-05-01 21:00:00,cci,USD_JPY,long,mid,14d,-1.0
2016-04-29 17:00:00,2016-05-03 05:00:00,cci,EUR_USD,short,mid,14d,-1.0
2016-05-02 01:00:00,2016-05-03 05:00:00,cci,USD_JPY,long,mid,14d,-1.0
2016-05-02 13:00:00,2016-05-03 13:00:00,macd,NZD_USD,short,limit,5d,1.0
2016-05-03 01:00:00,2016-05-03 05:00:00,macd,AUD_JPY,long,limit,5d,-1.0
2016-05-03 09:00:00,2016-05-05 05:00:00,cci,EUR_USD,short,mid,14d,1.0
2016-05-03 09:00:00,2016-05-03 21:00:00,rsi,USD_JPY,long,mid,14d,1.0
2016-05-03 09:00:00,2016-05-04 09:00:00,sma,CAD_JPY,long,mid,14d,-1.0
2016-05-03 13:00:00,2016-05-16 21:00:00,ema,EUR_GBP,short,mid,14d,1.0
2016-05-04 13:00:00,2016-05-05 09:00:00,stoch,CHF_JPY,long,mid,14d,-1.0
2016-05-05 09:00:00,2016-05-09 09:00:00,atr,USD_JPY,long,limit,5d,1.0
2016-05-05 13:00:00,2016-05-10 01:00:00,stoch,CHF_JPY,long,mid,14d,1.0
2016-05-05 13:00:00,2016-05-09 13:00:00,stoch,CAD_CHF,short,mid,14d,1.0
2016-05-10 13:00:00,2016-05-10 21:00:00,atr,NZD_CHF,short,limit,5d,-1.0
2016-05-10 13:00:00,2016-05-12 05:00:00,atr,EUR_NOK,long,limit,5d,-1.0
2016-05-10 13:00:00,2016-05-17 01:00:00,bb,CAD_CHF,short,mid,14d,-1.0
2016-05-11 01:00:00,2016-05-23 05:00:00,stoch,CHF_JPY,long,mid,14d,-1.0
2016-05-11 05:00:00,2016-05-12 09:00:00,sma,CAD_JPY,long,mid,14d,1.0
2016-05-11 13:00:00,2016-05-18 13:00:00,atr,USD_JPY,long,limit,5d,1.0
2016-05-13 05:00:00,2016-05-17 01:00:00,atr,NZD_CHF,short,limit,5d,-1.0
2016-05-13 17:00:00,2016-05-17 05:00:00,sma,CAD_JPY,long,mid,14d,1.0
2016-05-16 21:00:00,2016-05-20 09:00:00,macd,NZD_JPY,long,limit,5d,1.0
2016-05-17 01:00:00,2016-05-19 09:00:00,bb,EUR_CAD,long,mid,14d,1.0
2016-05-17 05:00:00,2016-05-18 17:00:00,ichimoku,USD_SGD,short,limit,5d,-1.0
2016-05-17 05:00:00,2016-05-18 09:00:00,rsi,EUR_GBP,long,mid,14d,-1.0
2016-05-17 05:00:00,2016-05-26 09:00:00,cci,CAD_CHF,short,mid,14d,-1.0
2016-05-17 09:00:00,2016-05-23 05:00:00,atr,NZD_CHF,short,limit,5d,-1.0
2016-05-18 13:00:00,2016-05-24 09:00:00,stoch,EUR_GBP,long,mid,14d,-1.0
2016-05-19 09:00:00,2016-05-24 05:00:00,sma,CAD_JPY,long,mid,14d,-1.0
2016-05-19 13:00:00,2016-05-26 13:00:00,atr,USD_JPY,long,limit,5d,0.018219416432101
2016-05-20 17:00:00,2016-05-27 17:00:00,atr,EUR_NOK,long,limit,5d,-0.7526255564528175
2016-05-23 09:00:00,2016-05-30 01:00:00,ema,CHF_JPY,long,mid,14d,1.0
2016-05-24 13:00:00,2016-05-31 13:00:00,atr,NZD_CHF,short,limit,5d,-0.4503224069059531
2016-05-24 13:00:00,2016-06-01 05:00:00,stoch,EUR_GBP,long,mid,14d,1.0
2016-05-25 05:00:00,2016-05-31 01:00:00,macd,NZD_JPY,long,limit,5d,1.0
2016-05-25 13:00:00,2016-05-26 09:00:00,sma,EUR_CAD,long,mid,14d,-1.0
2016-05-26 13:00:00,2016-06-01 13:00:00,cci,CAD_CHF,short,mid,14d,1.0
2016-05-26 21:00:00,2016-06-02 05:00:00,ema,EUR_CAD,long,mid,14d,1.0
2016-05-27 09:00:00,2016-05-29 21:00:00,sma,CAD_JPY,long,mid,14d,1.0
2016-05-27 13:00:00,2016-05-30 01:00:00,stoch,USD_JPY,long,mid,14d,1.0
2016-05-31 13:00:00,2016-06-01 05:00:00,atr,USD_JPY,long,limit,5d,-1.0
2016-05-31 17:00:00,2016-06-01 05:00:00,stoch,CHF_JPY,long,mid,14d,-1.0
2016-05-31 21:00:00,2016-06-07 17:00:00,atr,EUR_NOK,long,limit,5d,-1.0
2016-06-01 09:00:00,2016-06-03 13:00:00,sma,CAD_JPY,long,mid,14d,-1.0
2016-06-01 09:00:00,2016-06-03 09:00:00,ema,CHF_JPY,long,mid,14d,-1.0
2016-06-01 09:00:00,2016-06-03 09:00:00,bb,USD_JPY,long,mid,14d,-1.0
2016-06-02 01:00:00,2016-06-08 21:00:00,atr,NZD_CHF,short,limit,5d,-1.0
2016-06-02 09:00:00,2016-06-03 13:00:00,cci,EUR_USD,short,mid,14d,-1.0
2016-06-03 05:00:00,2016-06-03 13:00:00,sma,EUR_GBP,long,mid,14d,1.0
2016-06-03 09:00:00,2016-06-14 17:00:00,stoch,CAD_CHF,short,mid,14d,1.0
2016-06-03 13:00:00,2016-06-06 13:00:00,ema,CHF_JPY,long,mid,14d,1.0
2016-06-03 13:00:00,2016-06-07 01:00:00,stoch,USD_JPY,long,mid,14d,1.0
2016-06-03 17:00:00,2016-06-06 17:00:00,cci,USD_CAD,long,mid,14d,-1.0
2016-06-03 17:00:00,2016-06-05 21:00:00,ema,EUR_GBP,short,mid,14d,-1.0
2016-06-03 17:00:00,2016-06-10 17:00:00,cci,EUR_USD,short,mid,14d,1.0
2016-06-06 09:00:00,2016-06-08 09:00:00,ema,GBP_CAD,long,mid,14d,-1.0
2016-06-06 17:00:00,2016-06-08 09:00:00,macd,NZD_USD,short,limit,5d,-1.0
2016-06-06 21:00:00,2016-06-08 09:00:00,cci,USD_CAD,long,mid,14d,-1.0
2016-06-06 21:00:00,2016-06-07 09:00:00,macd,NZD_JPY,long,limit,5d,1.0
2016-06-07 05:00:00,2016-06-10 05:00:00,sma,EUR_CAD,long,mid,14d,-1.0
2016-06-08 01:00:00,2016-06-13 01:00:00,stoch,CHF_JPY,long,mid,14d,-1.0
2016-06-08 01:00:00,2016-06-13 01:00:00,stoch,USD_JPY,long,mid,14d,-1.0
2016-06-08 09:00:00,2016-06-10 09:00:00,atr,EUR_NOK,long,limit,5d,1.0
2016-06-08 13:00:00,2016-06-13 17:00:00,cci,USD_CAD,long,mid,14d,1.0
2016-06-08 13:00:00,2016-06-10 17:00:00,ema,EUR_GBP,short,mid,14d,-1.0
2016-06-09 13:00:00,2016-06-13 21:00:00,atr,NZD_CHF,short,limit,5d,1.0
