entry_ts,exit_ts,strategy,pair,direction,entry_mode,r
2016-01-26 14:00:00,2016-01-27 18:00:00,ema,EUR_CAD,long,mid,1.0
2016-01-26 18:00:00,2016-01-29 02:00:00,cci,CHF_JPY,long,mid,1.0
2016-01-26 18:00:00,2016-01-29 02:00:00,cci,CAD_CHF,short,mid,-1.0
2016-01-26 18:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-26 18:00:00,2016-01-27 18:00:00,stoch,EUR_GBP,long,mid,1.0
2016-01-27 02:00:00,2016-01-29 14:00:00,sma,EUR_CAD,long,mid,-1.0
2016-01-27 02:00:00,2016-01-29 02:00:00,cci,CHF_JPY,long,mid,1.0
2016-01-27 02:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-27 10:00:00,2016-01-29 06:00:00,macd,CAD_CHF,short,limit,-1.0
2016-01-27 14:00:00,2016-01-27 18:00:00,sma,EUR_CAD,long,mid,1.0
2016-01-27 14:00:00,2016-02-03 14:00:00,cci,EUR_USD,short,mid,-1.0
2016-01-27 18:00:00,2016-01-29 02:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-01-28 02:00:00,2016-02-03 14:00:00,cci,EUR_USD,short,mid,-1.0
2016-01-28 02:00:00,2016-02-04 06:00:00,macd,EUR_CHF,short,limit,-1.0
2016-01-28 06:00:00,2016-01-29 14:00:00,sma,EUR_CAD,long,mid,-1.0
2016-01-28 14:00:00,2016-02-02 06:00:00,atr,EUR_NOK,long,limit,1.0
2016-01-28 18:00:00,2016-02-03 18:00:00,ichimoku,USD_SGD,short,limit,1.0
2016-01-28 18:00:00,2016-01-29 14:00:00,sma,EUR_CAD,long,mid,-1.0
2016-01-28 18:00:00,2016-01-29 06:00:00,cci,CAD_CHF,short,mid,-1.0
2016-01-28 22:00:00,2016-01-29 14:00:00,cci,EUR_USD,short,mid,1.0
2016-01-28 22:00:00,2016-01-29 02:00:00,atr,USD_JPY,long,limit,1.0
2016-01-29 02:00:00,2016-02-09 10:00:00,macd,EUR_CHF,short,limit,1.0
2016-01-29 02:00:00,2016-02-03 10:00:00,stoch,USD_JPY,long,mid,-1.0
2016-01-29 02:00:00,2016-01-29 14:00:00,bb,CAD_CHF,short,mid,-1.0
2016-01-29 06:00:00,2016-02-03 10:00:00,stoch,EUR_GBP,long,mid,-1.0
2016-01-29 06:00:00,2016-01-31 22:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-01-29 10:00:00,2016-02-02 22:00:00,cci,CAD_CHF,short,mid,1.0
2016-01-29 14:00:00,2016-02-02 10:00:00,ema,EUR_CAD,long,mid,1.0
2016-01-29 14:00:00,2016-02-05 10:00:00,stoch,CAD_CHF,short,mid,1.0
2016-01-29 18:00:00,2016-02-01 14:00:00,bb,CAD_CHF,short,mid,1.0
2016-01-31 22:00:00,2016-02-02 14:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-01 18:00:00,2016-02-02 10:00:00,ema,EUR_CAD,long,mid,1.0
2016-02-01 22:00:00,2016-02-04 10:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-02 02:00:00,2016-02-02 06:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-02 02:00:00,2016-02-03 14:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-02 06:00:00,2016-02-02 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-02 14:00:00,2016-02-03 14:00:00,cci,EUR_USD,short,mid,-1.0
2016-02-02 14:00:00,2016-02-03 06:00:00,macd,NZD_USD,short,limit,-1.0
2016-02-02 14:00:00,2016-02-05 10:00:00,sma,EUR_CAD,long,mid,1.0
2016-02-02 14:00:00,2016-02-03 14:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-02 18:00:00,2016-02-04 10:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-02 18:00:00,2016-02-03 14:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-03 02:00:00,2016-02-09 02:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-03 06:00:00,2016-02-05 14:00:00,sma,EUR_CAD,long,mid,1.0
2016-02-03 10:00:00,2016-02-03 14:00:00,bb,CAD_CHF,short,mid,1.0
2016-02-03 10:00:00,2016-02-04 06:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-03 10:00:00,2016-02-03 14:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-03 14:00:00,2016-02-04 10:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-02-03 18:00:00,2016-02-04 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-03 18:00:00,2016-02-04 14:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-03 22:00:00,2016-02-04 14:00:00,bb,CAD_CHF,short,mid,1.0
2016-02-03 22:00:00,2016-02-04 10:00:00,cci,EUR_USD,short,mid,-1.0
2016-02-03 22:00:00,2016-02-05 10:00:00,atr,EUR_NOK,long,limit,1.0
2016-02-04 02:00:00,2016-02-04 14:00:00,cci,USD_JPY,long,mid,-1.0
2016-02-04 02:00:00,2016-02-05 18:00:00,cci,USD_CAD,long,mid,1.0
2016-02-04 02:00:00,2016-02-04 18:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-04 06:00:00,2016-02-05 02:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-04 06:00:00,2016-02-04 18:00:00,cci,CAD_CHF,short,mid,1.0
2016-02-04 14:00:00,2016-02-08 14:00:00,bb,USD_JPY,long,mid,-1.0
2016-02-04 14:00:00,2016-02-09 14:00:00,cci,EUR_USD,short,mid,-1.0
2016-02-04 14:00:00,2016-02-05 14:00:00,cci,USD_CAD,long,mid,1.0
2016-02-04 18:00:00,2016-02-08 14:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-04 22:00:00,2016-02-08 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-05 02:00:00,2016-02-08 14:00:00,cci,USD_JPY,long,mid,-1.0
2016-02-05 06:00:00,2016-02-08 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-07 22:00:00,2016-02-08 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-08 02:00:00,2016-02-08 10:00:00,cci,USD_JPY,long,mid,-1.0
2016-02-08 10:00:00,2016-02-08 14:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-08 14:00:00,2016-02-09 02:00:00,bb,USD_JPY,long,mid,-1.0
2016-02-08 18:00:00,2016-02-09 02:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-08 18:00:00,2016-02-09 02:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-08 18:00:00,2016-02-09 02:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-08 18:00:00,2016-02-09 02:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-08 22:00:00,2016-02-10 14:00:00,atr,USD_JPY,long,limit,-1.0
2016-02-08 22:00:00,2016-02-10 14:00:00,bb,USD_JPY,long,mid,-1.0
