tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
16,-0.5,0.22360679774997896,-0.9382693235899587,-0.06173067641004126,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,EUR_USD,14,2.0,short,23,380,152
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,14,2.5,long,13,284,95
6,-0.6666666666666666,0.33333333333333337,-1.32,-0.013333333333333197,3,0.1926576958651047,0.6086463021405655,-1.0002890563304037,1.3856044480606131,EUR_USD,14,2.5,short,9,283,90
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,0.5,0.5,-0.48,1.48,EUR_USD,14,3.0,long,11,225,66
4,0.5,0.5,-0.48,1.48,3,0.1926576958651047,0.6086463021405655,-1.0002890563304037,1.3856044480606131,EUR_USD,14,3.0,short,7,224,66
21,0.23809523809523808,0.21717627144745486,-0.1875702539417734,0.6637607301322496,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,EUR_USD,21,1.5,long,30,516,208
22,-0.14282959088345087,0.21101398633472157,-0.5564170040995051,0.27075782233260337,10,0.25985328670692437,0.2956011926880881,-0.3195250509617283,0.8392316243755771,EUR_USD,21,1.5,short,32,516,218
13,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,6,0.19349510112786597,0.4000528886401606,-0.5906085606068487,0.9775987628625806,EUR_USD,21,2.0,long,19,378,134
17,-0.4117647058823529,0.22782254977690689,-0.8582969034450905,0.034767491680384566,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,EUR_USD,21,2.0,short,25,378,152
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,21,2.5,long,13,284,95
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,EUR_USD,21,2.5,short,10,283,96
11,-0.02288570440206343,0.3023786473530655,-0.6155478532140718,0.569776444409945,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,21,3.0,long,16,230,68
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,0.8593243625317714,0.14067563746822864,0.5836001130940432,1.1350486119694994,EUR_USD,21,3.0,short,8,229,71
24,0.0,0.2085144140570748,-0.4086882515518666,0.4086882515518666,11,-0.10032725211296785,0.31178098714334573,-0.7114179869139255,0.5107634826879898,GBP_USD,7,1.5,long,35,527,225
18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,GBP_USD,7,1.5,short,26,527,212
13,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,GBP_USD,7,2.0,long,19,375,144
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,GBP_USD,7,2.0,short,13,374,138
6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,GBP_USD,7,2.5,long,9,279,101
5,0.05080854733391238,0.4500905558686856,-0.8313689421687114,0.9329860368365361,3,0.0584209028009891,0.5802984880364725,-1.0789641337504972,1.1958059393524751,GBP_USD,7,2.5,short,8,278,99
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,7,3.0,long,10,224,86
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,1.0,0.0,1.0,1.0,GBP_USD,7,3.0,short,8,223,73
24,-0.08333333333333333,0.20778914433245896,-0.49060005622495284,0.3239333895582862,11,-0.10032725211296785,0.31178098714334573,-0.7114179869139255,0.5107634826879898,GBP_USD,10,1.5,long,35,528,225
16,-0.375,0.23935677693908453,-0.8441392828006057,0.09413928280060568,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,GBP_USD,10,1.5,short,24,528,214
14,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,0.39517345392794984,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,GBP_USD,10,2.0,long,21,377,148
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,GBP_USD,10,2.0,short,13,376,143
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,4,1.0,0.0,1.0,1.0,GBP_USD,10,2.5,long,13,277,104
7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,3,0.7250875694676558,0.27491243053234427,0.18625920562426113,1.2639159333110506,GBP_USD,10,2.5,short,10,276,99
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,10,3.0,long,8,218,79
6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,3,1.0,0.0,1.0,1.0,GBP_USD,10,3.0,short,9,217,73
23,-0.043478260869565216,0.21299910806810243,-0.46095651268304594,0.37399999094391556,11,-0.10032725211296785,0.31178098714334573,-0.7114179869139255,0.5107634826879898,GBP_USD,14,1.5,long,34,525,226
18,-0.2222222222222222,0.23647127470752347,-0.6857059206489682,0.24126147620452376,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,GBP_USD,14,1.5,short,27,525,218
13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,GBP_USD,14,2.0,long,19,371,145
9,-0.19399525148115979,0.32757166929288195,-0.8360357232952085,0.44804522033288885,5,0.03505254168059346,0.4485851989068183,-0.8441744481767705,0.9142795315379574,GBP_USD,14,2.0,short,14,371,143
11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,GBP_USD,14,2.5,long,16,278,108
7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,3,0.0584209028009891,0.5802984880364725,-1.0789641337504972,1.1958059393524751,GBP_USD,14,2.5,short,10,277,99
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,0.5,0.5,-0.48,1.48,GBP_USD,14,3.0,long,11,213,81
5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,3,1.0,0.0,1.0,1.0,GBP_USD,14,3.0,short,8,212,74
22,0.008067829698418945,0.20966042611998054,-0.40286660549674286,0.4190022648935808,10,-0.010359977324264635,0.33002457947568153,-0.6572081530966004,0.6364881984480711,GBP_USD,21,1.5,long,32,528,229
