tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
63,0.005462810085815176,0.12610653498946658,-0.24170599849353933,0.2526316186651697,28,0.0,0.19245008972987526,-0.3772021758705555,0.3772021758705555,AUD_USD,10,1,long,91,966,579
49,0.036586810810162476,0.14282344822131526,-0.24334714770361543,0.31652076932394035,21,-0.42857142857142855,0.20203050891044214,-0.8245512260358951,-0.03259163110696195,AUD_USD,10,1,short,70,925,594
34,-0.025362206087823188,0.1714910155122113,-0.36148459649175735,0.31076018431611097,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,AUD_USD,10,2,long,49,306,190
28,0.20078805234619215,0.18636782295944085,-0.16449288065431192,0.5660689853466963,13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,AUD_USD,10,2,short,41,303,205
12,0.3333333333333333,0.2842676218074806,-0.22383120540932872,0.8904978720759953,6,-0.11030828856430745,0.4099324372384595,-0.913775865551688,0.6931592884230732,AUD_USD,10,3,long,18,104,76
13,0.4618522475709048,0.2432027111438095,-0.014825066270961806,0.9385295614127714,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,AUD_USD,10,3,short,19,105,82
42,0.09523809523809523,0.15546387747761883,-0.2094711046180377,0.39994729509422816,18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,AUD_USD,20,1,long,60,699,439
35,0.02857142857142857,0.17142857142857143,-0.30742857142857144,0.3645714285714286,16,-0.375,0.23935677693908453,-0.8441392828006057,0.09413928280060568,AUD_USD,20,1,short,51,650,440
28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704,0.3048101234920275,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,AUD_USD,20,2,long,40,226,147
24,0.0675860610705575,0.20535113277470424,-0.3349021591678628,0.47007428130897777,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,AUD_USD,20,2,short,35,218,154
11,0.45454545454545453,0.2816715160878121,-0.09753071698665722,1.0066216260775662,6,-0.11030828856430745,0.4099324372384595,-0.913775865551688,0.6931592884230732,AUD_USD,20,3,long,17,77,61
10,0.4,0.3055050463303893,-0.19878989080756293,0.998789890807563,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,AUD_USD,20,3,short,15,75,64
30,0.06666666666666667,0.18528222234124034,-0.2964864891221644,0.4298198224554977,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,AUD_USD,55,1,long,44,417,290
23,-0.043478260869565216,0.2129991080681025,-0.46095651268304605,0.37399999094391567,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,AUD_USD,55,1,short,33,381,300
13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,AUD_USD,55,2,long,19,133,94
18,0.09011474809407666,0.2373656718355294,-0.37512196870356096,0.5553514648917143,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,AUD_USD,55,2,short,27,130,105
6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,AUD_USD,55,3,long,9,48,40
8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,AUD_USD,55,3,short,12,46,41
21,0.3333333333333333,0.21081851067789195,-0.07987094759533492,0.7465376142620015,10,0.2,0.3265986323710904,-0.4401333194473371,0.840133319447337,AUD_USD,100,1,long,31,284,223
18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,AUD_USD,100,1,short,26,284,233
9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,4,-0.5,0.5,-1.48,0.48,AUD_USD,100,2,long,13,99,78
17,0.09782084143825744,0.2365963128675747,-0.365907931782189,0.5615496146587039,8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,AUD_USD,100,2,short,25,94,80
4,0.5,0.5,-0.48,1.48,2,0.0,1.0,-1.96,1.96,AUD_USD,100,3,long,6,36,32
4,0.5,0.5,-0.48,1.48,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,AUD_USD,100,3,short,7,32,28
67,-0.026210837749404345,0.11784620590999711,-0.25718940133299867,0.20476772583419,29,-0.04281179008470061,0.16853704894393215,-0.3731444060148076,0.2875208258454064,USD_CAD,10,1,long,96,925,636
83,-0.16118570140625088,0.10123599897583611,-0.35960825939888963,0.037236856586387895,36,-0.23134063890758283,0.15487623237461495,-0.5348980543618281,0.07221677654666248,USD_CAD,10,1,short,119,914,638
35,0.08315075725483807,0.1659267915118686,-0.2420657541084244,0.4083672686181005,15,-0.3375875739121717,0.21619963974229442,-0.7613388678070687,0.08616371998272537,USD_CAD,10,2,long,50,324,230
39,-0.09731143265155791,0.15124080968470788,-0.39374341963358533,0.19912055433046955,17,-0.48294838927408296,0.19356578151333131,-0.8623373210402123,-0.10355945750795359,USD_CAD,10,2,short,56,318,233
15,-0.044409850271042856,0.26199026979596607,-0.5579107790711363,0.46909107852905063,7,-0.08480130842179943,0.34682590039707417,-0.7645800732000648,0.5949774563564659,USD_CAD,10,3,long,22,110,90
10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,USD_CAD,10,3,short,15,107,80
46,0.0034351158553577225,0.14287197980931257,-0.2765939645708949,0.28346419628161035,21,0.08382386730518851,0.2045693230810251,-0.3171320059336207,0.48477974054399775,USD_CAD,20,1,long,67,651,472
59,-0.14832863781631506,0.12147746255592905,-0.386424464425936,0.08976718879330586,26,-0.16178787510246534,0.18186576787607356,-0.5182447801395695,0.1946690299346388,USD_CAD,20,1,short,85,660,475
26,0.037450328122433874,0.1959757659168175,-0.34666217307452846,0.4215628293193962,12,-0.3870357670895849,0.23918923565802397,-0.8558466689793118,0.08177513480014204,USD_CAD,20,2,long,38,222,170
27,-0.22660633057804144,0.1799377779828361,-0.5792843754244003,0.12607171426831734,12,-0.4456631736417183,0.25728310747771943,-0.9499380642980484,0.05861171701461171,USD_CAD,20,2,short,39,218,170
14,0.023846588995311224,0.2717039394828672,-0.5086931323911085,0.5563863103817309,7,-0.08480130842179946,0.34682590039707417,-0.7645800732000648,0.5949774563564659,USD_CAD,20,3,long,21,78,67
8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,4,-0.5,0.5,-1.48,0.48,USD_CAD,20,3,short,12,76,59
34,-0.04806206827356424,0.16500476535280845,-0.3714714083650688,0.27534727181794033,15,0.22992653178978914,0.24225991976391031,-0.24490291094747504,0.7047559745270533,USD_CAD,55,1,long,49,389,317
41,-0.181341870173858,0.14259654484027856,-0.46083109806080397,0.09814735771308797,18,-0.07715444919681043,0.22169156922031305,-0.5116699248686241,0.3573610264750032,USD_CAD,55,1,short,59,391,306
18,0.4444444444444444,0.2172649691319564,0.018605104945809914,0.8702837839430789,8,-0.5620450485704227,0.2905197241038093,-1.131463707813889,0.007373610673043429,USD_CAD,55,2,long,26,123,110
19,-0.07093299442356492,0.22273773087100512,-0.5074989469307349,0.3656329580836051,9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,USD_CAD,55,2,short,28,129,110
8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,4,-0.39840228973814906,0.3497077247881526,-1.0838294303229281,0.28702485084663,USD_CAD,55,3,long,12,43,39
7,0.7142857142857143,0.2857142857142857,0.15428571428571436,1.2742857142857142,4,-0.5,0.5,-1.48,0.48,USD_CAD,55,3,short,11,50,43
28,-0.020381367644187028,0.18405736662028496,-0.3811338062199455,0.3403710709315715,12,0.20407483140390315,0.26993415499876233,-0.324996112393671,0.7331457752014773,USD_CAD,100,1,long,40,303,255
34,-0.07161813756259348,0.15661663065169856,-0.3785867336399227,0.23535045851473568,15,-0.15315957933241858,0.2557582112979106,-0.6544456734763233,0.3481265148114862,USD_CAD,100,1,short,49,277,237
14,0.5714285714285714,0.22760785909019762,0.12531716761178407,1.0175399752453587,6,-0.4160600647605637,0.3748340518716979,-1.1507348064290914,0.3186146769079642,USD_CAD,100,2,long,20,88,80
11,-0.30433880854979395,0.27042209733025596,-0.8343661193170957,0.22568850221750775,5,-1.0,0.0,-1.0,-1.0,USD_CAD,100,2,short,16,85,73
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,-0.39840228973814906,0.3497077247881526,-1.0838294303229281,0.28702485084663,USD_CAD,100,3,long,11,34,31
5,1.0,0.0,1.0,1.0,3,-1.0,0.0,-1.0,-1.0,USD_CAD,100,3,short,8,34,29
62,-0.06575943302125067,0.12411262136127704,-0.3090201708893537,0.17750130484685234,27,-0.07878274623082303,0.19188887758716838,-0.4548849463016731,0.297319453840027,USD_CHF,10,1,long,89,918,618
60,-0.19982237678651382,0.12533006864633325,-0.445469311333327,0.04582455776029934,26,0.15384615384615385,0.19761896274869428,-0.23348701314128695,0.5411793208335947,USD_CHF,10,1,short,86,885,572
32,0.25072643740838885,0.16115597380740246,-0.06513927125411995,0.5665921460708976,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,USD_CHF,10,2,long,47,300,215
28,0.12572011629654384,0.1880455714458633,-0.24284920373734825,0.4942894363304359,13,-0.008155191106219139,0.277469969663486,-0.5519963316466517,0.5356859494342135,USD_CHF,10,2,short,41,298,212
8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,4,0.2430620844330123,0.4799699163491854,-0.697678951611391,1.1838031204774158,USD_CHF,10,3,long,12,84,68
9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,4,0.5,0.5,-0.48,1.48,USD_CHF,10,3,short,13,100,84
