tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
63,0.04077179559829206,0.12249636618972036,-0.19932108213355984,0.280864673330144,28,-0.41390493959611036,0.16487528305639715,-0.7370604943866488,-0.09074938480557193,EUR_USD,100,1,long,91,263,131
68,-0.19116713455940496,0.11524111122476928,-0.41703971255995276,0.03470544344114282,30,-0.06475287354759368,0.17582685182666108,-0.40937350312784937,0.279867756032662,EUR_USD,100,1,short,98,266,141
20,0.11267229721704004,0.2163064035968545,-0.3112882538327948,0.5366328482668749,9,-0.009603282754121471,0.3265863460288073,-0.6497125209705839,0.6305059554623409,EUR_USD,100,2,long,29,86,50
18,0.0740035366751383,0.2290258657615098,-0.37488716021742086,0.5228942335676975,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,EUR_USD,100,2,short,27,86,48
8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,4,-0.7133601391006078,0.25308273428043154,-1.2094022982902537,-0.21731797991096197,EUR_USD,100,3,long,12,27,23
3,-0.7597652994960008,0.24023470050399923,-1.2306253124838393,-0.28890528650816233,2,0.0,1.0,-1.96,1.96,EUR_USD,100,3,short,5,20,10
114,-0.043975190772317284,0.09335430145890823,-0.22694962163177743,0.13899924008714284,50,-0.03707247133006983,0.1396110817268857,-0.31071019151476575,0.23656524885462613,GBP_USD,10,1,long,164,909,244
125,-0.02453811946404611,0.08892711749528542,-0.19883526975480553,0.14975903082671332,55,0.1780159265722149,0.13180514925772224,-0.08032216597292066,0.4363540191173505,GBP_USD,10,1,short,180,880,263
33,-0.21212121212121213,0.17275385228774817,-0.5507187626051986,0.1264763383627743,15,0.15015360447300463,0.2556547687822219,-0.3509297423401503,0.6512369512861595,GBP_USD,10,2,long,48,319,83
40,-0.09206714130327337,0.15837112644629603,-0.40247454913801356,0.21834026653146682,18,-0.15889712195757222,0.23266774264246734,-0.6149258975368082,0.29713165362166377,GBP_USD,10,2,short,58,274,98
10,-0.42836812781438055,0.26335986275545603,-0.9445534588150744,0.08781720318631331,5,0.041989789198862294,0.4491805231718811,-0.8384040362180246,0.9223836146157492,GBP_USD,10,3,long,15,87,25
13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,GBP_USD,10,3,short,19,84,34
84,-0.059680616048144876,0.10857406885376222,-0.2724857910015188,0.15312455890522908,37,-0.023070907202797065,0.16164181378061734,-0.33988886221280706,0.2937470478072129,GBP_USD,20,1,long,121,644,180
95,0.016596625905853576,0.10268131627589516,-0.18465875399490095,0.21785200580660807,41,0.19002136491394678,0.1519369115776281,-0.10777498177820427,0.4878177116060978,GBP_USD,20,1,short,136,594,193
27,-0.23251401540303665,0.18726370369797823,-0.5995508746510739,0.13452284384500066,12,0.10435867225792246,0.2877942308970637,-0.4597180203003223,0.6684353648161673,GBP_USD,20,2,long,39,223,64
32,-0.05258392662909171,0.17784999988877556,-0.40116992641109184,0.2960020731529084,15,-0.39067654634908666,0.23634252855998678,-0.8539079023266607,0.07255480962848743,GBP_USD,20,2,short,47,191,77
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,4,-0.1975127635014221,0.4905807267022292,-1.1590509878377913,0.764025460834947,GBP_USD,20,3,long,13,63,21
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,GBP_USD,20,3,short,14,52,27
72,-0.11792742887856811,0.11723371165353015,-0.34770550371948716,0.11185064596235098,31,0.10149601398375835,0.17506664287244408,-0.24163460604623205,0.44462663401374874,GBP_USD,55,1,long,103,383,152
81,0.04415653655624802,0.11112587853345987,-0.17365018536933333,0.2619632584818294,36,0.07752433226310604,0.1645657712204931,-0.24502457932906044,0.40007324385527254,GBP_USD,55,1,short,117,348,160
25,-0.17111513663527955,0.19725282703664995,-0.5577306776271134,0.21550040435655432,11,0.20475491519046088,0.2954578421555193,-0.37434245543435696,0.7838522858152787,GBP_USD,55,2,long,36,129,56
29,-0.16147191903899777,0.18473099021339393,-0.5235446598572498,0.2006008217792543,13,-0.45078063040279226,0.2451833070089688,-0.9313399121403712,0.029778651334786577,GBP_USD,55,2,short,42,123,70
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,-0.1975127635014221,0.4905807267022292,-1.1590509878377913,0.764025460834947,GBP_USD,55,3,long,11,33,18
7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,55,3,short,10,30,21
57,-0.16650482244310358,0.1308817341440093,-0.4230330213653618,0.09002337647915468,25,0.16315243490512432,0.19643598627141456,-0.2218620981868482,0.5481669679970969,GBP_USD,100,1,long,82,281,123
69,-0.006135080274549431,0.12054207909756479,-0.2423975553057764,0.23012739475667754,30,-0.0023090744588160515,0.17733319706657144,-0.3498821407092961,0.34526399179166395,GBP_USD,100,1,short,99,253,136
21,0.0820057897199053,0.2178684207187022,-0.345016314888751,0.5090278943285615,9,0.028033785232785508,0.3345100958500192,-0.6276060026332521,0.6836735730988232,GBP_USD,100,2,long,30,98,45
24,-0.3201119021721223,0.19507867505101173,-0.7024661052721053,0.06224230092786065,11,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,GBP_USD,100,2,short,35,89,59
6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,3,0.06998298199810382,0.5815762642187869,-1.0699064958707187,1.2098724598669262,GBP_USD,100,3,long,9,26,16
5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,GBP_USD,100,3,short,8,22,17
