tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,8,0.5590737926564888,0.2920877101347388,-0.013418119207599166,1.1315657045205767,AUD_USD,100,3,long,26,36,26
14,0.42857142857142855,0.25058800551629407,-0.0625810622405078,0.9197239193833648,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,AUD_USD,100,3,short,21,32,21
299,-0.03899141723325959,0.05554316135993233,-0.14785601349872696,0.06987317903220777,129,-0.017739571836035924,0.080550349398912,-0.17561825665790343,0.1401391129858316,USD_CAD,10,1,long,428,925,430
301,-0.07468066378609618,0.0548542301558213,-0.18219495489150592,0.03283362731931355,129,-0.08403248041775352,0.08253357425787725,-0.24579828596319292,0.07773332512768588,USD_CAD,10,1,short,430,914,435
105,0.015122130372735902,0.09491160456339359,-0.17090461457151554,0.20114887531698736,46,-0.10597330009695781,0.12832836586005547,-0.35749689718266653,0.14555029698875088,USD_CAD,10,2,long,151,324,152
106,-0.06574949354874994,0.09239777710020733,-0.2468491366651563,0.11535014956765642,46,-0.1977725686655304,0.13313204915541066,-0.45871138501013525,0.06316624767907447,USD_CAD,10,2,short,152,318,153
47,0.147013863787281,0.1418179253506847,-0.13094926990006098,0.42497699747462303,21,-0.1823616930372572,0.1889775226324743,-0.5527576373969068,0.18803425132239243,USD_CAD,10,3,long,68,110,69
36,0.09768322720364085,0.1575952098316744,-0.21120338406644096,0.4065698384737227,16,-0.30540288476598654,0.23735135456265835,-0.7706115397087969,0.15980577017682385,USD_CAD,10,3,short,52,107,53
231,-0.03327878045425003,0.0633309847387816,-0.15740751054226196,0.09084994963376189,100,-0.0554111531685228,0.09147598693615397,-0.23470408756338457,0.12388178122633897,USD_CAD,20,1,long,331,651,331
229,-0.1046874839716605,0.06253385514674029,-0.22725384005927146,0.01787887211595046,99,-0.140338754628017,0.09425036938207156,-0.3250694786168773,0.04439196936084325,USD_CAD,20,1,short,328,660,333
84,-0.010288450580186152,0.10560956776428515,-0.21728320339818505,0.19670630223781274,36,-0.1704711201836563,0.14481980762338015,-0.45431794312548135,0.11337570275816877,USD_CAD,20,2,long,120,222,120
81,-0.08062192788633939,0.10557599156011795,-0.28755087134417057,0.12630701557149177,35,-0.2777358876815407,0.1548464499359239,-0.5812349295559516,0.02576315419287012,USD_CAD,20,2,short,116,218,117
37,0.08897459807228454,0.1616922753253484,-0.22794226156539837,0.40589145770996743,16,-0.243175385188529,0.21591261099417097,-0.6663641027371041,0.18001333236004613,USD_CAD,20,3,long,53,78,53
30,-0.030009741103229595,0.17376874250075836,-0.37059647640471594,0.3105769941982568,13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,USD_CAD,20,3,short,43,76,44
177,-0.13200151543948965,0.07103451780441317,-0.27122917033613947,0.007226139457160163,76,-0.05888561836993045,0.10614922228332269,-0.26693809404524294,0.149166857305382,USD_CAD,55,1,long,253,389,253
162,-0.13190590853736756,0.07379361036720812,-0.27654138485709545,0.012729567782360368,70,-0.14807802352197166,0.11454209074473072,-0.3725805213816439,0.07642447433770055,USD_CAD,55,1,short,232,391,237
59,0.046191831246751115,0.1277894083219649,-0.20427540906430006,0.2966590715578023,26,-0.33089390080248315,0.16718764533672895,-0.6585816856624719,-0.0032061159424944252,USD_CAD,55,2,long,85,123,85
57,-0.07871594947290203,0.125083205185087,-0.32387903163567255,0.1664471326898685,25,-0.28408415435419415,0.18708355412894398,-0.6507679204469243,0.08259961173853603,USD_CAD,55,2,short,82,129,83
23,0.03241843793843175,0.2110194682675823,-0.38117971986602955,0.44601659574289304,10,-0.2654916085618428,0.2661250240294312,-0.787096655659528,0.2561134385358424,USD_CAD,55,3,long,33,43,33
23,0.08859862589469068,0.19126576047841268,-0.28628226464299816,0.46347951643237956,11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,USD_CAD,55,3,short,34,50,35
145,-0.13877291804927194,0.07852965296900628,-0.29269103786852424,0.015145201769980382,63,-0.11865566660499544,0.11381998931744451,-0.3417428456671867,0.10443151245719581,USD_CAD,100,1,long,208,303,208
132,-0.171471084285781,0.08044253520831994,-0.3291384532940881,-0.013803715277473927,57,-0.11387624761622751,0.12766335737949944,-0.3640964280800464,0.1363439328475914,USD_CAD,100,1,short,189,277,194
46,0.11077744647194088,0.14463994520302081,-0.17271684612597993,0.3942717390698617,21,-0.31225505538773185,0.18876602886280472,-0.6822364719588291,0.05772636118336538,USD_CAD,100,2,long,67,88,67
40,-0.1783795856444968,0.1471682479523891,-0.4668293516311794,0.1100701803421858,18,-0.3055417612406857,0.21156845870734486,-0.7202159403070816,0.1091324178257102,USD_CAD,100,2,short,58,85,59
19,-0.06601978565347737,0.23241134653733572,-0.5215460248666554,0.38950645355970065,9,-0.18387956506871425,0.2832004651557379,-0.7389524767739605,0.3711933466365319,USD_CAD,100,3,long,28,34,28
16,0.0009515375230513545,0.22995300138234728,-0.4497563451863493,0.451659420232452,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,USD_CAD,100,3,short,24,34,25
273,-0.11027734662958966,0.05848950566198168,-0.22491677772707375,0.004362084467894434,118,0.1308113982491466,0.08939876897647152,-0.04441018894473758,0.30603298544303076,USD_CHF,10,1,long,391,918,392
268,-0.022960268135079114,0.05920167713020039,-0.13899555531027188,0.09307501904011364,115,0.04337268638954049,0.09191892001167297,-0.13678839683333854,0.2235337696124195,USD_CHF,10,1,short,383,885,385
97,-0.07382075271313342,0.09585623172323804,-0.26169896689067995,0.11405746146441313,42,0.12084844970032085,0.14782816725653217,-0.1688947581224822,0.4105916575231239,USD_CHF,10,2,long,139,300,139
101,0.17858974502865504,0.09449121050998653,-0.006613027570918556,0.3637925176282286,44,-0.11060212994951213,0.14878762142864807,-0.40222586794966236,0.1810216080506381,USD_CHF,10,2,short,145,298,146
31,0.05206841108585689,0.17607673136799176,-0.2930419823954069,0.39717880456712074,14,-0.15731353089775654,0.247700194949683,-0.6428059129991353,0.3281788512036221,USD_CHF,10,3,long,45,84,45
39,0.2294811112807782,0.14760978364382044,-0.059834064661109854,0.5187962872226662,17,0.011750027614418693,0.24282008269643662,-0.4641773344705971,0.48767738969943447,USD_CHF,10,3,short,56,100,56
197,-0.07742444038854356,0.06890780749204783,-0.2124837430729573,0.057634862295870185,85,0.03735370856189804,0.106101727599305,-0.17060567753273975,0.24531309465653584,USD_CHF,20,1,long,282,635,282
200,0.02294389586741342,0.06817892911140144,-0.1106868051909334,0.15657459692576023,86,0.006409607266191261,0.10703078710494618,-0.20337073545950324,0.2161899499918858,USD_CHF,20,1,short,286,626,287
74,0.02177415118951986,0.10838608375578962,-0.1906625729718278,0.23421087535086751,32,0.01588410223340024,0.17283481611716286,-0.32287213735623893,0.35464034182303944,USD_CHF,20,2,long,106,204,106
83,0.10146280183204896,0.10661139892039372,-0.1074955400519227,0.31042114371602064,36,-0.04409207460312919,0.16732003016392769,-0.37203933372442743,0.28385518451816905,USD_CHF,20,2,short,119,216,119
24,0.19225503098589847,0.19518553525821253,-0.19030861812019806,0.574818680091995,11,-0.16340489849818882,0.29767755831882114,-0.7468529128030783,0.4200431158067006,USD_CHF,20,3,long,35,56,35
33,0.2526697435851279,0.15929039202873685,-0.05953942479119634,0.5648789119614521,15,0.1466500312963412,0.255578771520038,-0.3542843608829333,0.6475844234756156,USD_CHF,20,3,short,48,71,48
147,-0.13092980538797222,0.07968001154181974,-0.2871026280099389,0.02524301723399447,63,0.06773657448135686,0.12311051358423444,-0.17356003214374263,0.3090331811064564,USD_CHF,55,1,long,210,372,210
149,0.04631680101874062,0.07927367969994208,-0.10905961119314586,0.20169321323062708,65,0.0020526036138057667,0.12361643436377923,-0.2402356077392015,0.24434081496681304,USD_CHF,55,1,short,214,362,214
