tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
98,-0.08036469253826425,0.09907389492747413,-0.27454952659611354,0.11382014151958506,43,0.2289031113223148,0.146027775783133,-0.057311329212625856,0.5151175518572555,GBP_USD,10,2.0,short,141,376,143
72,-0.014196660824979866,0.11598280375202027,-0.2415229561789396,0.21312963452897987,32,-0.19852180401655417,0.17435899659830897,-0.5402654373492397,0.14322182931613142,GBP_USD,10,2.5,long,104,277,104
68,-0.016405778460803738,0.12104975857265217,-0.253663305263202,0.22085174834159452,30,0.10675958931463982,0.1816248329317516,-0.24922508323159331,0.4627442618608729,GBP_USD,10,2.5,short,98,276,99
55,0.1670997987697324,0.1316604945750096,-0.0909547705972864,0.4251543681367512,24,-0.17543855471265332,0.20361133498661801,-0.5745167712864246,0.22363966186111797,GBP_USD,10,3.0,long,79,218,79
50,-0.04,0.14274281139196338,-0.3197759103282482,0.23977591032824822,22,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,GBP_USD,10,3.0,short,72,217,73
156,-0.0898089166364774,0.07857898248749828,-0.24382372231197402,0.06420588903901923,68,-0.04401085792892328,0.11945260076962008,-0.2781379554373786,0.19011623957953208,GBP_USD,14,1.5,long,224,525,226
151,-0.06036845881719526,0.07993706160684202,-0.21704509956660564,0.0963081819322151,65,0.1595043373961324,0.1202409876583424,-0.0761679984142187,0.39517667320648353,GBP_USD,14,1.5,short,216,525,218
101,-0.03319331246769619,0.0981539420550125,-0.2255750388955207,0.1591884139601283,44,-0.10858621025958705,0.14940104682967284,-0.4014122620457458,0.18423984152657175,GBP_USD,14,2.0,long,145,371,145
99,-0.05090182258183261,0.09877828197634551,-0.2445072552554698,0.1427036100918046,43,0.18309065923327064,0.14757965303293386,-0.10616546071127972,0.472346779177821,GBP_USD,14,2.0,short,142,371,143
75,-0.026962127725314,0.1136825583179453,-0.24977994202848677,0.19585568657785876,33,-0.2228090220766586,0.17072914276572276,-0.5574381418974752,0.11182009774415802,GBP_USD,14,2.5,long,108,278,108
68,-0.04581754316668609,0.12093688089052211,-0.28285382971210943,0.19121874337873723,30,0.10675958931463982,0.1816248329317516,-0.24922508323159331,0.4627442618608729,GBP_USD,14,2.5,short,98,277,99
56,0.11054444522027292,0.13159218240356468,-0.1473762322907139,0.3684651227312597,25,-0.2084210125241472,0.19806264715871372,-0.596623800955226,0.17978177590693167,GBP_USD,14,3.0,long,81,213,81
51,-0.09803921568627451,0.14074006623471658,-0.373889745506319,0.17781131413377,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,GBP_USD,14,3.0,short,74,212,74
158,-0.09000848011353937,0.07805373293461991,-0.2429937966653944,0.06297683643831564,69,-0.08685128027777946,0.1182607449010103,-0.31864234028375965,0.1449397797282007,GBP_USD,21,1.5,long,227,528,229
154,-0.09165998234673042,0.07898334863422873,-0.24646734566981873,0.06314738097635789,66,0.20254215046588797,0.1183521379965318,-0.02942804000731436,0.4345123409390903,GBP_USD,21,1.5,short,220,528,222
102,-0.0230639662670325,0.09771332654651059,-0.21458208629819325,0.16845415376412826,44,-0.10858621025958705,0.14940104682967284,-0.4014122620457458,0.18423984152657175,GBP_USD,21,2.0,long,146,364,146
98,-0.08203347383266764,0.09904917095257733,-0.2761698488997192,0.11210290123438392,42,0.17149494474855226,0.15203971524027335,-0.1265028971223835,0.469492786619488,GBP_USD,21,2.0,short,140,364,141
74,-0.013812967289169592,0.1144559359739017,-0.23814660179801692,0.21052066721967774,33,-0.16220296147059798,0.1728514667345853,-0.5009918362703851,0.17658591332918916,GBP_USD,21,2.5,long,107,275,107
67,-0.005359213679232746,0.12214246597463972,-0.24475844698952662,0.2340400196310611,30,0.10675958931463982,0.1816248329317516,-0.24922508323159331,0.4627442618608729,GBP_USD,21,2.5,short,97,274,98
58,0.037767050557504886,0.1300756253868485,-0.21718117520071817,0.29271527631572797,25,-0.2084210125241472,0.19806264715871372,-0.596623800955226,0.17978177590693167,GBP_USD,21,3.0,long,83,211,83
51,-0.13725490196078433,0.14008291058424904,-0.41181740670591244,0.13730760278434379,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,GBP_USD,21,3.0,short,74,210,74
141,-0.11772080133643156,0.08335057205700827,-0.2810879225681678,0.045646319895304655,61,-0.01639344262295082,0.1290820962952756,-0.269394351361691,0.23660746611578934,AUD_USD,7,1.5,long,202,559,203
127,-0.01938249103202214,0.08879385274287814,-0.1934184424080633,0.15465346034401903,55,-0.01818181818181818,0.13606026860996148,-0.2848599446573427,0.24849630829370634,AUD_USD,7,1.5,short,182,558,183
75,-0.19972004290548068,0.11245697695093962,-0.42013571772932234,0.020695631918360963,33,-0.030303030303030304,0.1766955119650091,-0.37662623375444815,0.3160201731483875,AUD_USD,7,2.0,long,108,372,108
72,0.02756711639651588,0.11731678136662256,-0.20237377508206433,0.2575080078750961,32,-0.125,0.1781966112418093,-0.4742653580339462,0.2242653580339462,AUD_USD,7,2.0,short,104,371,105
54,-0.26807236869477746,0.1302704150327741,-0.5234023821590147,-0.012742355230540237,24,0.25,0.2018932132718121,-0.14571069801275166,0.6457106980127516,AUD_USD,7,2.5,long,78,270,78
49,-0.061224489795918366,0.144066793092159,-0.34359540425655,0.22114642466471324,21,-0.14285714285714285,0.2213133340689953,-0.5766312776323737,0.29091699191808795,AUD_USD,7,2.5,short,70,269,70
35,-0.2,0.16803361008336118,-0.529345875763388,0.1293458757633879,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,AUD_USD,7,3.0,long,50,209,50
35,0.08571428571428572,0.17086742893632048,-0.24918587500090242,0.4206144464294739,15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,AUD_USD,7,3.0,short,50,208,50
143,-0.10208834257648147,0.08291560750339583,-0.26460293328313733,0.06042624813017436,62,-0.0967741935483871,0.12743592124665862,-0.346548599191838,0.1530002120950638,AUD_USD,10,1.5,long,205,557,206
130,-0.042012125854360094,0.08770022675924288,-0.21390457030247614,0.12988031859375596,57,-0.08771929824561403,0.13311550601392982,-0.3486256900329165,0.17318709354168843,AUD_USD,10,1.5,short,187,556,188
79,-0.29087345845457024,0.10696007330493607,-0.500515202132245,-0.08123171477689556,35,-0.02857142857142857,0.17142857142857143,-0.3645714285714286,0.30742857142857144,AUD_USD,10,2.0,long,114,371,114
74,0.05384908622363706,0.11560711235840523,-0.1727408539988372,0.2804390264461113,33,-0.09090909090909091,0.17604469755488258,-0.4359566981166608,0.25413851629847894,AUD_USD,10,2.0,short,107,370,108
51,-0.2250178021474114,0.13557074394149973,-0.49073646027275086,0.04070085597792805,22,0.36363636363636365,0.20327890704543541,-0.03479029417268975,0.762063021445417,AUD_USD,10,2.5,long,73,264,73
46,-0.043478260869565216,0.14893023279611745,-0.33538151714995545,0.248424995410825,21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,AUD_USD,10,2.5,short,67,263,67
35,-0.14285714285714285,0.16973957879600132,-0.4755467172973054,0.1898324315830197,15,0.2,0.26186146828319085,-0.313248477835054,0.7132484778350541,AUD_USD,10,3.0,long,50,209,50
34,0.058823529411764705,0.173776222559058,-0.281777866803989,0.3994249256275184,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,AUD_USD,10,3.0,short,49,208,49
