tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
58,-0.22518924889646683,0.1278782678056452,-0.47583065379553147,0.025452156002597787,25,-0.28,0.19595917942265423,-0.6640799916684024,0.10407999166840226,AUD_USD,7,2.5,long,83,270,129
62,0.04531351057600687,0.12690537092152435,-0.20342101643018085,0.2940480375821946,28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704,0.3048101234920275,AUD_USD,7,2.5,short,90,269,132
42,-0.14285714285714285,0.15457193737155983,-0.4458181401054001,0.1601038543911144,19,-0.2631578947368421,0.22739441047045122,-0.7088509392589265,0.18253514978524232,AUD_USD,7,3.0,long,61,209,95
49,-0.02040816326530612,0.14430750636460155,-0.30325087573992515,0.26243454920931286,22,0.09090909090909091,0.21731429260625335,-0.33502692259916567,0.5168451044173474,AUD_USD,7,3.0,short,71,208,106
144,-0.10904870313179787,0.0826032197141273,-0.2709510137714874,0.05285360750789164,62,-0.0967741935483871,0.12743592124665862,-0.346548599191838,0.1530002120950638,AUD_USD,10,1.5,long,206,557,312
143,0.05677828595914459,0.08334447880244891,-0.10657689249365529,0.22013346441194445,62,0.0,0.12803687993289598,-0.25095228466847613,0.25095228466847613,AUD_USD,10,1.5,short,205,556,305
86,-0.07309338433319082,0.10711087142243864,-0.2830306923211705,0.1368439236547889,37,-0.08108108108108109,0.16611791814942142,-0.40667220065394705,0.24451003849178488,AUD_USD,10,2.0,long,123,371,193
86,0.19906156851346135,0.10533304444861522,-0.007391198605824462,0.4055143356327472,38,-0.12689008596641593,0.1609447246574363,-0.4423417462949911,0.18856157436215926,AUD_USD,10,2.0,short,124,370,187
58,-0.25967200751715647,0.12672619848623132,-0.5080553565501699,-0.011288658484143094,26,-0.23076923076923078,0.19460170216420797,-0.6121885670110784,0.1506501054726168,AUD_USD,10,2.5,long,84,264,129
58,0.06896551724137931,0.13213787041210448,-0.19002470876634545,0.32795574324910404,25,-0.12,0.20264912204760885,-0.5171922792133133,0.27719227921331335,AUD_USD,10,2.5,short,83,263,126
