tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
127,0.041808164168357365,0.08422684164585344,-0.12327644545751537,0.2068927737942301,55,0.16691421607141924,0.12421161914616229,-0.07654055745505883,0.4103689895978973,USD_CAD,20,2.5,14,long,182
566,0.0041014627630062825,0.040435221841642666,-0.07515157204661334,0.0833544975726259,243,-0.05457505910574583,0.05652900277445378,-0.16537190454367523,0.056221786332183575,USD_CAD,20,1.0,14,short,809
408,-0.04982640451756859,0.04704375222913364,-0.14203215888667053,0.04237934985153334,176,0.024040164055026462,0.06708470029237418,-0.10744584851802694,0.15552617662807985,USD_CAD,20,1.5,14,short,584
273,0.04757488811394742,0.05813822683562671,-0.06637603648388093,0.16152581271177577,118,-0.0384529428050804,0.08275435011549205,-0.20065146903144482,0.123745583421284,USD_CAD,20,2.0,14,short,391
158,0.07522377360194632,0.07655491396847874,-0.07482385777627201,0.22527140498016465,69,0.176663212287245,0.10726466779864886,-0.033575536598106775,0.3869019611725968,USD_CAD,20,2.5,14,short,227
402,0.041436638391809284,0.047622923172576125,-0.05190429102643992,0.13477756781005848,173,0.2739135230884709,0.06762054274615963,0.14137725930599804,0.40644978687094374,USD_CAD,50,1.0,14,long,575
373,0.050749812577250676,0.05017991282942337,-0.04760281656841913,0.14910244172292048,160,0.13021654498774743,0.06989556824161948,-0.006778768765826754,0.2672118587413216,USD_CAD,50,1.5,14,long,533
317,0.021595249935341836,0.05488515487778413,-0.08597965362511506,0.12917015349579872,136,0.14642466845694163,0.0785142077393897,-0.007463178712262181,0.30031251562614547,USD_CAD,50,2.0,14,long,453
255,-0.05198456467430257,0.06113433925826368,-0.17180786962049938,0.06783874027189424,110,0.1431897674804345,0.09149443873317174,-0.03613933243658213,0.3225188673974511,USD_CAD,50,2.5,14,long,365
445,-0.042169031627594306,0.04531265049174373,-0.130981826591412,0.0466437633362234,192,0.011011111169747045,0.0635421299592957,-0.11353146355047253,0.1355536858899666,USD_CAD,50,1.0,14,short,637
391,0.050698411313112625,0.04857273747234763,-0.04450415413268873,0.14590097675891397,168,-0.022671685973333175,0.07019440875973643,-0.16025272714241656,0.11490935519575023,USD_CAD,50,1.5,14,short,559
331,0.08701659058868444,0.05308298530272727,-0.01702606060466101,0.19105924178202988,142,0.03743871416700542,0.0762076316457896,-0.1119282438587422,0.18680567219275304,USD_CAD,50,2.0,14,short,473
280,0.04293175612146007,0.05710123367705883,-0.06898666188557523,0.15485017412849536,120,0.027932292722875278,0.08281033064156228,-0.13437595533458677,0.19024054078033734,USD_CAD,50,2.5,14,short,400
287,0.060690107458754104,0.05770290273001791,-0.052407581892080994,0.1737877968095892,124,0.04379342714194238,0.0813111310653485,-0.11557638974614068,0.20316324403002542,USD_CAD,100,1.0,14,long,411
267,0.04211051122544676,0.06029840424920829,-0.07607436110300149,0.160295383553895,115,0.05579912981750896,0.08694249681528854,-0.11460816394045659,0.2262064235754745,USD_CAD,100,1.5,14,long,382
247,-0.11243588615077091,0.061490137089196394,-0.23295655484559585,0.008084782544054023,106,0.21784878255056364,0.09030881806043455,0.04084349915211194,0.39485406594901534,USD_CAD,100,2.0,14,long,353
219,-0.12632081025171746,0.06431284405689695,-0.25237398460323546,-0.00026763590019943106,95,0.32324578711643837,0.09262467454136417,0.1417014250153646,0.5047901492175122,USD_CAD,100,2.5,14,long,314
359,-0.03041618643225588,0.05036965475417623,-0.12914070975044128,0.06830833688592952,155,-0.20003423164971842,0.06990191517960044,-0.33704198540173524,-0.06302647789770158,USD_CAD,100,1.0,14,short,514
348,0.030718110244076467,0.05119353907181034,-0.06962122633667178,0.13105744682482473,150,0.08042340376895607,0.07157844630369628,-0.05987035098628865,0.2207171585242008,USD_CAD,100,1.5,14,short,498
308,0.05463329976654072,0.054474008720000765,-0.05213575732466077,0.1614023568577422,133,0.025300376197424757,0.07709253292895137,-0.12580098834331993,0.17640174073816944,USD_CAD,100,2.0,14,short,441
240,0.022561519164523473,0.06174290359440617,-0.09845457188051263,0.14357761020955956,104,0.08075798359717207,0.09075757648597513,-0.09712686631533918,0.2586428335096833,USD_CAD,100,2.5,14,short,344
216,-0.023646187737774684,0.06515689193390531,-0.1513536959282291,0.10406132045267971,93,0.03449631211108673,0.1003335011825996,-0.16215735020680846,0.2311499744289819,USD_CAD,200,1.0,14,long,309
198,-0.05865535679964984,0.06901422133738774,-0.1939232306209298,0.07661251702163013,86,0.10105544937204684,0.10276897306401561,-0.10037173783342375,0.30248263657751745,USD_CAD,200,1.5,14,long,284
202,-0.05462975329295669,0.06698048245022262,-0.18591149889539302,0.07665199230947964,87,0.0333621413128816,0.10246832760031621,-0.16747578078373818,0.23420006340950136,USD_CAD,200,2.0,14,long,289
196,-0.11898181688816377,0.0679376292378593,-0.252139570194368,0.01417593641804045,84,0.11474404881836507,0.10433517682080598,-0.08975289775041466,0.3192409953871448,USD_CAD,200,2.5,14,long,280
256,-0.054171960112450505,0.05780688091734501,-0.16747344671044673,0.05912952648554571,110,-0.041547972880809095,0.07786546261623749,-0.19416427960863458,0.11106833384701638,USD_CAD,200,1.0,14,short,366
262,-0.06329985971148895,0.05743525936627208,-0.17587296806938224,0.049273248646404325,113,-0.0803470258957451,0.08090445913100942,-0.23891976579252358,0.07822571400103337,USD_CAD,200,1.5,14,short,375
