instrument,family,timeframe,entry_mode,n,mean_r,nw_lag,nw_se,ci_low,ci_high,matched_baseline_mean_r,raw_minus_avg_direction_baseline_r
NATGAS_USD,trend,D1,limit,6513,-0.4538422335706472,0,0.012112133829397992,-0.47758201587626725,-0.4301024512650271,-0.46051269265265066,0.006670459082003477
NATGAS_USD,trend,D1,market,6513,-0.5935754903747459,0,0.01158332930899977,-0.6162788158203855,-0.5708721649291063,-0.5951509332852369,0.001575442910491054
NATGAS_USD,trend,H4,limit,33230,-0.12669079713378908,0,0.005455498011507913,-0.1373835732363446,-0.11599802103123358,-0.13740790012044568,0.010717102986656596
NATGAS_USD,trend,H4,market,33230,-0.3450757577917896,0,0.005487981802004855,-0.35583220212371913,-0.3343193134598601,-0.3564930579534751,0.011417300161685462
SOYBN_USD,mr_under_limit,H4,limit,20949,0.07249164543608444,4,0.011184086679031034,0.050570835545183615,0.09441245532698526,0.07736477255808377,-0.004873127121999332
SOYBN_USD,mr_under_limit,H4,market,20949,-0.16321812919280487,4,0.011532564742282363,-0.1858219560876783,-0.14061430229793145,-0.16294236573747,-0.00027576345533486535
SOYBN_USD,trend,D1,limit,6336,0.045354820619874565,0,0.012319576164406452,0.021208451337637917,0.06950118990211121,0.04222106445489533,0.003133756164979233
SOYBN_USD,trend,D1,market,6336,-0.1942248528562314,0,0.012552902848484301,-0.21882854243926061,-0.16962116327320217,-0.19093861895395958,-0.0032862339022718123
SOYBN_USD,trend,H4,limit,32221,0.06812514976265151,4,0.00950163105310514,0.04950195289856543,0.08674834662673758,0.07736477255808377,-0.009239622795432265
SOYBN_USD,trend,H4,market,32221,-0.17097591223471728,4,0.009955580312774475,-0.19048884964775525,-0.1514629748216793,-0.16294236573747,-0.008033546497247274
SUGAR_USD,mr_under_limit,H4,limit,12219,0.04529353928320702,0,0.008865322964035584,0.027917506273697275,0.06266957229271677,0.0438765828685857,0.0014169564146213204
SUGAR_USD,mr_under_limit,H4,market,12219,-0.19376621228330856,0,0.009048605193781244,-0.2115014784631198,-0.17603094610349732,-0.18123178162890208,-0.012534430654406487
SUGAR_USD,trend,D1,limit,5203,-0.11560310255244723,0,0.013869679935576223,-0.14278767522617664,-0.08841852987871783,-0.10910806401470571,-0.006495038537741513
SUGAR_USD,trend,D1,market,5203,-0.30051046654261837,0,0.01371246118096013,-0.32738689045730024,-0.2736340426279365,-0.28199513012466904,-0.018515336417949335
SUGAR_USD,trend,H4,limit,16148,0.026119554411115454,0,0.007751935544391821,0.010925760744107484,0.041313348078123424,0.0438765828685857,-0.017757028457470247
SUGAR_USD,trend,H4,market,16148,-0.19373167347795384,1,0.009067181584481648,-0.21150334938353788,-0.1759599975723698,-0.18123178162890208,-0.012499891849051759
WHEAT_USD,mr_under_limit,H4,limit,23169,0.026844640350477567,2,0.008546572921078506,0.010093357425163697,0.04359592327579144,0.027343730008581806,-0.0004990896581042389
WHEAT_USD,mr_under_limit,H4,market,23169,-0.2096488383788893,2,0.008725485364129492,-0.2267507896925831,-0.19254688706519552,-0.21594178033146272,0.006292941952573405
WHEAT_USD,trend,D1,limit,6312,-0.14557903803669578,0,0.012569063176548913,-0.17021440186273165,-0.12094367421065991,-0.11542001771602396,-0.030159020320671817
WHEAT_USD,trend,D1,market,6312,-0.344567392512819,0,0.012410659869776238,-0.3688922858575804,-0.3202424991680576,-0.31522460114985107,-0.029342791362967913
WHEAT_USD,trend,H4,limit,32044,0.0228884534245288,2,0.007507429045715783,0.008173892494925866,0.037603014354131735,0.027343730008581806,-0.004455276584053005
WHEAT_USD,trend,H4,market,32044,-0.2220900206418345,2,0.007759246832329558,-0.23729814443320044,-0.20688189685046857,-0.21594178033146272,-0.006148240310371783
WTICO_USD,mr_under_limit,H4,limit,22520,0.1121676171895813,1,0.007557575209766604,0.09735476977843877,0.12698046460072385,0.1378833112996169,-0.02571569411003559
WTICO_USD,mr_under_limit,H4,market,22520,-0.12267763311449391,1,0.007639381553988927,-0.1376508209603122,-0.1077044452686756,-0.10422159749692737,-0.018456035617566535
WTICO_USD,trend,D1,limit,6517,-0.08145808519348478,0,0.012394133365516518,-0.10575058658989717,-0.05716558379707241,-0.09509055352056155,0.013632468327076763
WTICO_USD,trend,D1,market,6517,-0.2760225100655534,0,0.012084664763197861,-0.2997084530014212,-0.2523365671296856,-0.28112938197781745,0.005106871912264055
WTICO_USD,trend,H4,limit,33177,0.14368502603896066,1,0.006386790770165548,0.13116691612943618,0.15620313594848514,0.1378833112996169,0.005801714739343766
WTICO_USD,trend,H4,market,33177,-0.09731453262710857,1,0.0065777321202507896,-0.11020688758280012,-0.08442217767141702,-0.10422159749692737,0.006907064869818805
XAG_USD,mr_under_limit,H4,limit,20444,0.0952122839901404,2,0.009115540802559281,0.0773458240171242,0.11307874396315659,0.11938935302638087,-0.02417706903624048
XAG_USD,mr_under_limit,H4,market,20444,-0.1472234575396354,2,0.009249812631929586,-0.16535309029821738,-0.1290938247810534,-0.1322132240673551,-0.015010233472280282
XAG_USD,trend,D1,limit,6461,0.015289368566743794,0,0.012362868914216452,-0.00894185450512045,0.039520591638608035,0.0005786742280809998,0.014710694338662794
XAG_USD,trend,D1,market,6461,-0.20322883141817374,0,0.01237405350348625,-0.2274819762850068,-0.1789756865513407,-0.2154661868586266,0.012237355440452846
XAG_USD,trend,H4,limit,33129,0.12807758022976423,2,0.007367688576855213,0.11363691061912802,0.14251824984040046,0.11938935302638087,0.008688227203383359
XAG_USD,trend,H4,market,33129,-0.12322451547953314,2,0.007682131932675588,-0.13828149406757728,-0.10816753689148899,-0.1322132240673551,0.00898870858782197
XAU_USD,mr_under_limit,H4,limit,16485,0.2679869161561459,5,0.012885245234270124,0.24273183549697644,0.2932419968153153,0.21295371498147253,0.05503320117467336
XAU_USD,mr_under_limit,H4,market,16485,0.03222244890577956,6,0.014031832414575809,0.004720057373210979,0.05972484043834815,-0.030032276256012423,0.062254725161791986
XAU_USD,trend,D1,limit,6503,0.2166266602087995,1,0.014344397691631696,0.18851164073320137,0.24474167968439764,0.19162323210722032,0.025003428101579184
XAU_USD,trend,D1,market,6503,-0.01432777459339097,1,0.014882372130021628,-0.043497223968233356,0.01484167478145142,-0.043689320560090256,0.029361545966699286
XAU_USD,trend,H4,limit,33210,0.2300345727969262,6,0.01090532862401896,0.20866012869384906,0.2514090169000034,0.21295371498147253,0.01708085781545368
XAU_USD,trend,H4,market,33210,-0.010614908396903395,7,0.012056192279195504,-0.03424504526412658,0.013015228470319794,-0.030032276256012423,0.01941736785910903
XCU_USD,mr_under_limit,H4,limit,19585,0.23101654359059337,2,0.009211501986276184,0.21296199969749205,0.2490710874836947,0.1834576360304788,0.04755890756011458
XCU_USD,mr_under_limit,H4,market,19585,-0.004033936241704516,2,0.009601270135740669,-0.022852425707756228,0.014784553224347196,-0.05643490042899575,0.05240096418729123
XCU_USD,trend,D1,limit,6458,0.0959909549254639,0,0.012313665604062869,0.07185617034150069,0.12012573950942712,0.09678866912416452,-0.0007977141987006164
XCU_USD,trend,D1,market,6458,-0.11923233996887772,0,0.012412706289059295,-0.14356124429543393,-0.09490343564232151,-0.11528434414888605,-0.003947995819991668
XCU_USD,trend,H4,limit,33078,0.1716315764597867,2,0.007593197891657203,0.15674890859213858,0.1865142443274348,0.1834576360304788,-0.011826059570692105
XCU_USD,trend,H4,market,33078,-0.07281264631587452,2,0.007896957636800228,-0.08829068328400297,-0.05733460934774607,-0.05643490042899575,-0.016377745886878764
XPD_USD,mr_under_limit,H4,limit,22322,-0.26238919935170807,1,0.008388573892380718,-0.27883080418077427,-0.24594759452264187,-0.2986355684684672,0.03624636911675916
XPD_USD,mr_under_limit,H4,market,22322,-0.5016631161481501,1,0.008562051966692633,-0.5184447380028676,-0.4848814942934325,-0.53620535505515,0.03454223890699992
XPD_USD,trend,D1,limit,6455,-0.516770591952939,0,0.013579559495851871,-0.5433865285648086,-0.4901546553410693,-0.5524505452555891,0.03567995330265017
XPD_USD,trend,D1,market,6455,-0.6932032999298636,0,0.013331784763474595,-0.7193335980662738,-0.6670730017934534,-0.7302604363382548,0.037057136408391145
XPD_USD,trend,H4,limit,32827,-0.28158160319196335,1,0.007128014978978286,-0.29555251255076076,-0.26761069383316594,-0.2986355684684672,0.01705396527650388
XPD_USD,trend,H4,market,32827,-0.5177491370038818,1,0.007332260253739581,-0.5321203671012114,-0.5033779069065523,-0.53620535505515,0.01845621805126818
XPT_USD,mr_under_limit,H4,limit,22180,-0.09022418787269289,2,0.008836272726867033,-0.10754328241735227,-0.07290509332803351,-0.0718515891532565,-0.01837259871943639
XPT_USD,mr_under_limit,H4,market,22180,-0.33954461477902553,2,0.009003883897892875,-0.35719222721889554,-0.3218970023391555,-0.32128707836226966,-0.01825753641675587
XPT_USD,trend,D1,limit,6459,-0.22151775737359428,0,0.012641170388631275,-0.24629445133531158,-0.19674106341187697,-0.22080333855686127,-0.000714418816733009
XPT_USD,trend,D1,market,6459,-0.4413236789916659,0,0.012541710544523634,-0.4659054316589322,-0.4167419263243996,-0.4342739738743887,-0.007049705117277205
XPT_USD,trend,H4,limit,33042,-0.06834643882713244,1,0.006640612884123991,-0.08136204008001546,-0.05533083757424942,-0.0718515891532565,0.003505150326124057
XPT_USD,trend,H4,market,33042,-0.3206743458785957,2,0.007789012612955675,-0.33594081059998887,-0.3054078811572026,-0.32128707836226966,0.000612732483673939
