drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
5e-05,0.5,SUGAR_USD,trend,supertrend10x3,H4,market,-1,3849,-0.1687703280783863,-0.1720987741681354,0.0033284460897491097,nan,nan,nan
5e-05,0.5,SUGAR_USD,trend,supertrend10x3,H4,market,1,3916,-0.1866305200732617,-0.19199843971997488,0.005367919646713182,0.03065074936256764,nan,nan
5e-05,0.5,SUGAR_USD,trend,tsmom63,D1,limit,1,1259,-0.08693893099527733,-0.10169812297631418,0.014759191981036854,0.011235623374197912,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,atr_range_exp,H4,limit,1,2401,0.07039910281247619,0.015036398725868464,0.05536270408660773,0.005521320106798572,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,atr_range_exp,H4,market,1,2401,-0.15928117441144382,-0.22859360696215356,0.06931243255070973,0.005507204094121397,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,bb_p20_2,H4,limit,1,833,0.03772640329638868,0.015036398725868464,0.02269000457052022,0.00339524214077513,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,bb_p20_2,H4,market,1,833,-0.21167945232769866,-0.22859360696215356,0.016914154634454892,0.002086300111770505,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,cci20_lt-100,H4,limit,1,3379,0.027640441500359117,0.015036398725868464,0.012604042774490653,0.00494732017918797,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,cci20_lt-100,H4,market,1,3379,-0.22003362285681982,-0.22859360696215356,0.008559984105333734,0.0025673228150463645,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,ema50_dist_low,H4,market,1,4870,-0.22177163547614095,-0.22859360696215356,0.006821971486012601,nan,nan,nan
5e-05,0.5,WHEAT_USD,mr_under_limit,rsi14_lt30,H4,limit,1,925,0.06028295112499541,0.015036398725868464,0.04524655239912695,0.03605355570057726,nan,nan
