strategy,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
candle,0.4,418,0.04598913475991502,0.029674868273356123,-0.012173607055862977,0.10415187657569303,0.7440191387559809
cci,0.4,3894,0.06708012660716334,0.00952631175959801,0.04840855555835123,0.08575169765597544,0.7598870056497176
ema,0.4,1282,0.10409389392406833,0.015821508350478766,0.07308373755712995,0.1351040502910067,0.7831513260530422
ichimoku,0.4,171,0.06764668386773294,0.04244914348504759,-0.015553637362960324,0.1508470050984262,0.7251461988304093
macd,0.4,1122,0.08557090249290439,0.017324185664820333,0.051615498589856534,0.11952630639595224,0.7736185383244206
rsi,0.4,2150,0.059928129462121824,0.012869226801455367,0.034704444931269306,0.08515181399297433,0.7544186046511628
sma,0.4,927,0.07491324180977199,0.018966649963529182,0.03773860788125479,0.11208787573828918,0.7518878101402373
stoch,0.4,7254,0.04350511330901139,0.0070931698548600325,0.029602500393485727,0.057407726224537055,0.7400055141990626
atr,0.5,2703,0.06154025104962344,0.013086819998125518,0.03589008385329743,0.08719041824594945,0.7058823529411765
bb,0.5,2218,0.10014483601038096,0.013999643673594327,0.07270553441013608,0.12758413761062584,0.7312894499549143
candle,0.5,418,0.05933531939228439,0.0332366231458079,-0.005808461973499095,0.12447910075806787,0.7033492822966507
cci,0.5,3894,0.08030486809056868,0.010745186918985052,0.059244301729357976,0.10136543445177938,0.7177709296353364
ema,0.5,1282,0.10744653279057544,0.01814874349778666,0.07187499553491358,0.1430180700462373,0.7293291731669267
ichimoku,0.5,171,0.11248219125609597,0.04648864128397392,0.021364454339507094,0.20359992817268485,0.7076023391812866
macd,0.5,1122,0.113833239028181,0.019335472959076595,0.07593571202839088,0.15173076602797114,0.7388591800356507
rsi,0.5,2150,0.07599512309192825,0.0144352557013842,0.047702021917215225,0.10428822426664128,0.713953488372093
sma,0.5,927,0.09528549926270281,0.021240073113135697,0.053654955960956846,0.13691604256444878,0.7119741100323624
stoch,0.5,7254,0.052322789041996665,0.00794632318790714,0.03674799559369867,0.06789758249029465,0.6945133719327268
atr,0.6,2703,0.07053513618616672,0.01441282074604272,0.04228600752392299,0.09878426484841045,0.6666666666666666
bb,0.6,2218,0.11266348781054072,0.015509090305744199,0.0822656708112821,0.14306130480979934,0.6934174932371506
candle,0.6,418,0.09181381662004959,0.036034069999084276,0.02118703942184441,0.16244059381825476,0.6770334928229665
cci,0.6,3894,0.10176335588944857,0.011789429167496831,0.07865607472115478,0.12487063705774236,0.6859270672829995
ema,0.6,1282,0.12970858650259245,0.019929420068550866,0.09064692316823275,0.16877024983695216,0.6973478939157566
ichimoku,0.6,171,0.1368658192655447,0.05046320648610544,0.037957934552778044,0.23577370397831135,0.6783625730994152
macd,0.6,1122,0.13760937181343832,0.0212966793160866,0.09586788035390859,0.17935086327296806,0.7094474153297683
rsi,0.6,2150,0.09130535553120359,0.015842624450488327,0.060253811608246464,0.1223568994541607,0.6776744186046512
sma,0.6,927,0.11526900185124869,0.023285317605890244,0.06962977934370382,0.16090822435879357,0.6785329018338727
stoch,0.6,7254,0.0700650345217705,0.008669524722762112,0.05307276606515676,0.08705730297838424,0.6617038875103392
atr,0.7,2703,0.08535068032402764,0.015566304567553537,0.054840723371622706,0.11586063727643256,0.636330003699593
bb,0.7,2218,0.12243269887815961,0.016839409178718404,0.08942745688787154,0.15543794086844767,0.6596032461677187
candle,0.7,418,0.1200628029894353,0.03890221567723243,0.043814460262059735,0.19631114571681085,0.6555023923444976
cci,0.7,3894,0.10788782586761174,0.012823454280293047,0.08275385547823737,0.13302179625698612,0.6494607087827426
ema,0.7,1282,0.14129076634711538,0.021649582715250044,0.09885758422522528,0.18372394846900547,0.6645865834633385
ichimoku,0.7,171,0.16912480017653683,0.05432693758039698,0.06264400251895876,0.2756055978341149,0.6666666666666666
macd,0.7,1122,0.16969192720271656,0.022987348147107733,0.1246367248343854,0.21474712957104772,0.6898395721925134
rsi,0.7,2150,0.10608152974272754,0.017143548640408415,0.07248017440752705,0.13968288507792803,0.6469767441860466
sma,0.7,927,0.14475098021481697,0.025159128156453995,0.09543908902816714,0.1940628714014668,0.656957928802589
stoch,0.7,7254,0.08392736998323709,0.009347863450722058,0.06560555761982186,0.10224918234665233,0.6313757926661152
atr,0.8,2703,0.09632444203634308,0.016683777382160456,0.06362423836730859,0.12902464570537758,0.6074731779504254
bb,0.8,2218,0.1348350286828688,0.01805850560892798,0.09944035768936997,0.17022969967636764,0.6307484220018035
candle,0.8,418,0.1424072656372972,0.04158871723349392,0.0608933798596491,0.22392115141494529,0.6339712918660287
cci,0.8,3894,0.11310584807047905,0.013759527120466951,0.08613717491436382,0.14007452122659428,0.6160760143810992
ema,0.8,1282,0.16535633987817241,0.023114998522751146,0.12005094277358017,0.21066173698276466,0.6427457098283932
ichimoku,0.8,171,0.18071515466612886,0.057252431151944,0.06850038960831863,0.2929299197239391,0.6374269005847953
macd,0.8,1122,0.19663097099985696,0.02459453794957232,0.1484256766186952,0.24483626538101871,0.6693404634581105
rsi,0.8,2150,0.11834130854101284,0.018399772269342963,0.08227775489310063,0.15440486218892505,0.618139534883721
sma,0.8,927,0.16106525871324476,0.026909628209801573,0.10832238742203368,0.21380813000445584,0.6310679611650486
stoch,0.8,7254,0.09695264965030807,0.009978650984611995,0.07739449372046857,0.11651080558014758,0.604769782189137
atr,1.0,2703,0.12559838808170143,0.018695093029111275,0.08895600574464332,0.16224077041875953,0.563448020717721
bb,1.0,2218,0.16644001826597785,0.020246913650938263,0.12675606751013885,0.20612396902181684,0.5883678990081154
candle,1.0,418,0.15727357907432551,0.04679138672182121,0.06556246109955594,0.2489846970490951,0.5861244019138756
cci,1.0,3894,0.13234518297321304,0.015345533074628291,0.1022679381469416,0.1624224277994845,0.5701078582434514
ema,1.0,1282,0.21357540164419844,0.02580974057773057,0.16298831011184653,0.2641624931765504,0.6131045241809673
ichimoku,1.0,171,0.20075507320978936,0.0625372024065655,0.07818215649292097,0.32332798992665773,0.6081871345029239
macd,1.0,1122,0.23889783199447454,0.027769725494479727,0.18446917002529428,0.2933264939636548,0.6319073083778967
rsi,1.0,2150,0.14038293614531658,0.020509925932247562,0.10018348131811136,0.1805823909725218,0.5748837209302325
sma,1.0,927,0.18981740482950635,0.030093103644865695,0.1308349216855696,0.2487998879734431,0.5879180151024811
stoch,1.0,7254,0.11088179283250697,0.011101288341420927,0.08912326768332196,0.13264031798169199,0.5580369451337194
atr,1.25,2703,0.13097695471560827,0.020815730585275912,0.09017812276846748,0.17177578666274906,0.513133555308916
bb,1.25,2218,0.1784035050019563,0.022429292710084744,0.1344420912901902,0.22236491871372238,0.5464382326420198
candle,1.25,418,0.19367166690081294,0.05176542466214526,0.09221143456300823,0.29513189923861766,0.5598086124401914
cci,1.25,3894,0.13820942871098296,0.016998052642237423,0.10489324553219762,0.1715256118897683,0.5243965074473549
ema,1.25,1282,0.25442026303215803,0.02877251661673304,0.19802613046336126,0.3108143956009548,0.5803432137285491
ichimoku,1.25,171,0.20764353880565867,0.0671479279876995,0.07603359994976763,0.3392534776615497,0.5906432748538012
macd,1.25,1122,0.23151147780193976,0.03135375743324242,0.17005811323278464,0.2929648423710949,0.5739750445632799
rsi,1.25,2150,0.14336115533284613,0.022718724654915635,0.09883245500921148,0.18788985565648078,0.5302325581395348
sma,1.25,927,0.20450275695594541,0.03338885352419013,0.13906060404853277,0.26994490986335806,0.5490830636461704
stoch,1.25,7254,0.12041712150988879,0.01223955309003922,0.09642759745341192,0.14440664556636565,0.5159911772814999
atr,1.5,2703,0.13198031014670641,0.02249245668601539,0.08789509504211625,0.1760655252512966,0.4779874213836478
bb,1.5,2218,0.1631589575530626,0.024089504148145514,0.11594352942269738,0.2103743856834278,0.5094679891794409
candle,1.5,418,0.19304577585807944,0.056022380302635504,0.08324191046491386,0.302849641251245,0.5287081339712919
cci,1.5,3894,0.1281223729600391,0.01818883890666149,0.09247224870298257,0.1637724972170956,0.49229583975346686
ema,1.5,1282,0.2642917001938346,0.031231668305426938,0.20307763031519777,0.3255057700724714,0.5491419656786272
ichimoku,1.5,171,0.2109388792730469,0.07026473539675245,0.07321999789541209,0.34865776065068166,0.5789473684210527
macd,1.5,1122,0.2601886366078605,0.034249614922494044,0.19305939135977218,0.32731788185594884,0.5454545454545454
rsi,1.5,2150,0.15169493605256412,0.024558501834341617,0.10356027245725455,0.1998295996478737,0.5023255813953489
sma,1.5,927,0.21016529807539308,0.03615344739608373,0.13930454117906899,0.2810260549717172,0.517799352750809
stoch,1.5,7254,0.11893987588339792,0.013138690940115633,0.09318804164077128,0.14469171012602455,0.4860766473669699
