strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
cci,CHF_JPY,long,0.3,816,0.04212425465579043,0.018127260074810487,0.006594824909161877,0.07765368440241899,0.8002450980392157
cci,EUR_USD,short,0.3,916,0.03632087788485501,0.01725279213632882,0.0025054052976505245,0.07013635047205949,0.7958515283842795
cci,USD_CAD,long,0.3,447,0.027484741173123075,0.024904067506460438,-0.021327231139539386,0.07629671348578554,0.785234899328859
cci,USD_JPY,long,0.3,597,0.0447211934452724,0.02113360238020105,0.0032993327800783442,0.08614305411046647,0.8023450586264657
ema,CHF_JPY,long,0.3,256,0.09248558555872916,0.029603068339585165,0.03446357161314223,0.15050759950431608,0.8359375
ema,EUR_CAD,long,0.3,395,0.06484086000313885,0.025005747103057734,0.01582959568114569,0.113852124325132,0.8151898734177215
ema,EUR_GBP,short,0.3,348,0.06964078534243899,0.026339951479155365,0.018014480443294477,0.1212670902415835,0.8132183908045977
ema,GBP_CAD,long,0.3,283,0.0657243816254417,0.02975510198352808,0.007404381737726659,0.12404438151315673,0.8197879858657244
ichimoku,USD_SGD,short,0.3,171,0.047252343207839116,0.037503567495196545,-0.026254649082746113,0.12075933549842435,0.7777777777777778
macd,AUD_JPY,long,0.3,203,0.011822660098522158,0.03799324866023648,-0.06264410727554133,0.08628942747258565,0.7783251231527094
macd,CAD_CHF,short,0.3,308,0.09318181818181819,0.027137595833078825,0.03999213034898369,0.14637150601465268,0.8409090909090909
macd,EUR_CHF,short,0.3,255,0.03697735469131765,0.03225712812450988,-0.0262466164327217,0.10020132581535701,0.792156862745098
macd,NZD_JPY,long,0.3,134,0.04776119402985074,0.04457704595972961,-0.0396098160512193,0.13513220411092078,0.8059701492537313
macd,NZD_USD,short,0.3,222,0.05990990990990992,0.03393325000522299,-0.006599260100327131,0.12641907992014698,0.8153153153153153
rsi,CHF_JPY,long,0.3,565,0.05150442477876106,0.021524116314636976,0.009317156802072589,0.09369169275544953,0.8088495575221238
rsi,EUR_GBP,long,0.3,394,0.047060683941558525,0.025470976813552176,-0.002862430613003737,0.0969837984961208,0.7944162436548223
rsi,USD_JPY,long,0.3,1191,0.01729638958858102,0.015545902813335578,-0.013173579925556712,0.04776635910271875,0.7825356842989085
sma,CAD_JPY,long,0.3,257,0.057198443579766535,0.03166532924749725,-0.004865601745328074,0.11926248890486114,0.8132295719844358
sma,EUR_CAD,long,0.3,401,0.0865645421219883,0.02383855256858129,0.03984097908756898,0.13328810515640763,0.830423940149626
sma,EUR_GBP,long,0.3,269,-0.0008052582671243129,0.032236635925767206,-0.06398906468162803,0.062378548147379406,0.7397769516728625
stoch,CAD_CHF,short,0.3,1685,0.05928783382789317,0.012305094948302531,0.03516984772922021,0.08340581992656612,0.8148367952522255
stoch,CHF_JPY,long,0.3,1765,0.019476017995661125,0.012709239856509326,-0.005434092123097152,0.0443861281144194,0.7824362606232295
stoch,EUR_GBP,long,0.3,1920,0.02920093886195965,0.0117986489672559,0.006075586886138084,0.05232629083778122,0.7802083333333333
stoch,USD_JPY,long,0.3,1884,0.009164924707783174,0.012471340574707218,-0.015278902818642973,0.033608752234209324,0.7754777070063694
atr,EUR_NOK,long,0.4,489,0.0688910686527748,0.026863454698166915,0.01623869744436765,0.12154343986118196,0.7607361963190185
atr,NZD_CHF,short,0.4,1139,0.08165057067603161,0.017394998622229416,0.04755637337646196,0.11574476797560126,0.7726075504828798
atr,USD_JPY,long,0.4,1075,0.0007641622125520517,0.019251269309512188,-0.03696832563409184,0.03849665005919594,0.7134883720930233
bb,AUD_CAD,short,0.4,220,0.13909090909090904,0.03683848329998762,0.0668874818229333,0.21129433635888478,0.8136363636363636
bb,CAD_CHF,short,0.4,1061,0.06507355082338867,0.018337748768243827,0.02913156323763077,0.10101553840914657,0.760603204524034
bb,CHF_JPY,long,0.4,295,0.11411431368219223,0.032657690946317874,0.0501052394274092,0.17812338793697524,0.7932203389830509
bb,EUR_CAD,long,0.4,300,0.12119828022372756,0.031815683857865464,0.058839539862311246,0.18355702058514387,0.7966666666666666
bb,USD_JPY,long,0.4,342,0.06432748538011696,0.03236818445324691,0.0008858438517530126,0.1277691269084809,0.7602339181286549
candle,USD_JPY,long,0.4,418,0.04598913475991502,0.029674868273356123,-0.012173607055862977,0.10415187657569303,0.7440191387559809
cci,CAD_CHF,short,0.4,1118,0.09025365142111638,0.017377293971728894,0.05619415523652775,0.12431314760570501,0.778175313059034
cci,CHF_JPY,long,0.4,816,0.06418114305130188,0.020873964254789146,0.023268173111915147,0.1050941129906886,0.7573529411764706
cci,EUR_USD,short,0.4,916,0.0514548411629947,0.019975628913503667,0.012302608492527518,0.09060707383346189,0.75
cci,USD_CAD,long,0.4,447,0.03177501341721002,0.028868144823504697,-0.024806550436859184,0.08835657727127923,0.727069351230425
cci,USD_JPY,long,0.4,597,0.07805452677860572,0.02410837202999998,0.030802117599805758,0.1253069359574057,0.7688442211055276
ema,CHF_JPY,long,0.4,256,0.10498558555872915,0.03554453750901872,0.03531829204105247,0.17465287907640584,0.78515625
ema,EUR_CAD,long,0.4,395,0.08537761723577413,0.029141713584067853,0.028259858611001137,0.1424953758605471,0.769620253164557
ema,EUR_GBP,short,0.4,348,0.12205696688588293,0.029451067949605145,0.06433287370465685,0.179781060067109,0.7902298850574713
ema,GBP_CAD,long,0.4,283,0.10732183329753668,0.03385120554346628,0.04097347043234277,0.1736701961627306,0.7915194346289752
ichimoku,USD_SGD,short,0.4,171,0.06764668386773294,0.04244914348504759,-0.015553637362960324,0.1508470050984262,0.7251461988304093
macd,AUD_JPY,long,0.4,203,0.03448275862068964,0.04326531573296029,-0.050317260215912527,0.11928277745729181,0.7389162561576355
macd,CAD_CHF,short,0.4,308,0.14090909090909087,0.031030046044180644,0.08009020066249681,0.20172798115568494,0.814935064935065
macd,EUR_CHF,short,0.4,255,0.06513942194917148,0.036324612931587986,-0.006056819396740978,0.13633566329508395,0.7529411764705882
macd,NZD_JPY,long,0.4,134,0.07611940298507464,0.051191384576638646,-0.02421571078513711,0.1764545167552864,0.7686567164179104
macd,NZD_USD,short,0.4,222,0.08468468468468467,0.039339437879952095,0.007579386439978561,0.16178998292939079,0.7747747747747747
rsi,CHF_JPY,long,0.4,565,0.07787610619469025,0.024811689662603945,0.02924519445598652,0.12650701793339397,0.7699115044247787
rsi,EUR_GBP,long,0.4,394,0.0814885933391413,0.028615070948626472,0.025403054279833415,0.13757413239844918,0.7588832487309645
rsi,USD_JPY,long,0.4,1191,0.044281253205659295,0.017651449086144713,0.009684412996815661,0.07887809341450293,0.7455919395465995
sma,CAD_JPY,long,0.4,257,0.07315175097276264,0.03701550407567633,0.0006013629844370261,0.14570213896108825,0.7665369649805448
sma,EUR_CAD,long,0.4,401,0.09242953592347244,0.028436900158944907,0.036693211611940425,0.14816586023500447,0.7680798004987531
sma,EUR_GBP,long,0.4,269,0.050484502796825946,0.03506845351840379,-0.018249666099245478,0.11921867169289738,0.7137546468401487
stoch,CAD_CHF,short,0.4,1685,0.07899322391027187,0.01433601538951717,0.05089463374681822,0.10709181407372553,0.770326409495549
stoch,CHF_JPY,long,0.4,1765,0.030198717855775686,0.01464222088561202,0.001499964919976126,0.05889747079157524,0.7331444759206799
stoch,EUR_GBP,long,0.4,1920,0.04658398027215474,0.013475363868229824,0.020172267090424287,0.0729956934538852,0.7322916666666667
stoch,USD_JPY,long,0.4,1884,0.021093699849670564,0.014285800511542707,-0.006906469152953142,0.04909386885229427,0.727176220806794
atr,EUR_NOK,long,0.5,489,0.08465693870339587,0.030267563454300744,0.025332514332966412,0.14398136307382534,0.7198364008179959
atr,NZD_CHF,short,0.5,1139,0.09569798068481124,0.019730007703967895,0.057027165585034165,0.13436879578458832,0.7304653204565408
atr,USD_JPY,long,0.5,1075,0.014833540056903802,0.021298068347155932,-0.026910673903521823,0.056577754017329424,0.6734883720930233
bb,AUD_CAD,short,0.5,220,0.15124247613895053,0.04246191806335224,0.06801711673478014,0.23446783554312092,0.7636363636363637
bb,CAD_CHF,short,0.5,1061,0.08815326912461584,0.020510519902128217,0.047952650116444534,0.12835388813278714,0.7247879359095193
bb,CHF_JPY,long,0.5,295,0.12350932116216937,0.037558294544361964,0.04989506385521991,0.19712357846911882,0.7457627118644068
bb,EUR_CAD,long,0.5,300,0.11157726524382322,0.03717615707160196,0.03871199738348338,0.18444253310416306,0.7333333333333333
bb,USD_JPY,long,0.5,342,0.07429489375219733,0.03660670533898662,0.0025457512877835597,0.1460440362166111,0.716374269005848
candle,USD_JPY,long,0.5,418,0.05933531939228439,0.0332366231458079,-0.005808461973499095,0.12447910075806787,0.7033492822966507
cci,CAD_CHF,short,0.5,1118,0.10853536163440966,0.019659468453788527,0.07000280346498415,0.14706791980383516,0.738819320214669
cci,CHF_JPY,long,0.5,816,0.07835115205297709,0.023523237819702187,0.032245605926360804,0.12445669817959337,0.7156862745098039
cci,EUR_USD,short,0.5,916,0.050018388736846095,0.022634584189965175,0.005654603724514352,0.09438217374917784,0.6986899563318777
cci,USD_CAD,long,0.5,447,0.036050750318560316,0.032381363325916374,-0.02741672180023578,0.09951822243735642,0.680089485458613
cci,USD_JPY,long,0.5,597,0.10971281823589216,0.02693105660401261,0.056927947292027443,0.16249768917975688,0.7386934673366834
ema,CHF_JPY,long,0.5,256,0.1096954248270002,0.040902106983633855,0.029527295139077855,0.18986355451492254,0.734375
ema,EUR_CAD,long,0.5,395,0.08577446888137605,0.03326364972293676,0.02057771542442001,0.1509712223383321,0.7139240506329114
ema,EUR_GBP,short,0.5,348,0.11373701418587363,0.03431766318395873,0.04647439434531453,0.18099963402643274,0.7270114942528736
ema,GBP_CAD,long,0.5,283,0.1279259015440921,0.038284260443156956,0.052888751075504475,0.20296305201267975,0.7491166077738516
ichimoku,USD_SGD,short,0.5,171,0.11248219125609597,0.04648864128397392,0.021364454339507094,0.20359992817268485,0.7076023391812866
macd,AUD_JPY,long,0.5,203,0.0969200489214866,0.04663973061532484,0.005506176915449926,0.18833392092752327,0.729064039408867
macd,CAD_CHF,short,0.5,308,0.1622198504863933,0.03568304131198292,0.0922810895149068,0.23215861145787983,0.7727272727272727
