status,pnl_pct,days_held,symbol,score_date,bh_entry,close_on_score,entry_dist_pct,score
success,1.4999999999999902,1,BCD,2026-02-13,32.58791914269833,,,2.0
success,1.4999999999999902,1,BCHI,2026-02-13,34.23906045635196,,,5.0
no_fill,0.0,0,BCML,2026-02-13,30.175135988199653,,,2.0
time_profit,0.6934851891009508,2,BCUS,2026-02-13,33.283483968263305,,,2.0
no_fill,0.0,0,BCV,2026-02-13,23.21242169389334,,,2.0
no_fill,0.0,0,BDIV,2026-02-13,23.70060130722311,,,2.0
success,2.8037383177569986,1,BDL,2026-02-13,33.20117698317368,,,2.0
no_fill,0.0,0,BDRY,2026-02-13,11.321765080217679,,,5.0
no_fill,0.0,0,BDVG,2026-02-13,13.593876475392333,,,2.0
no_fill,0.0,0,BEDZ,2026-02-13,32.16348483065398,,,2.0
no_fill,0.0,0,BEEZ,2026-02-13,33.90363708307469,,,2.0
success,1.4999999999999902,0,BELFA,2026-02-13,210.45115134850363,,,5.0
no_fill,0.0,0,BFC,2026-02-13,143.836838903183,,,5.0
no_fill,0.0,0,BFOR,2026-02-13,86.82682703049062,,,2.0
no_fill,0.0,0,BFS,2026-02-13,34.07814182781048,,,5.0
time_profit,0.18173276856259246,2,BGIG,2026-02-13,34.30695302445918,,,2.0
no_fill,0.0,0,BGSI,2026-02-13,166.4170751681903,,,2.0
no_fill,0.0,0,BGSF,2026-02-13,5.739873873454396,,,5.0
success,1.4999999999999902,0,BHB,2026-02-13,34.61468850627222,,,5.0
success,1.4999999999999902,1,BHFAL,2026-02-13,17.43149753521794,,,2.0
success,1.4999999999999902,0,BHFAP,2026-02-13,16.370342264580866,,,2.0
success,1.4999999999999902,2,BHFAO,2026-02-13,16.906919353097166,,,2.0
success,1.4999999999999902,2,BHFAM,2026-02-13,12.07351953061476,,,2.0
no_fill,0.0,0,BHRB,2026-02-13,67.46616042951848,,,2.0
success,1.4999999999999902,1,BIDD,2026-02-13,30.791570100023552,,,2.0
time_profit,0.35941469577209784,2,BIBL,2026-02-13,49.77111529737158,,,5.0
no_fill,0.0,0,BIB,2026-02-13,83.23780465012094,,,5.0
no_fill,0.0,0,BILD,2026-02-13,31.11278217705485,,,2.0
no_fill,0.0,0,BKCI,2026-02-13,52.1612154413143,,,2.0
success,2.3294495031038975,0,BKEM,2026-02-13,84.12045644532563,,,5.0
no_fill,0.0,0,BKHA,2026-02-13,11.558939716133446,,,2.0
