status,pnl_pct,days_held,symbol,score_date,bh_entry
time_profit,1.650165016501659,6,GUG,2026-03-16,15.188259548933047
time_loss,-0.5120581433762816,6,BHF,2026-03-16,59.609172746612614
success,3.0927835051546504,3,BMEZ,2026-03-16,14.013435997012834
success,3.0927835051546504,3,MAA,2026-03-16,124.98568356677389
stopped_out,-3.8461538461538547,2,SAR,2026-03-16,21.621999801604424
time_loss,-0.28169014084508115,6,POLE,2026-03-16,10.60969535914237
time_profit,0.9724473257698651,6,AGNCP,2026-03-16,24.80083546464671
time_profit,0.4251872848754834,6,AGNCM,2026-03-16,24.770670910185352
time_loss,-0.13901760889710735,6,AL,2026-03-16,64.53229913831568
no_fill,0.0,0,HDL,2026-03-17,15.706892659135624
success,3.092783505154628,2,UZF,2026-03-17,18.024298405698108
success,3.092783505154628,2,UZE,2026-03-17,17.98489876168777
success,3.092783505154628,2,MLP,2026-03-17,15.76650777787117
time_profit,1.8518518518518379,6,TBB,2026-03-17,21.921206564402762
time_profit,1.009676062263365,6,OXLCL,2026-03-17,23.714215777276355
time_loss,-1.6041012072101846,6,BHF,2026-03-17,59.28312469328314
time_profit,1.0627530364372362,6,SFB,2026-03-17,19.89507589211062
time_profit,2.0559821649740018,6,EAI,2026-03-17,20.49640280937146
success,3.0927835051546504,6,UZD,2026-03-17,20.207980109553322
success,3.0927835051546504,6,ESS,2026-03-18,243.8755901327968
time_profit,2.459533319318896,6,PG,2026-03-18,145.10524844664874
time_loss,-0.9336445481827216,6,BHF,2026-03-18,59.104739358048626
success,3.0927835051546504,3,MSFT,2026-03-18,388.6514505485342
time_loss,-0.09633911368015502,6,ACGL,2026-03-18,91.85777636689538
time_profit,0.6797281087564944,6,HCXY,2026-03-18,25.105435025553554
success,3.092783505154628,1,UDR,2026-03-18,34.912314671216095
time_profit,2.2237196765498624,6,GUG,2026-03-18,15.052223794743291
stopped_out,-3.8461538461538436,4,SNY,2026-03-18,43.40634725823831
success,3.1332615294232813,3,MCD,2026-03-18,312.95158650085114
time_loss,-0.3781228899392364,6,AIG,2026-03-19,73.26668618638531
time_profit,2.4451587907134753,6,SOJE,2026-03-19,17.405432478542217
time_profit,1.430907604251841,6,CPT,2026-03-19,98.88365827732683
success,3.092783505154628,5,NMAI,2026-03-19,12.393048397551034
time_loss,-2.0189775529824816,6,UNP,2026-03-19,231.4161584011048
time_loss,-0.05662802021016988,6,AMH,2026-03-19,27.9141837939553
time_loss,-0.3740088764773386,6,AXS,2026-03-19,98.58995174525016
stopped_out,-3.8461538461538547,6,UVV,2026-03-19,51.23203655216012
success,3.4061524743646876,2,NTES,2026-03-19,115.35622592302764
time_loss,0.0,0,TGNA,2026-03-19,19.887879242909065
time_loss,-0.2939604489577752,6,PECO,2026-03-20,36.443414751903894
success,3.0927835051546504,1,FCPT,2026-03-20,24.010417456347373
time_loss,-1.4519906323185117,6,BATRK,2026-03-20,40.984549742857375
time_loss,-2.0818355640535358,6,FRMEP,2026-03-20,25.376951767899214
time_loss,-0.08375209380234727,6,SEMR,2026-03-20,11.91594587549559
time_loss,-1.7339939024390127,6,NTB,2026-03-20,50.2291227298972
time_loss,-0.19329896907216426,6,AAUC,2026-03-20,30.3781226977783
time_profit,1.4267990074441794,6,WAFDP,2026-03-20,16.135465060055807
success,3.0927835051546504,2,NTST,2026-03-20,18.712459833466728
time_loss,-1.579778830963663,6,GBDC,2026-03-20,12.248078095634249
success,3.1403651115618603,6,AGNCN,2026-03-23,25.339548695669947
time_loss,-1.7187500000000022,6,RFMZ,2026-03-23,12.520025733309856
success,3.092783505154628,5,SOJC,2026-03-23,21.08227926182098
stopped_out,-4.818523153942422,1,BHFAP,2026-03-23,15.038594797705638
time_loss,-0.7262341901264846,6,MAA,2026-03-23,121.45130808095348
time_loss,-1.6979987871437285,6,AVB,2026-03-23,161.9371294859167
time_profit,0.38296568627451677,6,WRB,2026-03-23,65.02039026161152
time_profit,1.3389941214892342,6,EPRT,2026-03-23,30.967869771978588
time_loss,-2.925493586972183,6,WPC,2026-03-23,66.90466112642085
time_loss,-1.8572469045884943,6,VICI,2026-03-23,26.73307733158974
time_loss,-0.453195811845597,6,ELS,2026-03-24,62.70178453906005
time_profit,0.3116703220593431,6,MDT,2026-03-24,85.91333880124824
time_loss,-1.2084592145015005,6,HLN,2026-03-24,9.582006497759291
time_loss,-2.163624070317771,6,ESNT,2026-03-24,56.9716235822717
