tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
128,-0.04691512414028326,0.08531533400988804,-0.21413317879966381,0.1203029305190973,56,0.20225412569326426,0.13024701242112638,-0.053030018652143435,0.457538270038672,EUR_USD,18,39,5,zero_cross,long,184
128,0.010443231514265405,0.085304195280916,-0.15675299123632994,0.17763945426486075,55,-0.13560536229907877,0.13145237209778232,-0.3932520116107321,0.12204128701257455,EUR_USD,18,39,5,zero_cross,short,183
349,0.062204720131070826,0.051331738843835864,-0.03840548800284746,0.1628149282649891,150,-0.0030028157700995924,0.08008600064753237,-0.159971377039263,0.15396574549906383,EUR_USD,18,39,9,signal_cross,long,499
349,-0.0499487594042061,0.05215376496551409,-0.15217013873661372,0.052272619928201515,150,-0.0018607264810516593,0.07955477986044726,-0.15778809500752827,0.15406664204542497,EUR_USD,18,39,9,signal_cross,short,499
128,-0.04691512414028326,0.08531533400988804,-0.21413317879966381,0.1203029305190973,56,0.20225412569326426,0.13024701242112638,-0.053030018652143435,0.457538270038672,EUR_USD,18,39,9,zero_cross,long,184
128,0.010443231514265405,0.085304195280916,-0.15675299123632994,0.17763945426486075,55,-0.13560536229907877,0.13145237209778232,-0.3932520116107321,0.12204128701257455,EUR_USD,18,39,9,zero_cross,short,183
305,0.09616870784124504,0.05467407117500217,-0.01099247166175922,0.20332988734424928,131,-0.014078819498433481,0.0852429357892187,-0.18115497364530211,0.15299733464843515,EUR_USD,18,39,13,signal_cross,long,436
304,-0.07335536272021695,0.05562080533345371,-0.18237214117378622,0.035661415733352325,131,0.04919559473658693,0.084693154289037,-0.11680298766992556,0.21519417714309944,EUR_USD,18,39,13,signal_cross,short,435
128,-0.04691512414028326,0.08531533400988804,-0.21413317879966381,0.1203029305190973,56,0.20225412569326426,0.13024701242112638,-0.053030018652143435,0.457538270038672,EUR_USD,18,39,13,zero_cross,long,184
128,0.010443231514265405,0.085304195280916,-0.15675299123632994,0.17763945426486075,55,-0.13560536229907877,0.13145237209778232,-0.3932520116107321,0.12204128701257455,EUR_USD,18,39,13,zero_cross,short,183
389,0.10166655260134345,0.04871628076717569,0.006182642297679106,0.19715046290500782,167,0.02254814083265352,0.07629217519124322,-0.12698452254218318,0.17208080420749022,EUR_USD,24,52,5,signal_cross,long,556
388,-0.03164875826781587,0.04939721340030644,-0.1284672965324165,0.06516977999678475,167,0.01388091036652366,0.07562783754134728,-0.134349651214517,0.16211147194756434,EUR_USD,24,52,5,signal_cross,short,555
107,-0.08858047880611684,0.09174553885889097,-0.26840173496954317,0.09124077735730947,46,0.1682982996357882,0.14411107871502624,-0.11415941464566323,0.45075601391723963,EUR_USD,24,52,5,zero_cross,long,153
106,-0.007417157323761413,0.09394944240770592,-0.19155806444286502,0.1767237497953422,46,-0.13715536059673983,0.14680485117886458,-0.42489286890731437,0.1505821477138347,EUR_USD,24,52,5,zero_cross,short,152
293,0.09178431037263063,0.05592280142887741,-0.01782438042796909,0.20139300117323033,126,-0.010813996997587508,0.08676451447572305,-0.18087244537000466,0.15924445137482965,EUR_USD,24,52,9,signal_cross,long,419
292,-0.057325809129783696,0.05659904819720051,-0.1682599435962967,0.0536083253367293,126,0.09203025959889871,0.08562345378922233,-0.07579170982797706,0.2598522290257745,EUR_USD,24,52,9,signal_cross,short,418
107,-0.08858047880611684,0.09174553885889097,-0.26840173496954317,0.09124077735730947,46,0.1682982996357882,0.14411107871502624,-0.11415941464566323,0.45075601391723963,EUR_USD,24,52,9,zero_cross,long,153
106,-0.007417157323761413,0.09394944240770592,-0.19155806444286502,0.1767237497953422,46,-0.13715536059673983,0.14680485117886458,-0.42489286890731437,0.1505821477138347,EUR_USD,24,52,9,zero_cross,short,152
250,0.059653149705882834,0.06133269099287733,-0.060558924640156726,0.1798652240519224,108,0.01970870284374839,0.09507986856878795,-0.16664783955107598,0.20606524523857278,EUR_USD,24,52,13,signal_cross,long,358
249,-0.043554425697778974,0.06118967023286757,-0.1634861793541994,0.07637732795864147,108,0.08793377586313819,0.09239189800507244,-0.0931543442268038,0.2690218959530802,EUR_USD,24,52,13,signal_cross,short,357
107,-0.08858047880611684,0.09174553885889097,-0.26840173496954317,0.09124077735730947,46,0.1682982996357882,0.14411107871502624,-0.11415941464566323,0.45075601391723963,EUR_USD,24,52,13,zero_cross,long,153
