tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
70,-0.0761938905492234,0.11559201274201912,-0.3027542355235809,0.15036645442513408,30,0.1057902966667094,0.18160974699105464,-0.2501648074357577,0.46174540076917653,EUR_USD,18,39,13,zero_cross,long,100
77,0.060007412950212335,0.11220184488868454,-0.15990820303160935,0.279923028932034,33,-0.15151515151515152,0.17473579688895144,-0.4939973134174963,0.1909670103871933,EUR_USD,18,39,13,zero_cross,short,110
243,0.144910779262912,0.06177955218712407,0.023822856976148818,0.26599870154967514,105,0.09813974032855237,0.09587583999250024,-0.08977690605674811,0.28605638671385286,EUR_USD,24,52,5,signal_cross,long,348
235,-0.02783031381805168,0.06407762285265015,-0.15342245460924597,0.09776182697314262,101,0.042642367831743945,0.09683523600569752,-0.1471546947394232,0.23243943040291107,EUR_USD,24,52,5,signal_cross,short,336
58,-0.049300866705021866,0.12482101865768198,-0.2939500632740785,0.1953483298640348,25,0.20992275148587677,0.1977528403044133,-0.17767281551077332,0.5975183184825269,EUR_USD,24,52,5,zero_cross,long,83
58,0.0919771136321576,0.1256551065424033,-0.15430689519095286,0.33826112245526807,26,0.19750816955547915,0.19086953140867527,-0.17659611200552436,0.5716124511164826,EUR_USD,24,52,5,zero_cross,short,84
177,0.14282763852212327,0.07144704257324166,0.002791435078569604,0.28286384196567693,76,0.05513295022804831,0.11321768873178746,-0.1667737196862551,0.27703962014235173,EUR_USD,24,52,9,signal_cross,long,253
178,-0.001553963999124581,0.0732366891445097,-0.1450978747223636,0.14198994672411444,77,-0.011593983858046743,0.10992350976278781,-0.22704406299311083,0.20385609527701734,EUR_USD,24,52,9,signal_cross,short,255
58,-0.049300866705021866,0.12482101865768198,-0.2939500632740785,0.1953483298640348,25,0.20992275148587677,0.1977528403044133,-0.17767281551077332,0.5975183184825269,EUR_USD,24,52,9,zero_cross,long,83
58,0.0919771136321576,0.1256551065424033,-0.15430689519095286,0.33826112245526807,26,0.19750816955547915,0.19086953140867527,-0.17659611200552436,0.5716124511164826,EUR_USD,24,52,9,zero_cross,short,84
157,0.025424346822732764,0.07755445351190936,-0.1265823820606096,0.1774310757060751,68,0.029411764705882353,0.12211659146853804,-0.2099367545724522,0.2687602839842169,EUR_USD,24,52,13,signal_cross,long,225
145,0.010311133704911095,0.08120071225589183,-0.1488422623166369,0.1694645297264591,63,0.04181611979258311,0.12305725660846126,-0.19937610316000093,0.2830083427451672,EUR_USD,24,52,13,signal_cross,short,208
58,-0.049300866705021866,0.12482101865768198,-0.2939500632740785,0.1953483298640348,25,0.20992275148587677,0.1977528403044133,-0.17767281551077332,0.5975183184825269,EUR_USD,24,52,13,zero_cross,long,83
