tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
98,-0.02000450413242878,0.09778043099282446,-0.2116541488783647,0.17164514061350716,42,0.12296660217732598,0.15186401819650244,-0.1746868734878188,0.42062007784247074,EUR_USD,18,39,9,signal_cross,short,140
43,0.041544213315331244,0.15244665720606213,-0.2572512348085505,0.340339661439213,19,0.5484997578895449,0.1908849096658601,0.17436533494445905,0.9226341808346307,EUR_USD,18,39,9,zero_cross,long,62
44,-0.03735869443143147,0.14618775999056324,-0.3238867040129354,0.24916931515007246,19,-0.09818132824391786,0.2283615240200591,-0.5457699153232337,0.34940725883539797,EUR_USD,18,39,9,zero_cross,short,63
100,0.12824476150977562,0.09677909600703535,-0.06144226666401367,0.31793178968356495,44,0.01823508951083881,0.15079850378826087,-0.27732997791415254,0.31380015693583013,EUR_USD,18,39,13,signal_cross,long,144
91,-0.08757670401990697,0.10048079486428034,-0.2845190619538964,0.10936565391408248,39,0.45321744425627597,0.14250145487683813,0.17391459269767323,0.7325202958148787,EUR_USD,18,39,13,signal_cross,short,130
43,0.041544213315331244,0.15244665720606213,-0.2572512348085505,0.340339661439213,19,0.5484997578895449,0.1908849096658601,0.17436533494445905,0.9226341808346307,EUR_USD,18,39,13,zero_cross,long,62
44,-0.03735869443143147,0.14618775999056324,-0.3238867040129354,0.24916931515007246,19,-0.09818132824391786,0.2283615240200591,-0.5457699153232337,0.34940725883539797,EUR_USD,18,39,13,zero_cross,short,63
107,0.056356168672413574,0.09234297607703308,-0.12463606443857125,0.23734840178339842,46,-0.026036001337458526,0.14745487436116922,-0.3150475550853502,0.26297555241043313,EUR_USD,24,52,5,signal_cross,long,153
102,-0.11851292380411502,0.09579853773827705,-0.30627805777113803,0.069252210162908,44,0.3001564003388681,0.14237282742227025,0.02110565859121838,0.5792071420865178,EUR_USD,24,52,5,signal_cross,short,146
39,0.15117473945875431,0.15459117552349017,-0.15182396456728642,0.45417344348479505,18,0.14476640244651204,0.22732836728330102,-0.300797197428758,0.590330002321782,EUR_USD,24,52,5,zero_cross,long,57
41,-0.04968941748509724,0.14979932970125528,-0.3432961036995576,0.2439172687293631,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,EUR_USD,24,52,5,zero_cross,short,59
89,0.019946333794669237,0.1050162816335949,-0.18588557820717677,0.22577824579651523,39,0.004127451455569125,0.1601813394142517,-0.3098279737963642,0.31808287670750246,EUR_USD,24,52,9,signal_cross,long,128
87,-0.16051154132044518,0.10242063126026868,-0.3612559785905718,0.040232895949681435,38,0.24475300544083275,0.15543607346755275,-0.05990169855557062,0.5494077094372362,EUR_USD,24,52,9,signal_cross,short,125
39,0.15117473945875431,0.15459117552349017,-0.15182396456728642,0.45417344348479505,18,0.14476640244651204,0.22732836728330102,-0.300797197428758,0.590330002321782,EUR_USD,24,52,9,zero_cross,long,57
41,-0.04968941748509724,0.14979932970125528,-0.3432961036995576,0.2439172687293631,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,EUR_USD,24,52,9,zero_cross,short,59
73,0.1370613832057791,0.1127087818513628,-0.08384782922289197,0.35797059563445016,32,0.0625,0.17925416718060672,-0.2888381676739892,0.4138381676739892,EUR_USD,24,52,13,signal_cross,long,105
81,0.03345822753531241,0.10931690849524052,-0.180802913115359,0.24771936818598383,36,0.06382527112597998,0.16377591210316703,-0.2571755165962274,0.3848260588481873,EUR_USD,24,52,13,signal_cross,short,117
39,0.15117473945875431,0.15459117552349017,-0.15182396456728642,0.45417344348479505,18,0.14476640244651204,0.22732836728330102,-0.300797197428758,0.590330002321782,EUR_USD,24,52,13,zero_cross,long,57
41,-0.04968941748509724,0.14979932970125528,-0.3432961036995576,0.2439172687293631,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,EUR_USD,24,52,13,zero_cross,short,59
207,-0.07174122516516895,0.06898529066690103,-0.20695239487229497,0.06346994454195706,89,-0.005856655844768053,0.10528053105602193,-0.21220649671457104,0.20049318502503494,GBP_USD,6,13,5,signal_cross,long,296
207,-0.10324101764215851,0.06873244014708238,-0.23795660033043997,0.03147456504612295,90,0.04136096239940436,0.10323958040847589,-0.16098861520120838,0.24371054000001707,GBP_USD,6,13,5,signal_cross,short,297
90,-0.05453914603400604,0.1049320143159014,-0.2602058940931728,0.15112760202516073,39,-0.32800751814037793,0.14953492345481745,-0.6210959681118201,-0.03491906816893575,GBP_USD,6,13,5,zero_cross,long,129
100,-0.08543915340505791,0.09945376443315665,-0.28036853169404496,0.10949022488392914,44,0.014757962089636928,0.14770920458390172,-0.27475207889481046,0.3042680030740843,GBP_USD,6,13,5,zero_cross,short,144
176,-0.1151059246987328,0.07455877695151224,-0.26124112752369677,0.031029278126231172,76,-0.19017745798385038,0.11123750523565026,-0.4082029682457249,0.027848052278024116,GBP_USD,6,13,9,signal_cross,long,252
165,-0.14009903048715677,0.0767582862677782,-0.29054527157200205,0.010347210597688505,72,-0.03355969854510136,0.11487929568519108,-0.25872311808807585,0.19160372099787315,GBP_USD,6,13,9,signal_cross,short,237
