date,symbol,strategy,score,ml_prob,entry,stop_loss,take_profit,exit_price,exit_date,days_held,status,outcome,profit_loss
2025-08-13,RPV,baseline,8.0,0.7690267015034074,93.5818,,,94.3809,2025-08-19 00:00:00,3,closed_profit,WIN,0.85
2025-08-13,IUSV,baseline,8.0,0.7690267015034074,96.7514,,,96.7811,2025-08-19 00:00:00,3,closed_profit,WIN,0.03
2025-08-13,SSNC,baseline,8.0,0.42943389240065627,86.9284,,,87.316,2025-08-19 00:00:00,3,closed_profit,WIN,0.45
2025-08-13,VTV,baseline,8.0,0.7690267015034074,178.1743,,,179.2929,2025-08-19 00:00:00,3,closed_profit,WIN,0.63
2025-08-13,EWU,baseline,8.0,0.7690267015034074,40.509508001639325,,,40.5041,2025-08-19 00:00:00,3,closed_loss,LOSS,-0.01
2025-08-13,DVY,baseline,8.0,0.7690267015034074,135.6348,,,136.2816,2025-08-19 00:00:00,3,closed_profit,WIN,0.48
2025-08-13,AEP,baseline,8.0,0.773472440956984,111.91240698164093,,,111.7935,2025-08-19 00:00:00,3,closed_loss,LOSS,-0.11
2024-04-02,HTHT,baseline,6.0,0.593508624282099,36.5515,,,37.7135,2024-04-08 00:00:00,3,closed_profit,WIN,3.18
2024-04-02,DFAE,baseline,6.0,0.7225896041575285,23.6976,,,23.9269,2024-04-08 00:00:00,3,closed_profit,WIN,0.97
2024-04-02,HDEF,baseline,5.0,0.6793250985828613,22.6834,,,22.5631,2024-04-10 00:00:00,3,closed_loss,LOSS,-0.53
2024-04-02,JPC,baseline,5.0,0.6793250985828613,5.9697914944134265,,,5.9676,2024-04-08 00:00:00,3,closed_loss,LOSS,-0.04
2024-04-02,DOG,baseline,5.0,0.7345215182916616,26.545226933897528,,,26.8144,2024-04-08 00:00:00,3,closed_profit,WIN,1.01
2024-04-02,ARCC,baseline,5.0,0.4900606153538978,17.45751322653644,,,17.5532,2024-04-08 00:00:00,3,closed_profit,WIN,0.55
2024-04-02,CGBD,baseline,5.0,0.38023925134508274,13.219180034247799,,,13.5582,2024-04-11 00:00:00,3,closed_profit,WIN,2.56
2024-04-02,DCI,baseline,5.0,0.3278488577019303,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-04-02,PBR,baseline,5.0,0.697287793612695,12.64074513412952,,,12.7742,2024-04-08 00:00:00,3,closed_profit,WIN,1.06
2024-04-02,PDO,baseline,5.0,0.6793250985828613,10.686271642756015,,,10.5992,2024-04-11 00:00:00,3,closed_loss,LOSS,-0.81
2025-01-27,FOXA,baseline,8.0,0.6130437801615788,49.49661235818676,,,50.6996,2025-01-31 00:00:00,3,closed_profit,WIN,2.43
2025-01-27,RITM,baseline,7.0,0.3849129656815036,10.3825,,,10.5381,2025-01-31 00:00:00,3,closed_profit,WIN,1.5
2025-01-27,HG,baseline,7.0,0.4394382862111079,19.63678842597533,,,19.13,2025-01-31 00:00:00,3,closed_loss,LOSS,-2.58
2025-01-27,AGNC,baseline,7.0,0.35314501105299984,8.3728,,,8.773402009648146,2025-01-31 00:00:00,3,success,WIN,4.78
2025-01-27,FAS,baseline,7.0,0.7770249420613108,163.62571802704733,,,165.2067,2025-01-31 00:00:00,3,closed_profit,WIN,0.97
2025-01-27,DVY,baseline,7.0,0.7770249420613108,130.81280100515198,,,129.7893,2025-01-31 00:00:00,3,closed_loss,LOSS,-0.78
2025-01-27,MSD,baseline,7.0,0.7770249420613108,7.2667751303152235,,,7.298,2025-01-31 00:00:00,3,closed_profit,WIN,0.43
2025-01-27,OXM,baseline,6.0,0.3552576823060257,79.70657718907339,,,78.4649,2025-01-31 00:00:00,3,closed_loss,LOSS,-1.56
2025-01-27,MMU,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-01-27,VFLO,baseline,6.0,0.7225896041575285,35.33048044702988,,,34.9115,2025-01-31 00:00:00,3,closed_loss,LOSS,-1.19
2024-10-22,IHG,baseline,7.0,0.5926745749363143,110.7026,,,109.090523,2024-10-24 00:00:00,1,stopped_out,LOSS,-1.46
2024-10-22,ISD,baseline,7.0,0.7770249420613108,12.499912150620833,,,12.4867,2024-10-28 00:00:00,3,closed_loss,LOSS,-0.11
2024-10-22,BST,baseline,6.0,0.7225896041575285,32.5178222198918,,,32.1029,2024-10-28 00:00:00,3,closed_loss,LOSS,-1.28
2024-10-22,MNDY,baseline,6.0,0.7225896041575285,286.6886746798506,,,297.35,2024-10-28 00:00:00,3,closed_profit,WIN,3.72
2024-10-22,HBAN,baseline,6.0,0.5502049839812981,14.698954243488787,,,15.0358,2024-10-28 00:00:00,3,closed_profit,WIN,2.29
2024-10-22,AOD,baseline,6.0,0.7225896041575285,7.634715672242177,,,7.6148,2024-10-28 00:00:00,3,closed_loss,LOSS,-0.26
2024-10-22,YOU,baseline,6.0,0.32948788714782606,34.95256385300403,,,34.9829,2024-10-28 00:00:00,3,closed_profit,WIN,0.09
2024-10-22,NCLH,baseline,6.0,0.3687438847172409,23.54,,,23.8,2024-10-28 00:00:00,3,closed_profit,WIN,1.1
2024-10-22,PB,baseline,6.0,0.3042242465166883,69.12629310779853,,,71.1264,2024-10-28 00:00:00,3,closed_profit,WIN,2.89
2024-10-22,MSFU,baseline,6.0,0.7871406943831056,38.07190747570165,,,38.2729,2024-10-28 00:00:00,3,closed_profit,WIN,0.53
2024-06-22,SCI,baseline,8.0,0.5408138017797944,71.29734506497269,,,70.0684,2024-06-27 00:00:00,3,closed_loss,LOSS,-1.72
2024-06-22,CVLT,baseline,8.0,0.39820855863170296,119.13086851139361,,,120.02,2024-06-27 00:00:00,3,closed_profit,WIN,0.75
2024-06-22,GOOGL,baseline,8.0,0.6606413697403428,177.81280941122793,,,184.2186,2024-06-27 00:00:00,3,closed_profit,WIN,3.6
2024-06-22,LHX,baseline,7.0,0.7582820907563367,218.50749928646914,,,218.2036,2024-06-28 00:00:00,3,closed_loss,LOSS,-0.14
2024-06-22,ASC,baseline,7.0,0.5962874159936894,20.869911210675866,,,21.3384,2024-06-27 00:00:00,3,closed_profit,WIN,2.24
2024-06-22,ETV,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-06-22,SPTM,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-06-22,GOF,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-06-22,XCEM,baseline,6.0,0.7225896041575285,29.7931,,,29.9863,2024-06-27 00:00:00,3,closed_profit,WIN,0.65
2024-06-22,PG,baseline,6.0,0.6123231698775503,161.27498645306676,,,160.4072,2024-06-27 00:00:00,3,closed_loss,LOSS,-0.54
2024-01-27,ACT,baseline,8.0,0.40258048826716913,27.12041184553777,,,26.9723,2024-02-01 00:00:00,3,closed_loss,LOSS,-0.55
2024-01-27,FBP,baseline,7.0,0.3129592560612811,15.974216952996814,,,15.11191191246018,2024-02-01 00:00:00,1,stopped_out,LOSS,-5.4
2024-01-27,IWMY,baseline,7.0,0.7770249420613108,16.412479354070328,,,16.1892,2024-02-05 00:00:00,3,closed_loss,LOSS,-1.36
2024-01-27,WMG,baseline,7.0,0.4849149505446653,35.42149003542855,,,35.4658,2024-02-01 00:00:00,3,closed_profit,WIN,0.13
2024-01-27,EWQ,baseline,7.0,0.7770249420613108,36.7045,,,36.7706,2024-02-01 00:00:00,3,closed_profit,WIN,0.18
2024-01-27,CGBD,baseline,7.0,0.3813329489633503,12.417847605134215,,,12.037745064177672,2024-02-01 00:00:00,3,stopped_out,LOSS,-3.06
2024-01-27,VFH,baseline,7.0,0.7770249420613108,90.56179407459904,,,90.7563,2024-02-01 00:00:00,3,closed_profit,WIN,0.21
2024-01-27,THR,baseline,7.0,0.3832976961348091,29.46,,,29.46,2024-02-01 00:00:00,0,stopped_out,LOSS,0.0
2024-01-27,RGA,baseline,7.0,0.493936714037162,164.3397,,,165.7865,2024-02-01 00:00:00,3,closed_profit,WIN,0.88
2024-01-27,ELAN,baseline,7.0,0.39294265318057175,15.086293852523426,,,14.79,2024-02-01 00:00:00,3,closed_loss,LOSS,-1.96
2024-12-16,CAKE,baseline,8.5,0.31473719628069885,50.00232807529171,,,46.39395094114636,2024-12-18 00:00:00,1,stopped_out,LOSS,-7.22
2024-12-16,VNO,baseline,8.0,0.34645903333092837,43.6378,,,40.780653384045664,2024-12-18 00:00:00,1,stopped_out,LOSS,-6.55
2024-12-16,APPF,baseline,7.0,0.4246964164325201,262.2647579749641,,,246.33447468705117,2024-12-20 00:00:00,3,stopped_out,LOSS,-6.07
2024-12-16,DB,baseline,7.0,0.6705221988579635,17.2738,,,16.71124506225093,2024-12-18 00:00:00,1,stopped_out,LOSS,-3.26
2024-12-16,APH,baseline,7.0,0.5908033232429637,74.32744713470164,,,70.582539,2024-12-18 00:00:00,1,stopped_out,LOSS,-5.04
2024-12-16,NFBK,baseline,7.0,0.3082348242477414,12.546283647388986,,,11.557095592362307,2024-12-18 00:00:00,1,stopped_out,LOSS,-7.88
2024-12-16,QDPL,baseline,7.0,0.7770249420613108,37.3839,,,36.684749000000004,2024-12-18 00:00:00,1,stopped_out,LOSS,-1.87
2024-12-16,XAR,baseline,7.0,0.7770249420613108,169.2787,,,162.6444805,2024-12-18 00:00:00,1,stopped_out,LOSS,-3.92
2024-12-16,SPMO,baseline,7.0,0.7770249420613108,96.947,,,94.97691350437049,2024-12-18 00:00:00,1,stopped_out,LOSS,-2.03
2024-12-16,JPC,baseline,6.0,0.7225896041575285,7.244052880077655,,,7.102835,2024-12-18 00:00:00,1,stopped_out,LOSS,-1.95
2025-05-09,BIT,baseline,8.0,0.7690267015034074,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,CHWY,baseline,8.0,0.45602156928891624,39.26555903171595,,,41.47,2025-05-15 00:00:00,3,closed_profit,WIN,5.61
2025-05-09,BCS,baseline,7.0,0.6894835322155748,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,MT,baseline,7.0,0.4853176307954865,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,EWI,baseline,7.0,0.7770249420613108,44.306890354295795,,,45.1425,2025-05-15 00:00:00,3,closed_profit,WIN,1.89
2025-05-09,AWF,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,PLTM,baseline,7.0,0.7770249420613108,9.46,,,9.59,2025-05-15 00:00:00,3,closed_profit,WIN,1.37
2025-05-09,ACWX,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,AAXJ,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-05-09,XCEM,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-07-17,PAYX,baseline,7.0,0.5165426918075704,119.9767,,,118.2184,2024-07-23 00:00:00,3,closed_loss,LOSS,-1.47
2024-07-17,AMCR,baseline,7.0,0.6955604369930245,47.50330691814014,,,46.4655,2024-07-23 00:00:00,3,closed_loss,LOSS,-2.18
2024-07-17,AJG,baseline,6.0,0.5956595712151084,266.88411033559714,,,269.714,2024-07-23 00:00:00,3,closed_profit,WIN,1.06
2024-07-17,VOD,baseline,6.0,0.6172490078149763,8.468489002698014,,,8.4325,2024-07-23 00:00:00,3,closed_loss,LOSS,-0.42
2024-07-17,IWR,baseline,6.0,0.7225896041575285,82.46421571664989,,,82.3146,2024-07-23 00:00:00,3,closed_loss,LOSS,-0.18
2024-07-17,ARCC,baseline,6.0,0.48944799861905536,18.34957382723566,,,18.2314,2024-07-23 00:00:00,3,closed_loss,LOSS,-0.64
2024-07-17,FFC,baseline,6.0,0.7225896041575285,13.32070649900374,,,13.3355,2024-07-24 00:00:00,3,closed_profit,WIN,0.11
2024-07-17,ADT,baseline,6.0,0.28628172274433333,7.355772489869426,,,7.4949,2024-07-23 00:00:00,3,closed_profit,WIN,1.89
2024-07-17,CPB,baseline,6.0,0.6780963353563646,44.3411,,,42.68544006274464,2024-07-23 00:00:00,3,stopped_out,LOSS,-3.73
