symbol,issue
CGCTW,SPIKE: 1 days with >50% move
CHACR,SPIKE: 1 days with >50% move
CHAI,SPIKE: 1 days with >50% move
CHEK,SPIKE: 1 days with >50% move
CHR,SPIKE: 2 days with >50% move
CIGL,SPIKE: 2 days with >50% move
LMNX,SPIKE: 2 days with >50% move
LMNX,GAPS: Missing 1115 business days (91.8% of range)
CINGW,SPIKE: 1 days with >50% move
CISS,SPIKE: 2 days with >50% move
CLINW,SPIKE: 2 days with >50% move
CLPT,SPIKE: 1 days with >50% move
CLXT,SPIKE: 2 days with >50% move
CMBM,SPIKE: 2 days with >50% move
CMCT,SPIKE: 2 days with >50% move
CMMB,SPIKE: 1 days with >50% move
CMND,SPIKE: 1 days with >50% move
CMRX,SPIKE: 2 days with >50% move
FOFO,SPIKE: 2 days with >50% move
CNCK,SPIKE: 1 days with >50% move
CNCKW,SPIKE: 1 days with >50% move
CNF,SPIKE: 1 days with >50% move
COCH,SPIKE: 1 days with >50% move
COCHW,SPIKE: 1 days with >50% move
CODX,SPIKE: 5 days with >50% move
COEPW,SPIKE: 1 days with >50% move
COGT,SPIKE: 1 days with >50% move
COLAR,SPIKE: 1 days with >50% move
COOT,SPIKE: 1 days with >50% move
COOTW,SPIKE: 2 days with >50% move
CPAAW,SPIKE: 2 days with >50% move
CPAC,SPIKE: 1 days with >50% move
CPOP,SPIKE: 1 days with >50% move
THH,SPIKE: 2 days with >50% move
CRESW,SPIKE: 2 days with >50% move
CREVW,SPIKE: 3 days with >50% move
SNDX,SPIKE: 1 days with >50% move
CRML,SPIKE: 1 days with >50% move
CRMLW,SPIKE: 3 days with >50% move
QNRX,SPIKE: 1 days with >50% move
CSLMF,SPIKE: 4 days with >50% move
NCEW,SPIKE: 1 days with >50% move
MLTX,SPIKE: 1 days with >50% move
INBS,SPIKE: 2 days with >50% move
MTDR,SPIKE: 1 days with >50% move
CUPR,SPIKE: 1 days with >50% move
CURX,SPIKE: 1 days with >50% move
CVIIW,SPIKE: 1 days with >50% move
CWD,SPIKE: 2 days with >50% move
DD,SPIKE: 1 days with >50% move
CYCN,SPIKE: 7 days with >50% move
CYCUW,SPIKE: 4 days with >50% move
CYPH,SPIKE: 2 days with >50% move
DALN,SPIKE: 1 days with >50% move
DBTX,SPIKE: 1 days with >50% move
DCPH,SPIKE: 1 days with >50% move
DCPH,GAPS: Missing 22 business days (18.0% of range)
DCX,SPIKE: 4 days with >50% move
DDD,SPIKE: 2 days with >50% move
DENN,SPIKE: 3 days with >50% move
STNG,SPIKE: 1 days with >50% move
GWAV,SPIKE: 2 days with >50% move
DFLI,SPIKE: 3 days with >50% move
DFLIW,SPIKE: 2 days with >50% move
DFSCW,SPIKE: 2 days with >50% move
DGNX,SPIKE: 1 days with >50% move
YDES,SPIKE: 3 days with >50% move
RDW,SPIKE: 1 days with >50% move
DJTWW,SPIKE: 1 days with >50% move
DKI,SPIKE: 1 days with >50% move
DLTH,SPIKE: 1 days with >50% move
DLXY,SPIKE: 2 days with >50% move
DM,SPIKE: 1 days with >50% move
QURE,SPIKE: 1 days with >50% move
DRCT,SPIKE: 1 days with >50% move
DRIO,SPIKE: 1 days with >50% move
TEVA,SPIKE: 1 days with >50% move
MFI,SPIKE: 4 days with >50% move
DSKE,SPIKE: 1 days with >50% move
HTCO,SPIKE: 3 days with >50% move
DSY,SPIKE: 1 days with >50% move
DSYWW,SPIKE: 2 days with >50% move
DTCK,SPIKE: 4 days with >50% move
MED,SPIKE: 17 days with >50% move
DTIL,SPIKE: 2 days with >50% move
DUETW,SPIKE: 2 days with >50% move
DUO,SPIKE: 1 days with >50% move
DVLT,SPIKE: 4 days with >50% move
MS,SPIKE: 1 days with >50% move
DYNXW,SPIKE: 1 days with >50% move
EAF,SPIKE: 1 days with >50% move
EB,SPIKE: 1 days with >50% move
KURA,SPIKE: 1 days with >50% move
REPL,SPIKE: 1 days with >50% move
ECDA,SPIKE: 2 days with >50% move
ECDAW,SPIKE: 1 days with >50% move
EDBLW,SPIKE: 2 days with >50% move
EDHL,SPIKE: 2 days with >50% move
EEIQ,SPIKE: 1 days with >50% move
EFTR,SPIKE: 8 days with >50% move
EGO,SPIKE: 1 days with >50% move
ELAB,SPIKE: 3 days with >50% move
ELBM,SPIKE: 2 days with >50% move
ELME,SPIKE: 1 days with >50% move
ELPW,SPIKE: 1 days with >50% move
LVLU,SPIKE: 1 days with >50% move
ELVN,SPIKE: 1 days with >50% move
ENGNW,SPIKE: 2 days with >50% move
ENGS,SPIKE: 2 days with >50% move
SAIH,SPIKE: 1 days with >50% move
ENTA,SPIKE: 1 days with >50% move
ENTXW,SPIKE: 16 days with >50% move
ENVB,SPIKE: 2 days with >50% move
EOSEW,SPIKE: 4 days with >50% move
LXP,SPIKE: 1 days with >50% move
EPOW,SPIKE: 1 days with >50% move
EPSM,SPIKE: 6 days with >50% move
EPWK,SPIKE: 3 days with >50% move
WOLF,SPIKE: 1 days with >50% move
ESHAR,SPIKE: 1 days with >50% move
WAVE,SPIKE: 4 days with >50% move
ESLAW,SPIKE: 2 days with >50% move
STRR,SPIKE: 2 days with >50% move
ESTA,SPIKE: 1 days with >50% move
ETN,SPIKE: 2 days with >50% move
ETS,SPIKE: 1 days with >50% move
EUDA,SPIKE: 1 days with >50% move
EUDAW,SPIKE: 1 days with >50% move
EURKR,SPIKE: 1 days with >50% move
EVAX,SPIKE: 6 days with >50% move
EVOK,SPIKE: 1 days with >50% move
EVTV,SPIKE: 10 days with >50% move
EZGO,SPIKE: 1 days with >50% move
FAAS,SPIKE: 1 days with >50% move
FAASW,SPIKE: 1 days with >50% move
FATBW,SPIKE: 1 days with >50% move
FBYDW,SPIKE: 1 days with >50% move
FCHL,SPIKE: 1 days with >50% move
NVRI,SPIKE: 1 days with >50% move
FEED,SPIKE: 1 days with >50% move
FEMY,SPIKE: 1 days with >50% move
FET,SPIKE: 6 days with >50% move
FFAI,SPIKE: 16 days with >50% move
FFAIW,SPIKE: 5 days with >50% move
FFIV,SPIKE: 1 days with >50% move
FGEN,SPIKE: 3 days with >50% move
FGI,SPIKE: 1 days with >50% move
FGIWW,SPIKE: 2 days with >50% move
FICVW,SPIKE: 11 days with >50% move
FLACW,SPIKE: 3 days with >50% move
FLDD,GAPS: Missing 5 business days (11.1% of range)
FLDDW,SPIKE: 1 days with >50% move
FLJ,SPIKE: 1 days with >50% move
RYM,SPIKE: 1 days with >50% move
FLUX,SPIKE: 1 days with >50% move
FLYE,SPIKE: 3 days with >50% move
FMSTW,SPIKE: 1 days with >50% move
FOXX,SPIKE: 1 days with >50% move
FOXXW,SPIKE: 1 days with >50% move
FRBNU,SPIKE: 2 days with >50% move
FRBN,SPIKE: 2 days with >50% move
FREQ,SPIKE: 1 days with >50% move
FRGT,SPIKE: 1 days with >50% move
FRLAW,SPIKE: 24 days with >50% move
NRIM,SPIKE: 1 days with >50% move
FRRSF,SPIKE: 1 days with >50% move
FRRSF,GAPS: Missing 24 business days (19.4% of range)
FRSX,SPIKE: 1 days with >50% move
FSFG,SPIKE: 1 days with >50% move
FSHPR,SPIKE: 3 days with >50% move
FTAAW,SPIKE: 13 days with >50% move
FTEL,SPIKE: 2 days with >50% move
FTPAW,SPIKE: 8 days with >50% move
FWDI,SPIKE: 1 days with >50% move
FXCOR,ZERO_PRICE: 52 days with 0.0 price
FXCOR,SPIKE: 2 days with >50% move
FXCOW,ZERO_PRICE: 100 days with 0.0 price
NXTT,SPIKE: 5 days with >50% move
GBBKW,SPIKE: 4 days with >50% move
