strategy,pair,direction,entry_mode,entry_ts,exit_ts,r
stoch,CAD_CHF,short,mid,2016-07-14 17:00:00,2016-07-18 13:00:00,0.49999999999999273
stoch,CAD_CHF,short,mid,2016-07-15 13:00:00,2016-07-20 13:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-07-26 21:00:00,2016-07-27 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-07-27 09:00:00,2016-07-27 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-03 21:00:00,2016-08-11 17:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-08-04 09:00:00,2016-08-11 17:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-08-04 17:00:00,2016-08-05 09:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-08-09 17:00:00,2016-08-19 09:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2016-08-10 01:00:00,2016-08-11 01:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-10 09:00:00,2016-08-10 21:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-11 17:00:00,2016-08-17 05:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-12 05:00:00,2016-08-16 13:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-08-12 17:00:00,2016-08-16 13:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-08-15 09:00:00,2016-08-16 05:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-18 05:00:00,2016-08-19 09:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2016-08-24 13:00:00,2016-09-02 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-08-25 17:00:00,2016-09-05 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-08-26 13:00:00,2016-09-05 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-08-28 21:00:00,2016-09-01 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-08-30 05:00:00,2016-09-01 13:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-09-01 09:00:00,2016-09-05 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-09-04 21:00:00,2016-09-07 13:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-09-05 09:00:00,2016-09-07 09:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2016-09-06 01:00:00,2016-09-06 21:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-09-06 09:00:00,2016-09-07 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-09-16 09:00:00,2016-09-19 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-09-19 05:00:00,2016-09-20 05:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-09-21 05:00:00,2016-09-23 13:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-09-22 05:00:00,2016-09-23 09:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2016-09-28 21:00:00,2016-09-29 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-09-29 13:00:00,2016-09-30 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-09-30 13:00:00,2016-10-07 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-10-03 13:00:00,2016-10-07 09:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2016-10-04 01:00:00,2016-10-07 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-10-04 09:00:00,2016-10-04 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-10-10 17:00:00,2016-10-14 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-10-11 01:00:00,2016-10-14 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-10-11 13:00:00,2016-10-13 05:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2016-10-12 05:00:00,2016-10-13 01:00:00,0.5
stoch,CAD_CHF,short,mid,2016-10-13 21:00:00,2016-10-14 17:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-10-14 05:00:00,2016-10-18 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-10-14 17:00:00,2016-10-19 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-10-18 09:00:00,2016-10-19 21:00:00,0.5
stoch,CAD_CHF,short,mid,2016-11-03 13:00:00,2016-11-04 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-11-08 18:00:00,2016-11-09 02:00:00,0.5000000000000075
stoch,CAD_CHF,short,mid,2016-11-10 18:00:00,2016-11-11 10:00:00,0.5
stoch,CAD_CHF,short,mid,2016-11-14 14:00:00,2016-11-15 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-15 02:00:00,2016-11-15 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-15 14:00:00,2016-11-21 06:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-15 22:00:00,2016-11-21 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-16 14:00:00,2016-11-21 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-18 18:00:00,2016-11-22 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-21 02:00:00,2016-11-28 10:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-11-21 14:00:00,2016-11-25 14:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-11-22 10:00:00,2016-11-25 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-11-28 14:00:00,2016-11-29 18:00:00,0.5
stoch,CAD_CHF,short,mid,2016-11-30 14:00:00,2016-12-01 10:00:00,0.5
stoch,CAD_CHF,short,mid,2016-12-04 22:00:00,2016-12-08 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-12-05 06:00:00,2016-12-08 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-12-07 10:00:00,2016-12-08 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-12-08 02:00:00,2016-12-08 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-12-08 14:00:00,2016-12-11 22:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-12-09 02:00:00,2016-12-19 14:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2016-12-09 14:00:00,2016-12-14 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-12-12 02:00:00,2016-12-12 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-12-20 14:00:00,2016-12-21 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-12-20 22:00:00,2016-12-21 14:00:00,0.5
stoch,CAD_CHF,short,mid,2016-12-27 14:00:00,2016-12-29 22:00:00,0.5
stoch,CAD_CHF,short,mid,2017-01-03 10:00:00,2017-01-11 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-01-04 14:00:00,2017-01-05 10:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-01-06 14:00:00,2017-01-18 14:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-01-08 22:00:00,2017-01-18 14:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-01-09 14:00:00,2017-01-18 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-01-10 18:00:00,2017-01-18 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-01-11 14:00:00,2017-01-12 14:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-01-12 10:00:00,2017-01-18 10:00:00,0.5
stoch,CAD_CHF,short,mid,2017-01-16 10:00:00,2017-01-18 10:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-01-24 02:00:00,2017-01-24 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-01-25 06:00:00,2017-01-31 14:00:00,0.49999999999999273
stoch,CAD_CHF,short,mid,2017-01-25 18:00:00,2017-01-26 10:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-02-02 02:00:00,2017-02-06 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-02-02 22:00:00,2017-02-06 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-02-03 10:00:00,2017-02-06 14:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-02-06 10:00:00,2017-02-06 14:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2017-02-08 10:00:00,2017-02-08 14:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2017-02-09 18:00:00,2017-02-13 14:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-02-10 10:00:00,2017-02-16 18:00:00,0.5
stoch,CAD_CHF,short,mid,2017-02-13 18:00:00,2017-02-16 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-02-14 10:00:00,2017-02-16 14:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-02-14 18:00:00,2017-02-16 14:00:00,0.5
stoch,CAD_CHF,short,mid,2017-02-20 06:00:00,2017-02-28 10:00:00,0.49999999999999273
stoch,CAD_CHF,short,mid,2017-02-21 10:00:00,2017-02-28 06:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-02-22 06:00:00,2017-02-28 02:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-02-26 22:00:00,2017-02-28 06:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-02-27 06:00:00,2017-02-28 06:00:00,0.5
stoch,CAD_CHF,short,mid,2017-03-07 10:00:00,2017-03-08 06:00:00,0.5
stoch,CAD_CHF,short,mid,2017-03-10 14:00:00,2017-03-16 17:00:00,0.5
stoch,CAD_CHF,short,mid,2017-03-15 21:00:00,2017-03-16 13:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2017-03-21 01:00:00,2017-03-21 21:00:00,0.5000000000000074
stoch,CAD_CHF,short,mid,2017-03-21 13:00:00,2017-03-22 09:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2017-03-23 09:00:00,2017-03-24 13:00:00,0.49999999999999256
stoch,CAD_CHF,short,mid,2017-03-23 17:00:00,2017-03-24 17:00:00,0.5
