strategy,pair,direction,entry_mode,tr_n,te_n,tr_mean,te_mean,tr_iid_lo,te_iid_lo,tr_lag95,te_lag95,tr_lagmax,te_lagmax,se_infl_te,tr_nw_lo,te_nw_lo,tr_nwmax_lo,te_nwmax_lo,orig_pass,nw_pass,nwmax_pass,note
macd,CAD_CHF,short,limit,228,98,0.1259977689008821,0.3306957510876683,0.00018244712458762025,0.1526137118254155,2,3,4,4,1.1686142304200435,-0.03300152626316033,0.12258654582357878,-0.04278995986604195,0.11417924653414666,True,False,False,
macd,EUR_CHF,short,limit,196,84,0.16839696155982925,0.19326965700973203,0.051182651974717136,0.015728218208743927,3,3,5,5,1.2163708359552396,0.026280329379230777,-0.022686571321321874,0.029644704478611866,-0.043279556030489524,True,False,False,
macd,NZD_JPY,long,limit,93,41,0.22580645161290333,0.4634146341463415,0.02674008807375,0.1887965173850113,1,1,3,1,1.0765920066665662,0.017742051162030703,0.16776296475526764,0.009382080397221576,0.16776296475526764,True,True,True,
macd,NZD_USD,short,limit,166,72,0.2289156626506024,0.25,0.08038159320582969,0.024777105709308384,1,1,2,2,1.0532687216470449,0.07247544583087756,0.012779770044795719,0.06814541041856959,0.016882816164966175,True,True,True,
sma,CAD_JPY,long,mid,179,78,0.15083798882681565,0.28205128205128205,0.005610628585217159,0.06775722868871978,3,3,5,4,1.4674061252283432,-0.03675113670594221,-0.03240512445295124,-0.03538488523090624,-0.05249446779189082,True,False,False,
sma,EUR_CAD,long,mid,280,120,0.14791264507199667,0.2978608842505039,0.036609767048279285,0.15848051294917873,4,7,7,10,1.4680442746949849,-0.01276195526678553,0.09324432815673231,-0.02053901441393996,0.11143321563663061,True,False,False,
sma,EUR_GBP,long,mid,188,81,0.13951151324564165,0.1817449954435797,0.00811000392311842,0.013912782927486711,7,6,9,9,1.632944477907715,-0.05002312455340455,-0.09231568919960842,-0.05580203922256563,-0.09449804563811964,True,False,False,
ema,CHF_JPY,long,mid,179,77,0.14025307907202433,0.23408692744536508,0.0017264551136598194,0.01739554264630594,2,3,4,3,1.3214691868320425,-0.019536435998431856,-0.05226406061855682,-0.01925573827308666,-0.05226406061855682,True,False,False,
ema,EUR_CAD,long,mid,275,119,0.17137718276355476,0.24212563483570254,0.058226381605079966,0.08586805895310651,6,5,8,8,1.4524773633508794,-0.025552413919970984,0.015165043014149504,-0.03645093655793316,0.02025434533129894,True,False,False,
ema,EUR_GBP,short,mid,240,104,0.1511116519501524,0.19935907889126378,0.03177137455286767,0.04944825711727996,5,6,8,7,1.5995896097572209,-0.03768474044019843,-0.0404367140085673,-0.04627925634081781,-0.04340571787350389,True,False,False,
ema,GBP_CAD,long,mid,198,85,0.1548367280799151,0.3954680704056918,0.019074341742133488,0.2123851754737593,5,5,6,7,1.4809810051686203,-0.06338457459559754,0.12432578064021749,-0.07092302293267369,0.11864544838458785,True,False,False,
rsi,CHF_JPY,long,mid,395,170,0.09759986629942344,0.22634496691344733,0.0034293591233178766,0.081657905022958,5,4,7,6,1.4798560958899076,-0.06364291396584329,0.01222893637840633,-0.07381109631234226,-0.00485175773223373,True,False,False,
rsi,EUR_GBP,long,mid,275,118,0.12228277048942707,0.22574321593605587,0.009888706154449145,0.09558013148262029,5,7,8,10,1.5691904904838632,-0.0422436629575616,0.021492541599676757,-0.048419207185115776,0.03469960919788026,True,False,False,
rsi,USD_JPY,long,mid,830,357,0.06778586825415965,0.134034523009034,0.0020405155664213193,0.03196652949052768,7,4,11,6,1.500983164146938,-0.046736912716976595,-0.019167816860502757,-0.052480651846254986,-0.02777030555519061,True,False,False,
cci,CAD_CHF,short,mid,779,335,0.07006005662735758,0.11639071011199255,0.0013509918277562066,0.014625001712477714,6,7,10,10,1.6268072953561195,-0.04279621250229333,-0.04916248672942171,-0.04691418669425067,-0.050480469762682376,True,False,False,
cci,CHF_JPY,long,mid,571,245,0.08433891127260795,0.16520737275450736,0.006911309564475165,0.043272798332975954,6,6,9,8,1.5687859565157012,-0.05539786684561887,-0.026081875211709737,-0.06346906177004744,-0.030504712418700453,True,False,False,
cci,EUR_USD,short,mid,639,274,0.08432988103797392,0.12263367567147693,0.009570872944536873,0.008915329472152178,6,6,9,9,1.4443821474560452,-0.03931788250537559,-0.04161907341705373,-0.04589922490483439,-0.03535676881799077,True,False,False,
cci,USD_CAD,long,mid,310,133,0.1164627942216691,0.20445410505196746,0.010113054575943026,0.04718947345324273,3,4,5,5,1.3915175724579358,-0.023222742411994138,-0.014382393343781552,-0.024662630673617528,-0.018313149506763465,True,False,False,
cci,USD_JPY,long,mid,417,179,0.12921259043392325,0.1588446536720987,0.03645627935563345,0.01505622244130575,4,2,6,4,1.184854070820997,-0.0047942359522280265,-0.011523654408671286,-0.006920293803937105,-0.01634652339852688,True,False,False,
atr,EUR_NOK,long,limit,357,153,0.10619852164905386,0.2646927987081266,0.005366006725597242,0.11480460044146712,3,3,5,6,1.3165138884745173,-0.019858088269653767,0.06736290397164732,-0.021193772863025095,0.04808458749443778,True,False,False,
atr,NZD_CHF,short,limit,815,350,0.1196111327395689,0.2221376682742078,0.05208755795525419,0.12137977608999001,5,5,8,10,1.529995016435679,0.021020167492466768,0.06797859536579112,0.015947184490839997,0.06782384553291365,True,True,True,
atr,USD_JPY,long,limit,749,322,0.0866782553966846,0.14304330237467358,0.018312400381848518,0.03531186615218308,7,5,11,8,1.4079592354616959,-0.01566070110140208,-0.008638168204334579,-0.019897022567271716,-0.008794046263022298,True,False,False,
ichimoku,USD_SGD,short,limit,116,51,0.16609039144311669,0.2513155022020348,0.016019717204979383,0.023751306273027295,2,2,3,2,0.9395668677983753,-0.020571100225495603,0.037503723409961415,-0.03253306591549804,0.037503723409961415,True,False,False,
candle,USD_JPY,long,mid,291,125,0.12336762281890189,0.1721953345143403,0.014034055566181675,0.00035743144132452387,3,2,6,3,1.1076423313060524,-0.02633851870329633,-0.018139601052198362,-0.03856774225961564,-0.020862906371642453,True,False,False,
