drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
0.0001,1.0,BCO_USD,mr_under_limit,stoch14_k20,H4,market,1,3130,-0.050991477077701956,-0.07476196135699839,0.023770484279296435,nan,nan,nan
0.0001,1.0,BCO_USD,trend,donchian55,D1,limit,1,171,0.0603615114605148,-0.04860667037582953,0.10896818183634432,0.014586632666161265,nan,nan
0.0001,1.0,BCO_USD,trend,donchian55,D1,market,1,171,-0.15045035723041722,-0.24972491673306535,0.09927455950264813,0.011680445383861824,nan,nan
0.0001,1.0,BCO_USD,trend,supertrend10x3,D1,limit,1,1673,0.02201130792213426,-0.04860667037582953,0.07061797829796379,0.0169263634506227,nan,nan
0.0001,1.0,BCO_USD,trend,supertrend10x3,D1,market,1,1673,-0.18983103355747383,-0.24972491673306535,0.05989388317559152,0.01214205667246697,nan,nan
0.0001,1.0,BCO_USD,trend,supertrend10x3,H4,limit,-1,7716,0.12887547297338972,0.1279548273532798,0.0009206456201099333,nan,nan,nan
0.0001,1.0,BCO_USD,trend,supertrend10x3,H4,limit,1,8371,0.17188157490699033,0.16835396243037312,0.0035276124766172035,0.0007989848518204858,nan,nan
0.0001,1.0,BCO_USD,trend,supertrend10x3,H4,market,1,8371,-0.06702882976296543,-0.07476196135699839,0.007733131594032966,0.0016433891631075126,nan,nan
0.0001,1.0,BCO_USD,trend,tsmom63,D1,limit,1,1666,-0.016167519667529096,-0.04860667037582953,0.03243915070830043,0.007472578685907434,nan,nan
0.0001,1.0,BCO_USD,trend,tsmom63,D1,market,1,1666,-0.23496415068828827,-0.24972491673306535,0.01476076604477708,0.002608797082222026,nan,nan
0.0001,1.0,BCO_USD,trend,tsmom63,H4,limit,1,9051,0.17011780265229945,0.16835396243037312,0.0017638402219263272,0.0004728052957970691,nan,nan
0.0001,1.0,NATGAS_USD,mr_under_limit,atr_range_exp,H4,limit,1,2797,-0.1319629536885425,-0.1337489488892065,0.0017859952006639979,nan,nan,nan
0.0001,1.0,NATGAS_USD,mr_under_limit,atr_range_exp,H4,market,1,2797,-0.33102835824568694,-0.3472321721377397,0.016203813892052776,nan,nan,nan
0.0001,1.0,NATGAS_USD,mr_under_limit,bb_p20_2,H4,limit,1,829,-0.11697285396387708,-0.1337489488892065,0.016776094925329416,0.00403917953721286,nan,nan
0.0001,1.0,NATGAS_USD,mr_under_limit,bb_p20_2,H4,market,1,829,-0.33121638885751575,-0.3472321721377397,0.01601578328022396,0.002956456847861507,nan,nan
0.0001,1.0,NATGAS_USD,trend,donchian55,D1,limit,1,159,-0.3082963204708952,-0.4565407126902241,0.1482443922193289,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,donchian55,D1,market,1,159,-0.47124696331751664,-0.5912697702005338,0.1200228068830172,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,donchian55,H4,limit,1,641,-0.08041716709115954,-0.1337489488892065,0.05333178179804696,0.08484404486773107,nan,nan
0.0001,1.0,NATGAS_USD,trend,donchian55,H4,market,1,641,-0.29825509323219396,-0.3472321721377397,0.04897707890554576,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,supertrend10x3,D1,market,1,1607,-0.5878383023152116,-0.5912697702005338,0.003431467885322226,0.005893616799547282,nan,nan
0.0001,1.0,NATGAS_USD,trend,supertrend10x3,H4,limit,1,7665,-0.12210538804787728,-0.1337489488892065,0.011643560841329212,0.021464420988869675,nan,nan
0.0001,1.0,NATGAS_USD,trend,supertrend10x3,H4,market,1,7665,-0.33342411077040807,-0.3472321721377397,0.013808061367331648,0.0346712180315653,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,D1,limit,1,1635,-0.42908154748600524,-0.4565407126902241,0.02745916520421887,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,D1,market,1,1635,-0.5741316570729478,-0.5912697702005338,0.017138113127586063,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,H4,limit,-1,7767,-0.13164958989026385,-0.14442312951360683,0.012773539623342989,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,H4,limit,1,8205,-0.11189179660540102,-0.1337489488892065,0.02185715228380547,0.10755693191261524,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,H4,market,-1,7767,-0.35866887737728514,-0.369200963017949,0.01053208564066388,nan,nan,nan
0.0001,1.0,NATGAS_USD,trend,tsmom63,H4,market,1,8205,-0.32099314724795214,-0.3472321721377397,0.026239024889787577,0.1287572390432863,nan,nan
0.0001,1.0,WTICO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,841,0.16580826558286407,0.14664616553447343,0.01916210004839064,nan,nan,nan
0.0001,1.0,WTICO_USD,mr_under_limit,rsi14_lt30,H4,market,1,841,-0.0722656882955204,-0.09090373182683499,0.018638043531314596,nan,nan,nan
0.0001,1.0,WTICO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3099,0.1470002064889643,0.14664616553447343,0.00035404095449087514,nan,nan,nan
0.0001,1.0,WTICO_USD,mr_under_limit,stoch14_k20,H4,market,1,3099,-0.08997018474469388,-0.09090373182683499,0.0009335470821411063,nan,nan,nan
0.0001,1.0,WTICO_USD,trend,donchian55,D1,limit,1,173,0.024874754223840154,-0.08991924642363018,0.11479400064747033,0.011202426762397242,nan,nan
0.0001,1.0,WTICO_USD,trend,donchian55,D1,market,1,173,-0.21818179682356909,-0.27766444199045165,0.059482645166882564,0.005096234173147489,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,D1,limit,1,1615,-0.010665470653540284,-0.08991924642363018,0.0792537757700899,0.02310355239810527,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,D1,market,1,1615,-0.2251225995465658,-0.27766444199045165,0.05254184244388585,0.012286869328531529,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,H4,limit,-1,7715,0.13696687721804185,0.12475816079153289,0.012208716426508961,nan,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,H4,limit,1,8331,0.16290140697003477,0.14664616553447343,0.01625524143556134,0.004455598712869632,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,H4,market,-1,7715,-0.11748558569260713,-0.12215993446360442,0.004674348770997289,nan,nan,nan
0.0001,1.0,WTICO_USD,trend,supertrend10x3,H4,market,1,8331,-0.07174794883603104,-0.09090373182683499,0.01915578299080395,0.0054587214044368336,nan,nan
0.0001,1.0,WTICO_USD,trend,tsmom63,D1,limit,1,1696,-0.05539999394103138,-0.08991924642363018,0.0345192524825988,0.010600771464266273,nan,nan
0.0001,1.0,WTICO_USD,trend,tsmom63,D1,market,1,1696,-0.27027989018259385,-0.27766444199045165,0.007384551807857798,0.0016530460989768482,nan,nan
0.0001,1.0,WTICO_USD,trend,tsmom63,H4,limit,1,9021,0.16401248331284485,0.14664616553447343,0.017366317778371415,0.005115102934494696,nan,nan
0.0001,1.0,WTICO_USD,trend,tsmom63,H4,market,1,9021,-0.08174657100817423,-0.09090373182683499,0.009157160818660762,0.002768574606770338,nan,nan
0.0001,1.0,XAG_USD,mr_under_limit,atr_range_exp,H4,limit,1,2258,0.1397736893953071,0.11459396550364825,0.025179723891658845,nan,nan,nan
0.0001,1.0,XAG_USD,mr_under_limit,atr_range_exp,H4,market,1,2258,-0.09510955240125471,-0.13147842133610135,0.03636886893484664,nan,nan,nan
0.0001,1.0,XAG_USD,trend,donchian55,D1,market,1,136,-0.19094952730366457,-0.2258262626640593,0.034876735360394734,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,D1,limit,-1,1467,0.05079623977617521,0.00935565457978179,0.04144058519639342,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,D1,limit,1,1690,-0.01157813555375498,-0.02244341035608977,0.01086527480233479,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,D1,market,-1,1467,-0.1880321206809624,-0.21957231446443834,0.031540193783475945,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,D1,market,1,1690,-0.2221687612207878,-0.2258262626640593,0.0036575014432715103,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,H4,limit,-1,7728,0.1257152191787338,0.11742208567083688,0.008293133507896913,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,H4,limit,1,8324,0.12369008943367614,0.11459396550364825,0.009096123930027886,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,H4,market,-1,7728,-0.12895819981265685,-0.14012057728321964,0.011162377470562784,nan,nan,nan
0.0001,1.0,XAG_USD,trend,supertrend10x3,H4,market,1,8324,-0.12237639692237642,-0.13147842133610135,0.00910202441372493,nan,nan,nan
0.0001,1.0,XAG_USD,trend,tsmom63,D1,limit,-1,1310,0.04096753577392655,0.00935565457978179,0.03161188119414476,nan,nan,nan
0.0001,1.0,XAG_USD,trend,tsmom63,D1,limit,1,1793,-0.022087305811908906,-0.02244341035608977,0.000356104544180863,nan,nan,nan
