instrument,family,timeframe,entry_mode,n,mean_r,nw_lag,nw_se,ci_low,ci_high,matched_baseline_mean_r,raw_minus_avg_direction_baseline_r
WTICO_USD,trend,D1,limit,6517,-0.08145808519348478,0,0.012394133365516518,-0.10575058658989717,-0.05716558379707241,-0.09509055352056155,0.013632468327076763
WTICO_USD,trend,D1,market,6517,-0.2760225100655534,0,0.012084664763197861,-0.2997084530014212,-0.2523365671296856,-0.28112938197781745,0.005106871912264055
WTICO_USD,trend,H4,limit,33177,0.14368502603896066,1,0.006386790770165548,0.13116691612943618,0.15620313594848514,0.1378833112996169,0.005801714739343766
WTICO_USD,trend,H4,market,33177,-0.09731453262710857,1,0.0065777321202507896,-0.11020688758280012,-0.08442217767141702,-0.10422159749692737,0.006907064869818805
XAG_USD,mr_under_limit,H4,limit,20444,0.0952122839901404,2,0.009115540802559281,0.0773458240171242,0.11307874396315659,0.11938935302638087,-0.02417706903624048
XAG_USD,mr_under_limit,H4,market,20444,-0.1472234575396354,2,0.009249812631929586,-0.16535309029821738,-0.1290938247810534,-0.1322132240673551,-0.015010233472280282
XAG_USD,trend,D1,limit,6461,0.015289368566743794,0,0.012362868914216452,-0.00894185450512045,0.039520591638608035,0.0005786742280809998,0.014710694338662794
XAG_USD,trend,D1,market,6461,-0.20322883141817374,0,0.01237405350348625,-0.2274819762850068,-0.1789756865513407,-0.2154661868586266,0.012237355440452846
XAG_USD,trend,H4,limit,33129,0.12807758022976423,2,0.007367688576855213,0.11363691061912802,0.14251824984040046,0.11938935302638087,0.008688227203383359
XAG_USD,trend,H4,market,33129,-0.12322451547953314,2,0.007682131932675588,-0.13828149406757728,-0.10816753689148899,-0.1322132240673551,0.00898870858782197
XAU_USD,mr_under_limit,H4,limit,16485,0.2679869161561459,5,0.012885245234270124,0.24273183549697644,0.2932419968153153,0.21295371498147253,0.05503320117467336
XAU_USD,mr_under_limit,H4,market,16485,0.03222244890577956,6,0.014031832414575809,0.004720057373210979,0.05972484043834815,-0.030032276256012423,0.062254725161791986
XAU_USD,trend,D1,limit,6503,0.2166266602087995,1,0.014344397691631696,0.18851164073320137,0.24474167968439764,0.19162323210722032,0.025003428101579184
XAU_USD,trend,D1,market,6503,-0.01432777459339097,1,0.014882372130021628,-0.043497223968233356,0.01484167478145142,-0.043689320560090256,0.029361545966699286
XAU_USD,trend,H4,limit,33210,0.2300345727969262,6,0.01090532862401896,0.20866012869384906,0.2514090169000034,0.21295371498147253,0.01708085781545368
XAU_USD,trend,H4,market,33210,-0.010614908396903395,7,0.012056192279195504,-0.03424504526412658,0.013015228470319794,-0.030032276256012423,0.01941736785910903
XCU_USD,mr_under_limit,H4,limit,19585,0.23101654359059337,2,0.009211501986276184,0.21296199969749205,0.2490710874836947,0.1834576360304788,0.04755890756011458
XCU_USD,mr_under_limit,H4,market,19585,-0.004033936241704516,2,0.009601270135740669,-0.022852425707756228,0.014784553224347196,-0.05643490042899575,0.05240096418729123
XCU_USD,trend,D1,limit,6458,0.0959909549254639,0,0.012313665604062869,0.07185617034150069,0.12012573950942712,0.09678866912416452,-0.0007977141987006164
XCU_USD,trend,D1,market,6458,-0.11923233996887772,0,0.012412706289059295,-0.14356124429543393,-0.09490343564232151,-0.11528434414888605,-0.003947995819991668
XCU_USD,trend,H4,limit,33078,0.1716315764597867,2,0.007593197891657203,0.15674890859213858,0.1865142443274348,0.1834576360304788,-0.011826059570692105
XCU_USD,trend,H4,market,33078,-0.07281264631587452,2,0.007896957636800228,-0.08829068328400297,-0.05733460934774607,-0.05643490042899575,-0.016377745886878764
