instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high
WTICO_USD,mr_under_limit,cci20_lt-100,H4,market,1,3100,-0.12517263057895606,1,0.020700553911544142,-0.16574571624558257,-0.08459954491232954,16055,-0.08628326053025033,-0.038889370048705726,nan,1,0.020607581890476977,-0.07621265414033887,0.0029265849361768156
WTICO_USD,mr_under_limit,ema50_dist_low,H4,limit,1,5068,0.08930694729256071,1,0.016188443871100498,0.05757759730520373,0.12103629727991769,16055,0.1510084618077009,-0.06170151451514018,nan,1,0.015622307482047041,-0.09040735646164828,-0.02914593737102469
WTICO_USD,mr_under_limit,ema50_dist_low,H4,market,1,5068,-0.14732417327219793,1,0.016383072925183317,-0.17943499620555725,-0.11521335033883863,16055,-0.08628326053025033,-0.0610409127419476,nan,1,0.01620652068158984,-0.0957500575118481,-0.03288218630645131
WTICO_USD,mr_under_limit,macd_hist_low,H4,limit,1,1744,0.12466027080873998,1,0.02711761809232478,0.07150973934778342,0.17781080226969653,16055,0.1510084618077009,-0.026348190998960908,nan,1,0.02493218879173258,-0.08157566625972586,0.014926548108888495
WTICO_USD,mr_under_limit,macd_hist_low,H4,market,1,1744,-0.11946445326277724,1,0.027291921032675023,-0.17295661848682028,-0.0659722880387342,16055,-0.08628326053025033,-0.03318119273252691,nan,1,0.023983583886939944,-0.07871048950955294,0.008805745117966257
WTICO_USD,mr_under_limit,rsi14_lt30,H4,limit,1,841,0.16933581215440593,0,0.03366054329666184,0.10336114729294872,0.23531047701586316,16055,0.1510084618077009,0.018327350346705046,nan,1,0.03542018388406238,-0.042268340334439186,0.08571089907178965
WTICO_USD,mr_under_limit,rsi14_lt30,H4,market,1,841,-0.06831998873150927,1,0.040125727826465965,-0.14696641527138254,0.010326437808364022,16055,-0.08628326053025033,0.017963271798741062,nan,1,0.03549446177330043,-0.05732633717717766,0.0830174202601701
WTICO_USD,mr_under_limit,sma50_dist_low,H4,limit,1,5270,0.09394304549812955,1,0.015890928152220745,0.0627968263197769,0.1250892646764822,16055,0.1510084618077009,-0.057065416309571335,nan,1,0.015103691202730096,-0.08717233825010731,-0.026643473936500316
WTICO_USD,mr_under_limit,sma50_dist_low,H4,market,1,5270,-0.1370290037664697,1,0.016196268108678247,-0.16877368925947905,-0.10528431827346034,16055,-0.08628326053025033,-0.05074574323621937,nan,1,0.015418032763612638,-0.08031092775044622,-0.023129570706511896
WTICO_USD,mr_under_limit,stoch14_k20,H4,limit,1,3099,0.1508541378646769,1,0.020728893360444724,0.11022550687820526,0.19148276885114857,16055,0.1510084618077009,-0.00015432394302397623,nan,1,0.019020220914894047,-0.03648921165565142,0.035135435621504243
WTICO_USD,mr_under_limit,stoch14_k20,H4,market,1,3099,-0.08585165188463148,1,0.02085389287381848,-0.1267252819173157,-0.044978021851947256,16055,-0.08628326053025033,0.00043160864561885004,nan,1,0.01901853209396766,-0.03516844557066328,0.036823609906193176
WTICO_USD,trend,donchian55,D1,limit,-1,84,-0.2022623330555255,0,0.10828204267357518,-0.4144951366957328,0.00997047058468184,3166,-0.11201170268950807,-0.09025063036601742,nan,1,0.10839765290616375,-0.2640742191064599,0.11710451487637812
WTICO_USD,trend,donchian55,D1,limit,1,173,0.037649320697828594,0,0.07573817243760696,-0.11079749727988106,0.18609613867553823,3166,-0.07816940435161503,0.11581872504944363,0.011302426762397243,1,0.07980139546218162,-0.02702446604965961,0.27647717133755656
WTICO_USD,trend,donchian55,D1,market,-1,84,-0.3214584650786405,0,0.10571704451290458,-0.5286638723239334,-0.11425305783334755,3166,-0.296606324492031,-0.024852140586609506,nan,1,0.1060669830358126,-0.19670547732418656,0.204761541228476
WTICO_USD,trend,donchian55,D1,market,1,173,-0.20500260607212403,0,0.07503419810473284,-0.3520696343574004,-0.05793557778684766,3166,-0.2656524394636039,0.06064983339147986,0.005196234173147486,1,0.08395628364977005,-0.113927967693335,0.21517217573585856
