tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
253,0.0968873014663749,0.0604942373488778,-0.02168140373742558,0.2154560066701754,109,-0.05025970916928463,0.09359576965210308,-0.23370741768740666,0.1331879993488374,EUR_USD,50,1.5,14,short,362
226,0.12904192629464162,0.06397493252360512,0.0036510585483755797,0.2544327940409077,98,-0.1120368634989222,0.09791594959099478,-0.30395212469727195,0.07987839769942759,EUR_USD,50,2.0,14,short,324
179,0.0853015844216153,0.07202834191123153,-0.0558739657243985,0.22647713456762908,78,-0.08537314362640101,0.10963698831444456,-0.30026164072271233,0.12951535346991033,EUR_USD,50,2.5,14,short,257
182,-0.11625703925303804,0.07043914060741832,-0.25431775484357794,0.021803676337501854,78,-0.1588946974624031,0.10951406821938253,-0.37354227117239286,0.05575287624758668,EUR_USD,100,1.0,14,long,260
175,0.03075009332986257,0.07276272211718648,-0.11186484201982293,0.17336502867954806,75,-0.14967408434460847,0.11318128109644382,-0.37150939529363836,0.07216122660442142,EUR_USD,100,1.5,14,long,250
155,0.0014336426903002021,0.07768040168643467,-0.15081994461511175,0.15368722999571213,67,-0.25705840123170975,0.11682059242280249,-0.48602676238040265,-0.02809004008301688,EUR_USD,100,2.0,14,long,222
161,-0.06011703286962426,0.07431116124964718,-0.20576690891893273,0.0855328431796842,69,-0.25440732270330174,0.11497435432533926,-0.4797570571809667,-0.02905758822563681,EUR_USD,100,2.5,14,long,230
192,-0.028464228307394052,0.0711224624606519,-0.16786425473027178,0.11093579811548367,83,-0.11473555424847295,0.10637098290363962,-0.3232226807396066,0.0937515722426607,EUR_USD,100,1.0,14,short,275
193,0.1368326067562858,0.07030401016777349,-0.0009632531725502214,0.27462846668512186,84,-0.0684304760332668,0.10803192294429706,-0.280173045004089,0.14331209293755542,EUR_USD,100,1.5,14,short,277
173,0.09359874301906797,0.07389013472535111,-0.05122592104262021,0.23842340708075616,75,-0.08604709728537985,0.11328939096335872,-0.30809430357356293,0.13600010900280324,EUR_USD,100,2.0,14,short,248
178,0.05449605165090923,0.07243713512210916,-0.0874807331884247,0.19647283649024316,77,0.0460294298344016,0.11399397464206454,-0.1773987604640449,0.2694576201328481,EUR_USD,100,2.5,14,short,255
123,-0.19131540282508283,0.08468176209303183,-0.3572916565274252,-0.025339149122740462,54,-0.2863447288361557,0.13036802233515365,-0.5418660526130569,-0.030823405059254516,EUR_USD,200,1.0,14,long,177
136,-0.1924319313576641,0.08171373470818072,-0.3525908513856983,-0.0322730113296299,59,-0.25543249770317544,0.12461910617281088,-0.49968594580188475,-0.011179049604466113,EUR_USD,200,1.5,14,long,195
133,-0.15008258979542705,0.08164803391751571,-0.31011273627375785,0.009947556682903758,58,-0.026043532088809128,0.12810497511364421,-0.2771292833115518,0.22504221913393355,EUR_USD,200,2.0,14,long,191
135,-0.06748680227060656,0.08222780698500631,-0.2286533039612189,0.0936796994200058,58,-0.1619940283288374,0.12862004329098925,-0.41408931317917635,0.09010125652150153,EUR_USD,200,2.5,14,long,193
135,0.1228154689250623,0.08398659597201824,-0.04179825918009346,0.2874291970302181,59,-0.03272920510023127,0.13012330276363657,-0.28777087851695893,0.2223124683164964,EUR_USD,200,1.0,14,short,194
130,0.13828472468919,0.08599259170616175,-0.030260755054887012,0.30683020443326703,56,-0.012074392038675092,0.1312846607924144,-0.26939232719180733,0.24524354311445715,EUR_USD,200,1.5,14,short,186
113,0.02621477342571411,0.09308673401566331,-0.15623522524498598,0.20866477209641418,49,-0.20946460372989484,0.13852287079463158,-0.48096943048737273,0.06204022302758305,EUR_USD,200,2.0,14,short,162
109,-0.1239622854666384,0.09325489518129781,-0.3067418800219821,0.058817309088705305,48,-0.18156065305096136,0.13893193780667462,-0.4538672511520436,0.0907459450501209,EUR_USD,200,2.5,14,short,157
359,-0.06171757852505596,0.052331894713683484,-0.16428809216387558,0.040852935113763665,154,0.12409017621707852,0.0783822346582685,-0.02953900371312776,0.2777193561472848,GBP_USD,20,1.0,14,long,513
